title,price,link_item,index,discount,sales,category
Chân váy jeans dài sang chảnh,220.000₫,https://tiki.vn/chan-vay-jeans-dai-sang-chanh-p73815999.html?spid=73816001,1,,,chanvay
Chân Váy Cạp Cao Chữ A Phong Cách_V1,149.000₫,https://tiki.vn/chan-vay-cap-cao-chu-a-phong-cach_v1-p54467763.html?spid=54467777,2,,,chanvay
Chân váy công sở dài bigsize kèm belt màu đen dài 63cm,305.500₫,https://tiki.vn/chan-vay-cong-so-dai-bigsize-kem-belt-mau-den-dai-63cm-p84765013.html?spid=84765020,3,,,chanvay
Chân váy jeans nữ xinh xắn thích hợp mặc dạo phố hoặc du lịch,165.000,https://tiki.vn/chan-vay-jeans-nu-xinh-xan-thich-hop-mac-dao-pho-hoac-du-lich-p78972210.html?spid=78972212,4,,,chanvay
,,https://tiki.vn/chan-vay-ren-2-lop-de-thuong-vay73-p59152267.html?spid=59152271,5,,,chanvay
Chân Váy Xám Thắt Eo,477.750₫,https://tiki.vn/chan-vay-xam-that-eo-p84997108.html?spid=84997112,6,,,chanvay
Quần váy 2 tầng duyên dáng,59.000₫,https://tiki.vn/quan-vay-2-tang-duyen-dang-p80386063.html?spid=89745289,7,,,chanvay
Chân váy công sở dài bigsize màu đen xẻ sau D50 thun umi co dãn từ 45kg-85kg,184.500₫,https://tiki.vn/chan-vay-cong-so-dai-bigsize-mau-den-xe-sau-d50-thun-umi-co-dan-tu-45kg-85kg-p73833018.html?spid=73833024,8,,,chanvay
Váy xòe dáng dài 3 lớp dễ thương đính hoa nổi VAY84 free size,185.000,https://tiki.vn/vay-xoe-dang-dai-3-lop-de-thuong-dinh-hoa-noi-vay84-free-size-p70208988.html?spid=70208990,9,,Đã bán 2,chanvay
,,https://tiki.vn/chan-vay-ngan-chu-a-vai-bo-p76142047.html?spid=76142049,10,,,chanvay
Chân váy xếp ly dáng ngắn cạp cao có quần,59.000₫,https://tiki.vn/chan-vay-xep-ly-dang-ngan-cap-cao-co-quan-p80394703.html?spid=89403188,11,,,chanvay
Váy lanh lụa retro cotton mềm VAY51,198.700,https://tiki.vn/vay-lanh-lua-retro-cotton-mem-vay51-p90323764.html?spid=90323777,12,,,chanvay
,,https://tiki.vn/chan-vay-dinh-kim-sa-zizac-mac-2-kieu-vay46-chat-lieu-co-gian-free-size-p90324014.html?spid=90324024,13,,,chanvay
Chân váy xòe xếp ly chấm bi dáng dài Free size VAY65 mẫu mới,199.000₫,https://tiki.vn/chan-vay-xoe-xep-ly-cham-bi-dang-dai-free-size-vay65-mau-moi-p90323236.html?spid=90323647,14,,Đã bán 1,chanvay
Chân váy lưới tutu xòe to chấm bi nhỏ hàng đẹp VAY58 3 lớp,258.700₫,https://tiki.vn/chan-vay-luoi-tutu-xoe-to-cham-bi-nho-hang-dep-vay58-3-lop-p90322928.html?spid=90322946,15,,,chanvay
Chân váy chữ A vải kaki cao cấp túi ngang free size mẫu mới nhiều mầu VAY22,178.700₫,https://tiki.vn/chan-vay-chu-a-vai-kaki-cao-cap-tui-ngang-free-size-mau-moi-nhieu-mau-vay22-p90325853.html?spid=90326192,16,,Đã bán 6,chanvay
