title,price,link_item,index,discount,sales,brand
Máy hút bụi không dây Bosch BCH3K2851 - Series 4 (xanh xám) - Hàng chính hãng,4.290.000₫,https://tiki.vn/may-hut-bui-khong-day-bosch-bch3k2851-series-4-xanh-xam-hang-chinh-hang-p271142309.html?spid=271142310,1,-43%,,Bosch
Máy hút mùi âm tủ BOSCH DHI623GSG (60CM) - HÀNG CHÍNH HÃNG,8.055.000₫,https://tiki.vn/may-hut-mui-am-tu-bosch-dhi623gsg-60cm-hang-chinh-hang-p41794446.html?spid=41794447,2,,Đã bán 5,Bosch
MÁY HÚT MÙI ÁP TƯỜNG BOSCH DWB76BC50 (75CM) - HÀNG CHÍNH HÃNG,9.940.000₫,https://tiki.vn/may-hut-mui-ap-tuong-bosch-dwb76bc50-75cm-hang-chinh-hang-p41657543.html?spid=41657544,3,-1%,,Bosch
Máy Hút Mùi Bosch DWB06W850B (760m3/h) - Hàng chính hãng,11.019.000,https://tiki.vn/may-hut-mui-bosch-dwb06w850b-760m3-h-hang-chinh-hang-p830277.html?spid=839393,4,-1%,Đã bán 1,Bosch
,,https://tiki.vn/may-hut-mui-ap-tuong-bosch-dwk97im60-90cm-hang-chinh-hang-p41679946.html?spid=41679947,5,-1%,,Bosch
Lò hấp Bosch CDG634AS0 - Hàng chính hãng,31.581.000₫,https://tiki.vn/lo-hap-bosch-cdg634as0-hang-chinh-hang-p204646066.html?spid=208416576,6,,,Bosch
Máy Xay Thịt Bosch MMR08R2 (0.8 Lít - 400W) - Hàng Chính Hãng,1.248.000₫,https://tiki.vn/may-xay-thit-bosch-mmr08r2-0-8-lit-400w-hang-chinh-hang-p60702683.html?spid=204932195,7,,,Bosch
MÁY TRỘN BỘT ĐA NĂNG BOSCH SERIES 2 MUMS2AW00 Hàng Chính Hãng,5.238.000₫,https://tiki.vn/may-tron-bot-da-nang-bosch-series-2-mums2aw00-hang-chinh-hang-p252591414.html?spid=252591415,8,-1%,,Bosch
Máy xay cầm tay Bosch MSM26130 - Hàng chính hãng bảo hành 2 năm,1.278.000,https://tiki.vn/may-xay-cam-tay-bosch-msm26130-hang-chinh-hang-bao-hanh-2-nam-p98674983.html?spid=208314738,9,,Đã bán 2,Bosch
,,https://tiki.vn/bep-tu-bosch-pid775dc1e-hang-chinh-hang-p208122341.html?spid=208415453,10,,,Bosch
Bếp Từ Bosch PXV975DC1E Đa Điểm Kết Hợp Serie 8 Hàng Chính Hãng,35.442.000₫,https://tiki.vn/bep-tu-bosch-pxv975dc1e-da-diem-ket-hop-serie-8-hang-chinh-hang-p225225910.html?spid=225225911,11,-25%,,Bosch
Bếp từ Bosch PID675DC1E serie 8 Hàng nhập khẩu,18.315.000,https://tiki.vn/bep-tu-bosch-pid675dc1e-serie-8-hang-nhap-khau-p195440023.html?spid=205697395,12,-35%,,Bosch
,,https://tiki.vn/may-hut-mui-bosch-dfs067k51-hang-chinh-hang-p204646060.html?spid=204646061,13,-30%,,Bosch
Bếp từ Bosch PID775DC1E hàng chính hãng,19.000.000₫,https://tiki.vn/bep-tu-bosch-pid775dc1e-hang-chinh-hang-p249892570.html?spid=249892571,14,-25%,,Bosch
Bếp từ Bosch PUJ631BB2E hàng chính hãng,14.500.000₫,https://tiki.vn/bep-tu-bosch-puj631bb2e-hang-chinh-hang-p249885626.html?spid=249885627,15,,,Bosch
