title,price,link_item,index,discount,sales,brand
Biến áp (Adaptor) - chuyển nguồn,139.000₫,https://tiki.vn/bien-ap-adaptor-chuyen-nguon-dung-trong-may-loc-r-o-may-phun-suong-hang-chinh-hang-p42958544.html?spid=42958548,1,-13%,Đã bán 72,SMY
"Bộ 02 co cốc lọc, ly lọc nối nhanh dùng trong máy lọc nước – Hàng chính hãng",25.000₫,https://tiki.vn/bo-02-co-coc-loc-ly-loc-noi-nhanh-dung-trong-may-loc-nuoc-hang-chinh-hang-p42325720.html?spid=42325724,2,-17%,Đã bán 117,SMY
Chân kệ để máy lọc nước R.O (free size) - Hàng chính hãng,73.000₫,https://tiki.vn/chan-ke-de-may-loc-nuoc-r-o-free-size-hang-chinh-hang-p110035573.html?spid=110035574,3,-11%,Đã bán 41,SMY
Vòi máy lọc nước hai chức năng (Hàng chính hãng),148.000,https://tiki.vn/voi-may-loc-nuoc-hai-chuc-nang-p200960627.html?spid=200960628,4,,Đã bán 4,SMY
,,https://tiki.vn/tay-van-ly-coc-loc-nuoc-bigblue-ly-loc-bb-ren-trong-hang-chinh-hang-p56526125.html?spid=56526126,5,-29%,,SMY
Tay vặn ly cốc máy lọc nước loại 10 inch (Hàng chính hãng),25.000₫,https://tiki.vn/tay-van-ly-coc-may-loc-nuoc-loai-10-inch-hang-chinh-hang-p56517419.html?spid=56517420,6,-14%,Đã bán 42,SMY
Bóng đèn UV trong máy lọc nước – 4 chấu,193.000₫,https://tiki.vn/bong-den-uv-trong-may-loc-nuoc-4-chau-p52757053.html?spid=52757055,7,-22%,Đã bán 70,SMY
Van bình áp máy lọc nước - van khóa bình chứa nước máy lọc nước,35.000₫,https://tiki.vn/van-binh-ap-may-loc-nuoc-van-khoa-binh-chua-nuoc-may-loc-nuoc-p44112128.html?spid=44336637,8,,Đã bán 38,SMY
Nối thẳng nhựa 2 đầu ren ngoài 34 (1’’) | 34 - 27 (3/4’’) | 34 - 21 (1/2’’) - Hàng chính hãng,19.000₫,https://tiki.vn/noi-thang-nhua-2-dau-ren-ngoai-34-1-34-27-3-4-34-21-1-2-p200960560.html?spid=200960569,9,,,SMY
,,https://tiki.vn/noi-ren-ngoai-10-13-17-21-ra-day-6-1-4-hoac-day-10-3-8-noi-thang-noi-nhanh-p198512255.html?spid=198512271,10,-10%,,SMY
Vít bắt nắp ly 10 inch 5*20 - Hàng chính hãng,9.000₫,https://tiki.vn/vit-bat-nap-ly-10-inch-5-20-p200960652.html?spid=200960663,11,,,SMY
Nối thẳng 02 đầu ren ngoài – Hàng chính hãng,22.000₫,https://tiki.vn/bo-2-noi-thang-02-dau-ren-ngoai-hang-chinh-hang-p42244179.html?spid=42244189,12,,,SMY
,,https://tiki.vn/bo-3-ly-loc-nap-duc-lien-10-inch-ren-1-2-21mm-3-loi-loc-tang-kem-tay-van-coc-p200960620.html?spid=200960624,13,-27%,,SMY
"Dây điện cho van áp cao, áp thấp máy lọc nước R.O (Hàng chính hãng)",11.000₫,https://tiki.vn/day-dien-cho-van-ap-cao-ap-thap-may-loc-nuoc-r-o-hang-chinh-hang-p82551643.html?spid=82551644,14,-17%,Đã bán 8,SMY
Dây điện cho van điện từ dùng trong máy lọc nước R.O (Hàng chính hãng),10.000₫,https://tiki.vn/day-dien-cho-van-dien-tu-dung-trong-may-loc-nuoc-r-o-hang-chinh-hang-p82959954.html?spid=82959955,15,-50%,,SMY
Co van 1 chiều nối nhanh 2 đầu dây 6 (Hàng chính hãng),30.000₫,https://tiki.vn/co-van-1-chieu-noi-nhanh-2-dau-day-6-hang-chinh-hang-p63562303.html?spid=63562304,16,,Đã bán 1,SMY
