title,price,link_item,index,discount,sales,brand
"Robot Hút Bụi Lau Nhà Roborock Q Revo 2023 Tự Động Đổ Rác Tự Động Giặt Và Sấy Khô Khăn Lau Tự Động Bổ Sung Nước Sạch Tự Động Tối Ưu Dọn Dẹp, Camera AI Siêu Thông Minh Lực Hút 5500 Pa Công Suất 69 W - Hàng Chính Hãng",16.989.000₫,https://tiki.vn/robot-hut-bui-lau-nha-roborock-q-revo-2023-tu-dong-do-rac-tu-dong-giat-va-say-kho-khan-lau-tu-dong-bo-sung-nuoc-sach-tu-dong-toi-uu-don-dep-camera-ai-sieu-thong-minh-luc-hut-5500-pa-cong-suat-69-w-hang-chinh-hang-p217104748.html?spid=217104750,1,-50%,Đã bán 9,Xiaomi
Quạt phun sương để bàn CL08 Xiaomi Lydsto XD-ZMLFS02 - Hàng nhập khẩu,589.000₫,https://tiki.vn/quat-phun-suong-de-ban-cl08-xiaomi-lydsto-xd-zmlfs02-hang-nhap-khau-p254908247.html?spid=254908248,2,-9%,Đã bán 20,Xiaomi
Ấm đun nước siêu tốc Xiaomi Mijia 1.5L chất liệu 2 lớp cao cấp - Bình đun nước thép không gỉ - Hàng chính hãng,329.000₫,https://tiki.vn/am-dun-nuoc-sieu-toc-xiaomi-mijia-1-5l-chat-lieu-2-lop-cao-cap-binh-dun-nuoc-thep-khong-gi-hang-chinh-hang-p271217724.html?spid=271217725,3,-45%,Đã bán 5,Xiaomi
Lõi Lọc Không Khí Xiaomi Mi Air Purifier Filter (Tím) - Hàng chính hãng,609.000,https://tiki.vn/loi-loc-khong-khi-xiaomi-mi-air-purifier-filter-tim-hang-chinh-hang-p15188515.html?spid=57751894,4,,,Xiaomi
,,https://tiki.vn/quat-tich-dien-de-ban-12h-xiaomi-solove-f5-hang-chinh-hang-p192276244.html?spid=192276250,5,-10%,,Xiaomi
Bộ 2 Chổi Quét Góc Thay Thế Cho Robot Hút Bụi Xiaomi Vacuum Mop 2 Pro - Hàng Chính Hãng,250.000₫,https://tiki.vn/bo-2-choi-quet-goc-thay-the-cho-robot-hut-bui-xiaomi-vacuum-mop-2-pro-hang-chinh-hang-p269892505.html?spid=269892506,6,-49%,Đã bán 2,Xiaomi
Máy cạo râu bỏ túi Xiaomi Mijia S600 - Hàng nhập khẩu,1.349.000₫,https://tiki.vn/may-cao-rau-bo-tui-xiaomi-mijia-s600-hang-nhap-khau-p208650047.html?spid=208650048,7,,Đã bán 31,Xiaomi
Máy Lọc Không Khí Ô Tô XIAOMI Smartmi Car Air Purifier - Hàng Chính Hãng,1.119.000₫,https://tiki.vn/may-loc-khong-khi-o-to-xiaomi-smartmi-car-air-purifier-hang-chinh-hang-p184816575.html?spid=184816584,8,,Đã bán 23,Xiaomi
Tông đơ cắt tóc Xiaomi Enchen Boost - Enchen Boost Hair Clipper - Hàng Nhập Khẩu,179.000,https://tiki.vn/tong-do-cat-toc-xiaomi-enchen-boost-enchen-boost-hair-clipper-hang-nhap-khau-p68419791.html?spid=216198887,9,-50%,,Xiaomi
,,https://tiki.vn/may-loc-khong-khi-xiaomi-mi-air-purifier-4-lite-loc-bui-min-ket-noi-app-phu-hop-khong-gian-45-m2-hang-chinh-hang-p242411227.html?spid=184696339,10,,,Xiaomi
"Máy Sưởi XIAOMI Smartmi 1S DNQ04ZM, 3 Cấp Độ Sưởi, Công Suất 2200 W - Hàng Chính Hãng",1.889.000₫,https://tiki.vn/may-suoi-xiaomi-smartmi-1s-dnq04zm-3-cap-do-suoi-cong-suat-2200-w-hang-chinh-hang-p199989915.html?spid=199989916,11,,Đã bán 7,Xiaomi
