title,price,link_item,index,discount,sales,category
Điện Thoại Oppo A17k (3GB/64GB),2.370.000₫,https://tka.tiki.vn/pixel/pixel?data=MSs63k_sRDAwRW4Jph6qTaEj0T-UjbxHChVM9XCbihEp2aA-1VYI7Yfu-7bKLmWOXfF8l9G_1M71Wfaxwm6Z0CtNqgbuPAPPLHlstfsdEBZZnDCbNDVHmndPuMsRu1b1r0vocDL0MNeMBl412B597r52bxN-Bs-GeJ6qnApUYFYgt9ESkMK3lXMtq_BKS6CYh4VApwVHpG8iifRR7U8oPFmDJki0-MMbwJhwipKnXPxrygk3hWbHcR-i52j80h-LJ-DCdj-NqcWbTmfTxdqlK8wXX5I9oARz2ONUg9tzrO2B9r65foKA1NO-YsasOfByX0Fand7gNiS0YXRxispgodbMHgchCU9-pnrvypEGmRUu10S9vCgkSaf-QqGQOLs25Bo1wnl4z7HpCmA26d5Y3QMehy2_gqP1714RCIrdf0FNaCJtkxr8VuX8Du2dEsdDf-9eVccrEG_T8yWBAaB4rUDZ5e6b-uR1zOotqTTg8GuCu0LEL78ZJ1v1STwh-MKSoYVV0ccJywZ1xjIOOJZzauKuo0lcHEEqrw3UvVLf9ucSq0xP8NDcqwNAPqMSfKJkLBjiTBXeWuJPD2G4z17xFT1WjJ1a8Sc480jnqDqrb-l5Xtxh9WucGlX-KxSzCVUSKTD0PbnMDxHF1Kr7gfYqTmLQWIjeYLGpVslOc6kF-JP_20ZoVpEFcoeiCWUG9LT_x6TtouUoj7bUqaUjzGLlx4_RcHOZ_JHGO53MdkhIWNKtN7ctijGGbwoaOyr_UGdEgBITMJj8eHdE0NuEtmyJNTDvT3yDJ5itrGkeQiMX8R-lLhTAlgbnLMjbQllCLJky0hQOv7Q2GOnaGnnGlTtr5KMRubVzPw8DDWNHH-Abb1xcvl384_HLJTaBGcGRSexKdT4HOx73fnfqMEvsBaqrrKoiDvRnS55tjuvKQSXfmTKCVoHrQEsDxBwWbaz4wlv_t2_67199mkQYEdsq2cKW1zuro8Ayw1m3BiNKOe4aMRKg5QaTrYu319JKxb3nridIbIIq0nburKoJx5POhBITHj2-i1IYcIwNJjna5VsD4QyH_PtZUh0aiDUpsA44Ig2ve_HEHkT9ufowzffA7-AhZJMmSYPi60UFNFxFoH3_yu8srZBevXc0KMPrJfdEUdc&reqid=8KQQKkI2a6kBtFKe&type=CLICK&pos=41,1,-28%,Đã bán 5k+,smartphone
Điện thoại vivo Y22s (8GB - 128GB) - Hàng Chính Hãng,4.990.000₫,https://tka.tiki.vn/pixel/pixel?data=DRSMXw6eBSmFI09lVQsgodhlURcte5XEcCNAwwShTZgfIw7Jv443sqFoOCaXYaMUbzeNc_9Ggg_2LCfprovzZkWdQGRa8iBeawOqxI8fVC6YGMXrlNtf_ntJ4sBDt4Rjc1RAtEO-Thv_z0e-9yfgqQ8fabZlOBP5CN23V9rTKYItKeNkgVIqoTACxXBSK_k8Ty11YAi2yBnxFtNbmvAeYtGhXLgpjMYxue0ZTWlowP94zrjjvYFE13igi106UG7_LGYK2tEyk5iksjreFgdCr_oMRlnuvCt3ovZDgW9Ofb0Oe-olCUbcJSA6hyFXRu_eL0OmYcSdQ1Uf4Vy4DfWUqqrty8FDUQzMsF-1FhDKWR8VCUxRglQVJaUAOItXgdPvbjJwAqL9Zam4rFy0XSUf1P0_F7EK5OplZ0qylc8MdZyvSAAjUgWtyYW5_dbEht_yotk1omtPn4cdYM4Qtxm7QH8HrAOex8eabKMcWzQRwN1DrD6lPY1-OX6UnSXAnuVPm-iDEaXiQUZX7U1WfZIsqnugnl3kHWUcZI7LIarjXU22Pl8jrvjgTbcEvCipMhzuxqG4XIJLTD47GpxsyuOqA8x0fU2DRgMZRA4yUP-3_MEiJJiPFmLt0sP-g2GITEtuaeaD8o6zblv1Kndn6MFc_5Fqe1ZbVjvu2U-hx0izLR0E1X6Jwe7MRlS2cXyOd55vDn68zcsXtKtyJbCQk0w9l3WEbyFj5aumsQsuH19fTvcDe-0OIrvC70c8W-L8Vfux0X6W3KfIcb1bT58xgiwvAE4uMyZierYPITY-Hgq8BUCtgDpZjhUuO8JqgPOrukjg5T7Gh7zDOWLkDbQ9ZPuqXFgwACflRXTcVg3LFo_NFILGZ_-2xOYy8Mczk-173iuRBU0OU8NOHi6gTc09RTsmdGfeO_9nT1JdIiXrT1YK-IYlJccTFID_8SnMqs-En7Tyu4tdKV2rT1DZifrBYKCVC0cWz63tJCF4MZ93U-P1ICeyc4ypKbF8oj95kTmcavM8qj6D&reqid=8KQQKkI2a6kBtFKe&type=CLICK&pos=42,2,-17%,Đã bán 4,smartphone
[Mới] Điện thoại vivo V29e 5G (8GB/256GB) - Hàng Chính Hãng - Camera Selfie 50 MP - Vòng Sáng Aura 2.0 - Màn hình AMOLED 6.67,8.690.000₫,https://tka.tiki.vn/pixel/pixel?data=CzIOgWmlZ4hDNEYFCEbsZWIaixgvEyK60jucpMY2bK8zGhoBSEJn5ZxTJFlEKqkkOs1SglXW7KwpIR2qQvUOBVau1Z-RZ21oIq7VWUQwziVLUYDGiAzgoRiU7KuqW6_Vq69PInCFcYWuSZiKA8SHaaRfWmtcbOzxR9JczDI41EvDinG5dcudq7aKlGMfonb-X8D4hDTuotYQCQ8evxutmhbmX8_MAUrLJAqg0_hM9H3JGy_cAMVntYJLc4m6S2EDJUsSRqb4NBR8g6ur5ut1IxefdirLtvqWtnKbMp7rTiY4TBsjKb0ujuAWdcpOyfSBOVBuAVgbgcNGU7W1ODTDlFZs2-HdSiB5IgRatCRxYxIaQLgYW3YKKx8sv47cQCxu3riaGG0zExnaTC-zsTkCG89e82T9i8FlMc60SeOGv_t2Z68OZo7ugDy2FGW-JrcQm_rTy3XvYpGYATjq5XoW6w5oCHBcXBalP5ocDPTgGIWqJPrDycvub4eap0ZZODi4A9lbso36FhIVXLpEKvbTaukgp9LfGcc8sDrXcog5gRthYGCHYsjs9ih0Q52lkKK4reTLzvg15BSfv6JumxQknPGushB9wUvAk7KHgrbZdR9trMly-nVFt1MvD_CDdfjecVFBaSzXwgJO47UKhgk81PnCpjIHP9-1mlUCUPhALrAqdSjkGTi4itVuneoxSTfq2QEPKMxZeOIBo0SGQId1yRh1nf6OOWGfAV2jRtUt6fIrtuO5N79F_4MlD7ijBYdCZDNG_lSwgnv-hDPU8fy-J1bnFgI9949OlPr6-dsMRv9_E6kUBytZE1f8LQi-QaBRaxqc9JlN-fR3mxXlkvQoKvM3nkMbUtDF-SP_XMYinULg-dMY76m8f_hGkVX9c_DuhaqDTSWbB3tstiP1AxTSNrG4gZuPim7oq8rfI-Ep6sAew8g8OJOA3ZFIol5RHjExnBBgfPTRlOd5xSScrmNeVb_NQ9A9IBSpD53rK2B3hxOKggoNJtry8HHYWYvL7kEX5616WxFih-9Kj_1mRiaLin8hl2SxsRQJcCLKCJmcJUN_L1RDbxV9-030pkiYnXFmhAMtdfRFIcE&reqid=8KQQKkI2a6kBtFKe&type=CLICK&pos=43,3,-3%,Đã bán 2,smartphone
Điện thoại Vivo Y36 (8GB/128GB) - Hàng Chính Hãng - Camera 50MP - Sạc Nhanh 44W,5.490.000,https://tka.tiki.vn/pixel/pixel?data=NAler8GfniImIruKkox631bTKOIfDx1WsjnnTQ6QxUSYkHiVQPqPiXbeJBmzN0b6TcoxjAMXVOeNFGgqfTf6AKCPC7REd7Xb2l0SfoGxmBrD39Ydp__BceTbN0WJv7NRl2ezfYCrDDJlRHF1DYyRP6vw1mdCEAKYNLAK1U2AlJvdUNjwB4gC9gDYfWEZJaKkHBUznj3PmYfwNcXDqBGKEuudz4NbEafQVUt0wBq_IxACinD2J3JJ_dqraLS-sT0NGtQ4Ik-Pg9Am3SeFT-KOcj_-wrmn1GQ1JbbtVj6JmTU22cv8_3JRG3aLdwWEaNNa8eRn911ayvmyBt1WpFp60sRVsBo49qEi8Lk8AMQl4pxUR5XIiwgyFgA31WmAoP-rUmbk0CXf7KxM8xXH124PYFyOzmc6tlspP47629hRLn3xGcAGLkxKyKqFc1KURyAP27IccYh3175PKmoKFAErddycSMmtsTiHLyHbdVKLa569tplJ2lPwmFXW7nlVwWYsgzMbwhBgLrYOlcQCFeh4UBcZb_nqFhJXdY9_FDb4GqBoDsQm6-CYrP_es6BZAg09r5-odaSesw4M2IjvmQ5UebPd_y4LsPYjLMhRcjvxGKeUsmzPhwbg6rrqo0uIy8pA3y6H8hEuwzpDBfw5s6UdhAXyqRtVWkINsP5dp-c0v6mKet7mKB4PJqmioarQ-flno7OB9sYvd0gIiX2P-61uzFd8BNLrLEqFG5djZyqeWaeMCAQXd1XF9fyGIU8pQpbQfIkGDZgFjNTDDG8urninoRuD2UCrEw9IP76l6VH1wfvb_Kv5af3MORCqQb2veWw8VwMEUDKfTknpxd33Sirj0Xo5NjDPgSfjabssUXpiZjfuyJSWH51B4bylfwhXVbIviAKZe8ic3H50liPdYvkCw_nD4Pze8UBmbAjy44kRyqsCsSMCEFrDs1ZKZN4zJ9C4IOI8B4-k9UEL_NiEGkvLU4jX94h-USl5JyboDJ583JAiDkudwRSrPC2nE_VE6zztIJ9ZhVh55s5HcyUajUm7c5Gk8V2Q5OhCZKg&reqid=8KQQKkI2a6kBtFKe&type=CLICK&pos=44,4,,,smartphone
,,https://tka.tiki.vn/pixel/pixel?data=mMuDvvDZ5vtkHHuAWB8mW9C5Rk3gf0YBlxDpKW3SgxMnL42tAcHlrPIZBhxPSd_VcWPYM9jBNp6GKAsQUSqV1b9jFZLd2rtErE7KsP6OSNKIK507UM8dLsnR0ClmSnJ0sJYMmeFoYWnT20ij8rFCQ8KAb3qNwsnAtESWRKh1Y_2f8PYkIC0n3N5TV-AOnLbmaAZ5nuhGINxg5ps9dA7eu4lKmu7hDxZFlmu_mvopomSdWf6ilXeDJEsSiZbiVN8tSCPuEn-QvqBE7Roq55iQ7p74OxQ0oYCcZe8h2IgVbVj2-BywewH8OcA7M9PpL1rlsplyGpTL0Be833nfC-lPgoArM6DQ6PlJhG7yVPtbBqXWPZTo_xa8u6GBgmhQQu_vuD8Y7Sljez97UVatDAq0uD5EHMjFGdnSSNnzcwIWFoYQI-u4CGD95QXg0HNPTgkyZt43xUE4u7GAumyxihxmZu6uzx_hJ0wZ8uAmx0LxbbD4DIktsb4PPixUXqpYokIcNSnwY3-YFlScBikdFNhCrM9MEMYgGTkAUoZGjgbouW8q4dKk8j7bCRip6yIZqk3O0JCm75cG90kunce-ETwsa46x-djJ6IbPMf8tqERCcOZc1RIwNUh6Wxtdg4WfIRyaA7JvCM_Ror4wtghAmEmv4HauaKGzXvEGO13qwjvoStEUTfqC31xOLI0KxLYy_yidahnLk2tN-ipS_GZsIcl1oAbvel07I43iT5qtFIh9coHJua8WUSemZnW6dK0-jBRASM_0q6cOp51c6RAcBtw3lIqLFoxoOHbovu5F_mkvHZ9lGsmqGJ7uNQneqMTUMksiiFv0xcs0VlA85SSeWAx55SDjJ7hAWlwtAhW4uaNoN0nCbnePaMOwMay1c74zuJYPTHOndKxy-kpDtJk43raqXbLbhkPD0dTqo6JW67gSOae9TnbuwunyYLVactAWaCFhTlM1opR0AgiVcLV7mhwrMEuZ7mzzb3clrmrWZOa-mJAZz_ukj5kOxN7CcI0G&reqid=8KQQKkI2a6kBtFKe&type=CLICK&pos=45,5,,,smartphone
Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,5.647.000₫,https://tiki.vn/dien-thoai-samsung-a34-5g-8gb-128gb-hang-chinh-hang-p248762051.html?spid=248762057,6,-33%,Đã bán 16,smartphone
Điện Thoại Samsung A05 4GB/128GB - Hàng Chính Hãng,2.652.000₫,https://tiki.vn/dien-thoai-samsung-a05-4gb-128gb-hang-chinh-hang-p272328188.html?spid=272328194,7,-14%,Đã bán 13,smartphone
Điện Thoại Samsung A54 5G 8GB/128GB - Hàng Chính Hãng,7.079.000₫,https://tiki.vn/dien-thoai-samsung-a54-5g-8gb-128gb-hang-chinh-hang-p248688169.html?spid=248688175,8,-33%,Đã bán 16,smartphone
Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế,2.899.000,https://tiki.vn/dien-thoai-oppo-a55s-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230203067.html?spid=230203073,9,,,smartphone
,,https://tiki.vn/dien-thoai-vsmart-bee-lite-2gb-16gb-hang-chinh-hang-p140184098.html?spid=140184100,10,,,smartphone
