title,price,link_item,index,discount,sales,brand
Dép Thái Lan cao cấp bé trai quai ngang DTE1007 (LOẠI 1),352.000₫,https://tiki.vn/dep-thai-lan-cao-cap-be-trai-quai-ngang-dte1007-loai-1-p197892272.html?spid=197892274,1,-12%,,Bee_Gee
Balo bỉm sữa đa năng cao cấp BEEGEE TD300B260,545.000₫,https://tiki.vn/balo-bim-sua-da-nang-cao-cap-beegee-td300b260-p170924222.html?spid=170924224,2,-50%,,Bee_Gee
Giày bé trai đế phát sáng BEE GEE G1002,290.000₫,https://tiki.vn/giay-be-trai-de-phat-sang-bee-gee-g1002-p187747612.html?spid=187747618,3,-56%,Đã bán 5,Bee_Gee
"Giày lười cho bé, giày phong cách dễ thương, thoáng khi, đế êm nhẹ, chống trơn trượt - GLTE3012",202.000,https://tiki.vn/giay-luoi-cho-be-giay-phong-cach-de-thuong-thoang-khi-de-em-nhe-chong-tron-truot-glte3012-p272596461.html?spid=272596491,4,,,Bee_Gee
,,https://tiki.vn/ba-lo-hoc-sinh-cap-1-sieu-nhe-chong-nuoc-cao-cap-phong-cach-moi-bee-gee-hs1043-p188382020.html?spid=188382021,5,,,Bee_Gee
Ba lô cho bé gái dùng cho đi học đi chơi – BEE GEE HS1158,230.000₫,https://tiki.vn/ba-lo-cho-be-gai-dung-cho-di-hoc-di-choi-bee-gee-hs1158-p270699783.html?spid=270699789,6,-50%,,Bee_Gee
Ba lô học sinh cấp 1 siêu nhẹ chống nước cao cấp phong cách mới - BEE GEE HS1042,190.000₫,https://tiki.vn/ba-lo-hoc-sinh-cap-1-sieu-nhe-chong-nuoc-cao-cap-phong-cach-moi-bee-gee-hs1042-p188381504.html?spid=188381510,7,-50%,Đã bán 4,Bee_Gee
Ba lô chống gù cho bé gái – BEE GEE HS1150,420.000₫,https://tiki.vn/ba-lo-chong-gu-cho-be-gai-bee-gee-hs1150-p270171605.html?spid=270171611,8,-50%,,Bee_Gee
"Giày Sandal quai hậu cho bé trai, thể thao siêu nhẹ, êm nhẹ chống trơn – GSD9017",273.000,https://tiki.vn/giay-sandal-quai-hau-cho-be-trai-the-thao-sieu-nhe-em-nhe-chong-tron-gsd9017-p263776823.html?spid=263776833,9,,,Bee_Gee
,,https://tiki.vn/giay-sneaker-the-thao-cho-be-trai-be-gai-phong-cach-de-thuong-gte2014-p210113505.html?spid=210113507,10,,,Bee_Gee
"Giày thể thao cho bé phong cách dễ thương, thoáng khi, đế êm nhẹ, chống trơn trượt - GLTE3010",264.000₫,https://tiki.vn/giay-the-thao-cho-be-phong-cach-de-thuong-thoang-khi-de-em-nhe-chong-tron-truot-glte3010-p272593386.html?spid=272593390,11,-56%,,Bee_Gee
