title,price,link_item,index,discount,sales,brand
"combo viên rửa bát finish Classic 85 viên+nước làm bóng finish 400ml+muối rửa bát finish 1,2kg dùng cho máy rửa chén bát",499.000₫,https://tiki.vn/combo-vien-rua-bat-finish-classic-85-vien-nuoc-lam-bong-finish-400ml-muoi-rua-bat-finish-1-2kg-dung-cho-may-rua-chen-bat-p53808090.html?spid=55752678,1,,Đã bán 28,finish
Viên rửa chén bát Finish Quantum 60 viên - Hàng chính hãng [12 chức năng],368.999₫,https://tiki.vn/vien-rua-chen-bat-finish-quantum-60-vien-hang-chinh-hang-12-chuc-nang-re-vo-dich-p121315599.html?spid=127599979,2,,,finish
Hộp 100 viên rửa chén Finish Classic Dishwasher Tablets PTT025445,299.000₫,https://tiki.vn/hop-100-vien-rua-chen-finish-classic-dishwasher-tablets-ptt025445-p205414760.html?spid=205414763,3,,Đã bán 89,finish
"Combo Viên Rửa Bát Finish 150 Viên + Muối rửa bát Finish 1,2kg + Nước làm bóng Somat 750ml dùng cho máy",105.398,https://tiki.vn/combo-vien-rua-bat-finish-150-vien-muoi-rua-bat-finish-1-2kg-nuoc-lam-bong-somat-750ml-dung-cho-may-p121326492.html?spid=140192661,4,,,finish
,,https://tiki.vn/muoi-rua-chen-finish-dishwasher-salt-1-5kg-qt017383-p52788748.html?spid=58872635,5,,,finish
Nước làm bóng Finish 750ml Finish EU,138.648₫,https://tiki.vn/nuoc-lam-bong-finish-750ml-finish-eu-p102536129.html?spid=252159832,6,,,finish
"Viên rửa bát Finish Classic 100 viên/ hộp - Hương Chanh, Nhập khẩu EU",339.000₫,https://tiki.vn/vien-rua-bat-finish-classic-100-vien-hop-huong-chanh-nhap-khau-eu-p71893580.html?spid=206147055,7,,,finish
Nước làm bóng (dầu bóng ) chuyên dùng cho máy rửa chén ly bát,116.024₫,https://tiki.vn/nuoc-lam-bong-dau-bong-chuyen-dung-cho-may-rua-chen-ly-bat-p121326912.html?spid=133868830,8,,Đã bán 17,finish
Viên vệ sinh máy rửa bát Finish vỉ 3 viên - Chính hãng,99.000₫,https://tiki.vn/vien-ve-sinh-may-rua-bat-finish-vi-3-vien-chinh-hang-p121316272.html?spid=127339318,9,,Đã bán 10,finish
,,https://tiki.vn/muoi-rua-bat-finish-3kg-lam-mem-nuoc-trong-may-rua-bat-muoi-finish-1-2kg-muoi-rua-chen-finish-1-5kg-muoi-rua-bat-finish-salt-3kg-p221023806.html?spid=273606177,10,,,finish
combo 3 chai Nước làm bóng bát finish 800ml dùng cho máy,305.000₫,https://tiki.vn/combo-3-chai-nuoc-lam-bong-bat-finish-800ml-dung-cho-may-p205293817.html?spid=217146804,11,,Đã bán 5,finish
Viên rửa bát Finish 120 viên+1150ml Nước bóng Finish dùng cho Máy rửa bát,469.000,https://tiki.vn/vien-rua-bat-finish-120-vien-1150ml-nuoc-bong-finish-dung-cho-may-rua-bat-p205465137.html?spid=205465140,12,,,finish
,,https://tiki.vn/nuoc-lam-bong-finish-400ml-p37888837.html?spid=206146188,13,,,finish
"Nước làm bóng và khô chén, đĩa Finish Dishwasher Shine & Dry Lemon 800ml QT004996 - hương chanh",158.666₫,https://tiki.vn/nuoc-lam-bong-va-kho-chen-dia-finish-dishwasher-shine-dry-lemon-800ml-qt004996-huong-chanh-p52790037.html?spid=125687401,14,,,finish
Combo 02 Hộp Muối Rửa Chén Bát Finish Salt - Hộp 4KG,718.000₫,https://tiki.vn/combo-02-hop-muoi-rua-chen-bat-finish-salt-hop-4kg-p253350142.html?spid=270925827,15,,,finish
Combo nước làm bóng bát finish 800ml+viên rửa bát finish quantum max 36 viên dùng cho máy rửa bát,335.000₫,https://tiki.vn/combo-nuoc-lam-bong-bat-finish-800ml-vien-rua-bat-finish-quantum-max-36-vien-dung-cho-may-rua-bat-p51953696.html?spid=133868549,16,,,finish
Viên rửa chén bát Finish Quantum siêu cao cấp dùng cho máy,199.000,https://tiki.vn/vien-rua-chen-bat-finish-quantum-sieu-cao-cap-dung-cho-may-p121326368.html?spid=127836692,17,,,finish
,,https://tiki.vn/combo-vien-finish-80-vien-muoi-finish-1-5kg-nuoc-lam-bong-finish-750ml-p134759977.html?spid=271013458,18,,,finish
Chai gel rửa bát dùng cho máy 1500 ml,295.000₫,https://tiki.vn/chai-gel-rua-bat-dung-cho-may-1500-ml-p205505697.html?spid=205505700,19,,Đã bán 1,finish
Nước làm bóng Finish 800ml - 4 chức năng,189.000₫,https://tiki.vn/nuoc-lam-bong-finish-800ml-4-chuc-nang-p206293113.html?spid=146847157,20,,,finish
Viên rửa bát Finish Classic 100 viên - NHẬP KHẨU CHÍNH HÃNG,299.000₫,https://tiki.vn/vien-rua-bat-finish-classic-100-vien-nhap-khau-chinh-hang-p169737124.html?spid=270981187,21,,,finish
"Combo viên rửa bát Finish hộp 500 viên + hộp muối Finish 1,2kg + chai nước làm bóng alio 1000 ml",139.000₫,https://tiki.vn/combo-vien-rua-bat-finish-hop-500-vien-hop-muoi-finish-1-2kg-chai-nuoc-lam-bong-alio-1000-ml-p121326376.html?spid=134405689,22,,,finish
viên rửa chén finish quantum túi 120 viên (hàng Đức )Viên rửa bát chén siêu cao cấp,699.000₫,https://tiki.vn/vien-rua-chen-finish-quantum-tui-120-vien-hang-duc-vien-rua-bat-chen-sieu-cao-cap-p205471685.html?spid=271956161,23,,Đã bán 1,finish
Viên rửa bát finish All in one 90 viên+Dung dịch nước làm bóng finish 750ml+Muối rửa bát chén finish 1.2kg cho Máy rửa bát,619.000₫,https://tiki.vn/vien-rua-bat-finish-all-in-one-90-vien-dung-dich-nuoc-lam-bong-finish-750ml-muoi-rua-bat-chen-finish-1-2kg-cho-may-rua-bat-p55672160.html?spid=128877293,24,,Đã bán 1,finish
Gel rửa chén bát Finish All In One Max 650ml Shine & Protect,198.000,https://tiki.vn/gel-rua-chen-bat-finish-all-in-one-max-650ml-shine-protect-p121315567.html?spid=184240187,25,,,finish
,,https://tiki.vn/tinh-dau-treo-khu-mui-may-rua-chen-finish-dishwasher-freshener-odor-stop-60x-qt017393-p53830007.html?spid=63236817,26,,,finish
