title,price,link_item,index,discount,sales,category
"Avisure Safoli Drop Sắt hữu cơ nhỏ giọt cho bé 20ml - dự phòng thiếu máu, bé ăn ngon, hấp thu tốt",155.000₫,https://tiki.vn/avisure-safoli-drop-sat-huu-co-nho-giot-cho-be-20ml-du-phong-thieu-mau-be-an-ngon-hap-thu-tot-p199951317.html?spid=205374886,1,-8%,Đã bán 8,dinhduongchobe
"SỮA BỘT BABEGO – TIÊU HOÁ KHOẺ, TRẺ LỚN NHANH 800G DÀNH CHO BÉ TỪ 12-36 THÁNG",520.000₫,https://tiki.vn/sua-bot-babego-tieu-hoa-khoe-tre-lon-nhanh-800g-p48039717.html?spid=48039718,2,-25%,Đã bán 83,dinhduongchobe
SỮA BỘT BABEGO 400G – hỗ trợ điều TRỊ CHO TRẺ SUY DINH DƯỠNG & THẤP CÒI TỪ 12-36 THÁNG,270.000₫,https://tiki.vn/sua-bot-babego-tieu-hoa-khoe-tre-lon-nhanh-400g-p48035232.html?spid=48035233,3,-10%,Đã bán 33,dinhduongchobe
Nước Dinh Dưỡng Smart Dino Cho Các Bé Mẫu Mới (10 Gói x 120ml),200.000₫,https://tiki.vn/nuoc-dinh-duong-smart-dino-cho-cac-be-mau-moi-10-goi-x-120ml-p99338794.html?spid=99338795,4,-56%,Đã bán 1,dinhduongchobe
Dinh dưỡng đóng lọ ăn dặm Mơ tây HiPP Organic 125g,41.400₫,https://tiki.vn/dinh-duong-dong-lo-an-dam-mo-tay-hipp-organic-125g-p95035860.html?spid=95035864,5,-6%,Đã bán 192,dinhduongchobe
Sữa bột Hismart milk số 1- 400g,299.000₫,https://tiki.vn/sua-bot-hismart-milk-so-1-400g-p171812513.html?spid=171812514,6,-32%,,dinhduongchobe
Kẹo dẻo SingKids Calci - Bổ sung Canxi và vitamin D3 (20 gói *30g),149.250₫,https://tiki.vn/thuc-pham-bo-sung-keo-deo-singkids-calci-bo-sung-canxi-va-vitamin-d3-20-goi-30g-p225906457.html?spid=225906458,7,-6%,Đã bán 1,dinhduongchobe
SỮA BỘT DIELAC ALPHA 3 900G,245.000₫,https://tiki.vn/sua-bot-dielac-alpha-3-900g-p22503176.html?spid=53081713,8,-2%,Đã bán 18,dinhduongchobe
Thùng sữa công thức pha sẵn Nutricare ColosCare (180ml x 48 hộp)- sữa non tăng cường miễn dịch,659.000₫,https://tiki.vn/thung-sua-cong-thuc-pha-san-nutricare-coloscare-180ml-x-48-hop-sua-non-tang-cuong-mien-dich-p59358176.html?spid=59358177,9,-6%,Đã bán 71,dinhduongchobe
Sữa Oggi BA 900g - Dành cho trẻ biếng ăn,298.000₫,https://tiki.vn/sua-oggi-ba-900g-danh-cho-tre-bieng-an-p84870971.html?spid=84870972,10,-6%,Đã bán 74,dinhduongchobe
