title,price,link_item,index,discount,sales,category
Bông tăm Moby cỡ bông nhỏ 150 chiếc,65.000₫,https://tiki.vn/bong-tam-moby-co-bong-nho-150-chiec-p262766413.html?spid=262766414,1,-16%,Đã bán 3,thucphamandam
Bột rau dinh dưỡng cho bé Dalahouse - 7 vị với 7 loại bột rau giàu dưỡng chất - Cân bằng chế độ dinh dưỡng cho trẻ,54.000₫,https://tiki.vn/bot-rau-dinh-duong-cho-be-dalahouse-7-vi-voi-7-loai-bot-rau-giau-duong-chat-can-bang-che-do-dinh-duong-cho-tre-p168953141.html?spid=157137923,2,-15%,Đã bán 120,thucphamandam
Mỳ Ăn Dặm Bí Đỏ Hải Sản Long Giang,86.000₫,https://tiki.vn/my-an-dam-bi-do-hai-san-p263599952.html?spid=263599953,3,-37%,,thucphamandam
Mỳ Ăn Dặm Cải Bó Xôi Long Giang,36.000₫,https://tiki.vn/my-an-dam-cai-bo-xoi-long-giang-p207733198.html?spid=207733199,4,-10%,,thucphamandam
Thùng 24 hũ Babi Bird - Nước Yến Sào Cho Trẻ Em Sợi Yến Thật 100%,1.560.000₫,https://tiki.vn/combo-24-hu-babi-bird-nuoc-yen-sao-cho-tre-em-soi-yen-that-100-p49094869.html?spid=49094870,5,-20%,Đã bán 10,thucphamandam
Rong biển hữu cơ cán dẹt ăn liền và tách muối cho bé Alvins,105.000₫,https://tiki.vn/rong-bien-huu-co-can-det-an-lien-va-tach-muoi-cho-be-alvins-p78906509.html?spid=185843191,6,-20%,Đã bán 5,thucphamandam
Combo 2 hộp bột rau dinh dưỡng cho bé Dalahouse kèm quà tặng - 7 loại bột rau giúp khắc phục chứng “lười ăn rau” của trẻ,315.000₫,https://tiki.vn/combo-2-hop-bot-rau-dinh-duong-cho-be-dalahouse-kem-qua-tang-7-loai-bot-rau-giup-khac-phuc-chung-luoi-an-rau-cua-tre-p99322197.html?spid=99322198,7,-10%,Đã bán 4,thucphamandam
Cháo Gạo Koshihikari Ăn Dặm Với Rau Và Rong Biển Matsuya (Vị Sò Điệp) 60g,73.000₫,https://tiki.vn/chao-gao-koshihikari-an-dam-voi-rau-va-rong-bien-matsuya-vi-so-diep-60g-p48632328.html?spid=49035449,8,-7%,Đã bán 27,thucphamandam
MÌ ăn dặm hữu cơ cho bé vị khoai lang Sweet Potato 200g Men No Sato,67.150₫,https://tiki.vn/mi-an-dam-huu-co-cho-be-vi-khoai-lang-sweet-potato-200g-men-no-sato-p22152419.html?spid=90460947,9,,Đã bán 3,thucphamandam
Mỳ Ăn Dặm Bí Đỏ Long Giang,35.000₫,https://tiki.vn/my-an-dam-bi-do-long-giang-p207733359.html?spid=207733360,10,,,thucphamandam
Bánh Gạo Hữu Cơ Hương Bí Đỏ APPLE MONKEY 30G,79.000₫,https://tiki.vn/banh-gao-huu-co-huong-bi-do-apple-monkey-30g-p93819896.html?spid=93819897,11,,Đã bán 2,thucphamandam
Nui Dinh Dưỡng Hữu Cơ Hình Ống Từ Lúa Mì Bellamy's Organic,233.000₫,https://tiki.vn/nui-dinh-duong-huu-co-hinh-ong-tu-lua-mi-bellamy-s-organic-p201821528.html?spid=201821529,12,,Đã bán 1,thucphamandam
"Gia Vị Rắc Cơm Ăn Dặm Cho Bé, Đồ Ăn Furikake Vị Bò Sốt Bơ, Gia Vị Rắc Cơm Enzy, Gói 30gr",38.000₫,https://tiki.vn/gia-vi-rac-com-an-dam-cho-be-do-an-furikake-vi-bo-sot-bo-gia-vi-rac-com-enzy-goi-30gr-p270462427.html?spid=270462434,13,,Đã bán 1,thucphamandam
Mỳ Ăn Liền Mug Nissin cho bé Nhật Bản,79.000₫,https://tiki.vn/my-an-lien-mug-nissin-cho-be-nhat-ban-p253100797.html?spid=253100799,14,,Đã bán 19,thucphamandam
Nước Giặt Xả Pom Pom Active dạng túi 1.2L,123.300₫,https://tiki.vn/nuoc-giat-xa-pom-pom-active-dang-tui-1-2l-p262766443.html?spid=262766444,15,,,thucphamandam
Combo 5 Hộp patê gan Hạ Long 90g,103.000₫,https://tiki.vn/combo-5-hop-pate-gan-ha-long-90g-p205856680.html?spid=205856683,16,,Đã bán 3,thucphamandam
Sữa chua cừu hữu cơ cho bé Babybio dạng hũ 130g (từ 6 tháng),75.000₫,https://tiki.vn/sua-chua-cuu-huu-co-cho-be-babybio-dang-hu-130g-tu-6-thang-p263972823.html?spid=263972827,17,,,thucphamandam
Mì nui cho bé Bartolini 250gr,62.000₫,https://tiki.vn/mi-nui-cho-be-bartolini-250gr-p263953641.html?spid=263953645,18,,,thucphamandam
