title,price,link_item,index,discount,sales,brand
"Áo sơ mi nam form body slim fit, phong cách Hàn, không túi, vải Bamboo màu trơn, hiệu Amazing",163.000₫,https://tiki.vn/ao-so-mi-nam-form-body-slim-fit-phong-cach-han-khong-tui-vai-bamboo-mau-tron-hieu-amazing-p178588791.html?spid=178588867,1,-39%,Đã bán 2,Amazing
"Áo somi nam Amazing, thời trang công sở cao cấp trung niên, form rộng dáng suông, dài tay, đuôi tôm, big size",163.000₫,https://tiki.vn/ao-so-mi-vai-mau-vang-pastel-thoi-trang-nam-trung-nien-big-size-dai-tay-lai-bau-amazing-p273192788.html?spid=273195015,2,-39%,,Amazing
"Quần sọt kaki nam size đại, lưng bo, short form rộng, lai lật phối sọc, bigsize, hiệu Amazing",114.000₫,https://tiki.vn/quan-sot-kaki-nam-size-dai-lung-bo-short-form-rong-lai-lat-phoi-soc-bigsize-hieu-amazing-p153824693.html?spid=153824759,3,-43%,Đã bán 8,Amazing
"Quần tây nam công sở hiệu Amazing, form truyền thống, hoạ tiết vân chìm, không ly",192.000,https://tiki.vn/quan-tay-nam-cong-so-hieu-amazing-form-truyen-thong-hoa-tiet-van-chim-khong-ly-p205480502.html?spid=205480526,4,,,Amazing
,,https://tiki.vn/ao-so-mi-nam-mau-tron-kt-silk-chat-vai-mem-muot-form-regular-stlye-van-phong-tay-dai-duoi-tom-size-toi-100kg-p118593738.html?spid=118593772,5,,,Amazing
"Áo sơmi nam tay dài có túi, màu xanh biển, form rộng, vạt bầu đuôi tôm, thời trang công sở trung niên hiệu Amazing cao cấp",210.000₫,https://tiki.vn/ao-somi-nam-tay-dai-co-tui-mau-xanh-bien-form-rong-vat-bau-duoi-tom-thoi-trang-cong-so-trung-nien-hieu-amazing-cao-cap-p190106233.html?spid=190106243,6,-40%,,Amazing
"Áo sơ mi nam màu trắng, tay ngắn, đồng phục học sinh các cấp, size từ 20-95kg, form suông, vạt bầu, thương hiệu Amazing",81.000₫,https://tiki.vn/ao-so-mi-nam-mau-trang-tay-ngan-dong-phuc-hoc-sinh-cac-cap-size-tu-20-95kg-form-suong-vat-bau-thuong-hieu-amazing-p113769576.html?spid=113769578,7,-45%,Đã bán 22,Amazing
"Áo sơ mi nam cao cấp Amazing, màu tím than, tay dài, có túi, form rộng, vạt bầu, vải Bamboo mịn mướt, thấm hút mồ hôi",210.000₫,https://tiki.vn/ao-so-mi-nam-cao-cap-amazing-mau-tim-than-tay-dai-co-tui-form-rong-vat-bau-vai-bamboo-min-muot-tham-hut-mo-hoi-p190086995.html?spid=190087039,8,-40%,,Amazing
"Quần tây nam cao cấp Amazing màu xanh đen, form truyền thống công sở, không ly, ống đứng",286.000,https://tiki.vn/quan-tay-nam-cao-cap-amazing-mau-xanh-den-form-truyen-thong-cong-so-khong-ly-ong-dung-p203115271.html?spid=203115279,9,,,Amazing
,,https://tiki.vn/quan-sot-bo-amazing-short-nam-lung-lung-thun-day-rut-big-size-phong-cach-the-thao-tre-trung-p207754887.html?spid=207754907,10,,,Amazing
