title,price,link_item,index,discount,sales,brand
"Áo thun Unisex phản quang (Mặc định là màu đen, ib cho shop nếu bạn muốn lấy màu trắng) Có size tay lỡ",50.000₫,https://tiki.vn/ao-thun-unisex-phan-quang-mac-dinh-la-mau-den-ib-cho-shop-neu-ban-muon-lay-mau-trang-co-size-tay-lo-p92461319.html?spid=92461341,1,,,VHL
"Áo Thun Phản Quang Nam Nữ In hình MẶT QUỶ NGẬM ĐOẢN ĐAO , áo chất, đi đêm, đi phượt bao ngầu, nhìn đã mắt",50.000₫,https://tiki.vn/ao-thun-phan-quang-nam-nu-in-hinh-mat-quy-ngam-doan-dao-ao-chat-di-dem-di-phuot-bao-ngau-nhin-da-mat-p92461915.html?spid=92462602,2,,,VHL
"Áo Thun Phản Quang Nam Nữ In hình GUNDAM SENTINEL , áo chất, đi đêm, đi phượt bao ngầu, nhìn đã mắt",50.000₫,https://tiki.vn/ao-thun-phan-quang-nam-nu-in-hinh-gundam-sentinel-ao-chat-di-dem-di-phuot-bao-ngau-nhin-da-mat-p92462648.html?spid=92463068,3,,,VHL
Áo Tay Lỡ Unisex Phản Quang Naruto Form Rộng Vải Mịn Đủ size - 2 Mặt,50.000₫,https://tiki.vn/ao-tay-lo-unisex-phan-quang-naruto-form-rong-vai-min-du-size-2-mat-p92462072.html?spid=92462846,4,,,VHL
,,https://tiki.vn/ao-thun-phan-quang-nam-nu-in-hinh-tia-set-ao-chat-di-dem-di-phuot-bao-ngau-nhin-da-mat-p92462897.html?spid=92463461,5,,,VHL
"Áo Thun Phản Quang Nam Nữ In hình Con Sticker áo chất, đi đêm, đi phượt bao ngầu, nhìn đã mắt",50.000₫,https://tiki.vn/ao-thun-phan-quang-nam-nu-in-hinh-con-sticker-ao-chat-di-dem-di-phuot-bao-ngau-nhin-da-mat-p92462131.html?spid=92462899,6,,,VHL
Áo Tay Lỡ Unisex Phản Quang Form Rộng Vải Mịn Đủ size - Người Âm Phủ Ngày ngủ Đêm Bay,50.000₫,https://tiki.vn/ao-tay-lo-unisex-phan-quang-form-rong-vai-min-du-size-nguoi-am-phu-ngay-ngu-dem-bay-p92462718.html?spid=92463368,7,,,VHL
Áo Tay Lỡ Unisex Phản Quang Đa Sắc Mãnh Hổ Thiết Kế,50.000₫,https://tiki.vn/ao-tay-lo-unisex-phan-quang-da-sac-manh-ho-thiet-ke-p92462322.html?spid=92462787,8,,,VHL
Áo Tay Lỡ Unisex Phản Quang Đa Sắc Mèo Âm Dương ( Đủ size ),50.000₫,https://tiki.vn/ao-tay-lo-unisex-phan-quang-da-sac-meo-am-duong-du-size-p92463335.html?spid=92465160,9,,,VHL
,,https://tiki.vn/ao-thun-nam-nu-phan-quang-in-hinhcon-buom-3-ao-chat-di-dem-di-phuot-bao-ngau-nhin-da-mat-p92464657.html?spid=92465636,10,,,VHL
