title,price,link_item,index,discount,sales,brand
Viettien - Áo thun nam có cổ sọc ngang ngực Đen 6S3014 Regular - Đen,774.200₫,https://tiki.vn/viettien-ao-thun-nam-co-co-soc-ngang-nguc-den-6s3014-regular-p273396979.html?spid=273396990,1,-2%,,Viettien
Viettien - Áo sơ mi nam ngắn tay xẻ tà vạt ngang 6P0042,497.000₫,https://tiki.vn/viettien-ao-so-mi-nam-ngan-tay-xe-ta-vat-ngang-6p0042-p94879662.html?spid=94879735,2,,Đã bán 3,Viettien
Viettien - Quần short nam kaki màu nâu 6Q8009 regular fit,495.000₫,https://tiki.vn/viettien-quan-short-nam-kaki-mau-nau-6q8009-regular-fit-p150879920.html?spid=150879926,3,,Đã bán 3,Viettien
Viettien - Quần Jeans nam dài Regular fit Màu Xanh 6S7011 - Xanh,823.200,https://tiki.vn/viettien-quan-jeans-nam-dai-regular-fit-mau-xanh-6s7011-p273398697.html?spid=273398699,4,-2%,,Viettien
,,https://tiki.vn/viettien-ao-so-mi-nam-ngan-tay-xe-ta-vat-ngang-bamboo-spun-regular-ca-ro-6s0148-p273396202.html?spid=273396210,5,-2%,,Viettien
Viettien - Áo sơ mi nam việt tiến màu trắng viền xanh dài tay chất liệu Bamboo sợi tre Regular fit - Trắng,637.000₫,https://tiki.vn/viettien-ao-so-mi-nam-viet-tien-mau-trang-vien-xanh-dai-tay-chat-lieu-bamboo-soi-tre-regular-fit-p273395658.html?spid=273395670,6,,,Viettien
Viettien - Áo sơ mi nam dài tay chấm bi 1Q1181 regular,580.000₫,https://tiki.vn/viettien-ao-so-mi-nam-dai-tay-cham-bi-1q1181-regular-p170684989.html?spid=170684991,7,-2%,,Viettien
Viettien - Áo sơ mi nam ngắn tay xẻ tà vạt ngang Bamboo spun regular và regular fit Ca rô 6S0606-6,607.600₫,https://tiki.vn/viettien-ao-so-mi-nam-ngan-tay-xe-ta-vat-ngang-bamboo-spun-regular-va-regular-fit-ca-ro-6s0606-6s0607-p273396456.html?spid=273396474,8,-2%,,Viettien
Viettien - Quần tây nam màu nâu không ly 8P4109 regular fit,540.000,https://tiki.vn/viettien-quan-tay-nam-mau-nau-khong-ly-8p4109-regular-fit-p158886178.html?spid=158886180,9,-2%,Đã bán 1,Viettien
,,https://tiki.vn/viettien-quan-tay-nam-mau-nau-dam-khong-ly-8p4091-regular-fit-p155716886.html?spid=155716898,10,,,Viettien
Viettien - Áo thun nam có cổ kẻ sọc ngang 6R3118 regular,660.000₫,https://tiki.vn/viettien-ao-thun-nam-co-co-ke-soc-ngang-6r3118-regular-p165593965.html?spid=165593975,11,-2%,,Viettien
Viettien - Áo sơ mi nam ngắn tay xẻ tà vạt ngang 1Q0168 kẻ sọc regular,535.000,https://tiki.vn/viettien-ao-so-mi-nam-ngan-tay-xe-ta-vat-ngang-1q0168-ke-soc-regular-p170735829.html?spid=170735833,12,-2%,Đã bán 2,Viettien
,,https://tiki.vn/viettien-ao-so-mi-nam-dai-tay-hoa-tiet-8n2305-regular-fit-dang-om-ao-so-mi-nam-cong-so-viet-tien-p273395797.html?spid=273395802,13,-2%,,Viettien
Việt Tiến - Áo sơ mi nam ngắn tay xẻ tà lai ngang Bamboo Regular ca rô 6S0276 - Caro,666.400₫,https://tiki.vn/viet-tien-ao-so-mi-nam-ngan-tay-xe-ta-lai-ngang-bamboo-regular-ca-ro-6s0276-p273396527.html?spid=273396548,14,-2%,,Viettien
