title,price,link_item,index,discount,sales,category
"Bộ Quần Áo Nỉ Nam Tay Dài 5S FASHION, Chất Liệu Cotton Cao Cấp, Dày Dặn, Mềm Mịn, Thiết Kế Basic, Co Giãn, Năng Động (BNI23019)",419.000₫,https://tka.tiki.vn/pixel/pixel?data=bf0qr-efSLLawZB_I7BjBWEf111Y7Z5UD2T6nbWFtNNZQEvCJB4HpTR_MV6fqFYawEs3Cff3d5eQLmpPFnvJ0_FNNvgTNYrkz9d7WKuYyV59Xsq2DP0zYlP8I3qoefBYEB25Aim3ua9PilVANNDh0_qz-23iGMMHcU9IqZB6eFVKVHYoDwHwDwmkH1ZI3rfvZ1n8bRgSJme68BIlwrLvxY1RWpPsTiEOJZnQwqtDo59nFsWztpQUHXSAp-WxjZVtjIfjtGI4U3tTxMgRfIPnFkbMTYCmqgl00l_4oC3G1VBHkSxpfqcTHtDKN5Qffw-o93BP2rnK_KQiuBY28JcU89ynIYNlYebAykosmwEVi7LfbhZXm-TNzSY6UWu1c3TuQpP6WZyQtHzYZIGtSCkTl1mCtG6NBdXU3xj8EBoOQMXsZJdL5AQqen_PsXlPk9VmTTzAkXG-QN0MmO0plzPQtuoLmNjXak0laG4WDVJQLdySW5aXfxQ6_HrjVcK3X4qyIgFiqJ3yLHvb68q7HXFYSDfoAemnL6TPpW7eSFYVXerwgLOIAVYzKa97Gwot5hlKeuTpcRfo2qG3bHS0T0dfokkKccvPHf5wVpGngGycLYITrrt4fnKyyYN8ksevOuIvTFVOSMxPVhxGnLGmiHWfGxXbuLtRvdAPZraa97E1BiS7_qgciZMo65U-TNCyyP7PAYdSlr7Oo-BIUAMYTbVfv84KWDaOPa-NAHoQmMVkrDGnb1V5U3DeU4nwmpwtxN7H6soFphcmHAGDdOnV6YHW4OqhHpcfZ08ikXQWeZE5qYQUwT4_pebeMiDwBriRUfAyT6q0U14_WSsM404lUr_HBqG8-OFk_mmSsWmejPbqT1yzPf1624wie6N6oLGQmW2DShC-VeXLN9t_3l7iNFyr8iE0S1fFs-Bg0wHLqUGrcwL00SY8Y0AL3XBUK-OpEpKq70ZmSCpigvOroeF58pvb8zB_IwDfDeRGJ-roHWCB9sgcT65kDgAXOwzXTloo-dJ8FenkkHHUYPXUvO9a_PdBSOumWQkmyDqQz2Mc_pQrXZrEO0skp9RJcIdJ8_x0wGmptGuosKEuVyqFkZ8ukq5qRpAht6pnD4VMLFKcYmxisDcsYkBbzXt0ulbM0XnADJOkqQ&reqid=6lWRwP0Ch0i3RADW&type=CLICK&pos=1,1,-42%,Đã bán 7,dongunam
"Bộ Quần Áo Nỉ Nam 5S FASHION, Chất Cotton Mềm Mịn, Dày Dặn, Thiết Kế Can Phối Trẻ Trung, Năng Động (BNI23005)",474.000₫,https://tka.tiki.vn/pixel/pixel?data=ESvW0w0IzV4CKN8JJiBSNaQHi-Nb1zPVSAukiSvkPoQ5MOxMSs5mzP2ENYaCOfRFW4ObfEybcf_o4UDPzVBQV2eLNOxorFGv-LOjN-HycMJc8-YHgP33ZxFT0o56iCZ7gAAgSL1uUsyHbKr9BLSq6nnVs2RNMMwKarVI2IPiVsKm5OVdTne5MyIJhxSqP-GBAIe-pZ3NMMFYXeV7qXhx8qXIqWXBsc4bkboSEBkmcQnLPNqA45Jo5I_4O8mM9a00BbnrDX_TcvICmQ4Ct9WgQYS0N6-vzrI5wb-45eDg1oI1IA64Xtdfpobl3-IxiW8UoEWImw_W1dLmsf0WZ8rXCem9-ybD5khwdlCdFpjns34rQ0eY-MmwdLfixIbYUr3DG3vQn44x6oNiYekxHqa5WAxjFRfxYfsBW-LxJGl9_UqARG8mbio9inImg8faFnIhS0zXCIw1sx4zYzI6XcB6a8F36X9BNSNBXQJ1oF1V0VHKvau1oN1qc2McwNpBgLYeDG9_BiYY_gfgHYfRwagXiYyDM15Tsrqp5Aa2DsUEJ_8oXZZBrhNOzGFVURM5sNJEuuFV58caLI6hDfBPxPKUycUUTIwqraNNHDbFLDVYBx46DCN9otvczRV5xYuW3HWi46j4li7PFtl-dMAsU5G2QbUGnEnnB7wrnJ5_imyFa-yuMF3vPtaFFkx68dU9g95Z7qFRZKOapNf7rkb8mJbS0zunlj37L1Hyz5c8H33c9J9zjeMBVNO-uazLCtjmLhYvJhs-hJ5RDuzR-A6Fk3nuPME9eLDNaPHCmlvsEdUnQRqZpEnrb89i0XjXofHheSm_tkZJzMkApYHUKt_puJ6Fw3fB1ZNFp3h8p5h4CZmMRE_LFh7p3SQ38-EFNEPkOUylruntQK-dB0nkVO_dcnpUNugawfFf_i1a-7DjPrcTuSivkEq4va21u2LbPDpTPyTb3U-rCoekhmvh_kJVYTGHtuflXqRQTgFmrxnxv4iPRvMg1pvfxm3yCA7IAFOVYPawRFwKF2T2J-9IJZdkZTIakYjgraXuehltmWn7RPVnrnqdT2CHRa0dn-votq52x3gHSm6Wt9OYh9OhEntk1TRPv3eV2f2O3SJ3QV_1siYSXeMR&reqid=6lWRwP0Ch0i3RADW&type=CLICK&pos=2,2,-34%,Đã bán 13,dongunam
"Bộ Quần Áo KaKi Lính Mỹ US ARMY U569 Kiểu Dáng Túi Hộp Chiến Thuật, Chất Liệu Kaki Cao Cấp Phong Cách Lính Cực Ngầu - HÀNG CHÍNH HÃNG",836.000₫,https://tka.tiki.vn/pixel/pixel?data=bi_57TLBSGywMBF7gXLM1_bb5oZpkAX46VdT7THzIK9NmINhIZdhaYJOrRj99MlhsgKXt9yN2syoaq8vrkmIDPSI3sIT5VeXsL7aiYNsCceDx-lMsJYQMHCAYJIcR_491ClqNMVX_ytL3DPbb9RAn_cMSBShkCCmpQSDr7deicmeRDkrkkiWapkrBw8CIjbU7Q3puUfEUmFtNdoiyi9_vc8RdnA4V_-RJ95imAfQz8ee9EJdDRG-534lpx2NXUtymKB-NMyjim53TruJUVlIBEyilZg_80hHYmu8OV_75jZVJjQv1sfVCql1jenqmeLBQSSNI7u9A8w2LwUn9-cgKZuzTu4lQhAH3ibJLIe-Ysnd_W-P4q9IRNOToDW99scI1aUjPegbzGpIvbDbnx_9ven_2KRiUSfOkefujDl-48xgq98y8wSe1yEZKADP8HtFfbfOVW2KApzbT0ZseHYTcmUG3JgBpmRndutzMx3AYPRrR64E4oqPjKXBTljCBCTwfEARGtKdbSOxDm2UDQqpX4RcfuQTDDvbism6g-IyHzLAtNy2OrmbrlUwJRSXXbmbLv1I84frUzoy3kFBMzKuxGjCOcxFjC7GGmgp5J0fB0FfkvKKcZF5iijr9bd81qAP3BwC0Q4j02JmsBF8yHDkG_YPAfXSCN2NnaVsDYlH0zg-d69JAkIFGEwxDLgHSt0OrTB3dyAT2Itd5H_0YQWXHz192IBuTM7yo1woskwa8QnQBTq2QatykWUWGE3dvOj08RLz60Np5jO76RxIlsxZ5Dg5NaqP0RVouAyAlluku8KFJFYb0bk3oYjEGyn0bVICyEDSG7W8par93iiDRjrCVWcHXqdpuyOJ8IXqG6SQCo9bEP-S1iT6BcxtoUgCgS6E8c8vgZ8mFyaFSQRUvR0ncV2UVTGc3TDfGzE5zq9u3WRidM2W3-YZm2Z5CEqoAPJ4f_slDY55mggsPP2yDd03OThoOCXpUFqaOoHhZ0TEF6sSmoKp2NjdyJpw7ziDr0kkQJro2KiUxMx4K3YCDZlFHLcb5hyUq0aMVJ1nbyuM9yM_mnu1Xj7dvFab-nMn9qBo-nc9JeXvnkMqIrG9QOUBz09iP7sA6HF4ukosNpXhEvLcd44fpxLpUWDNn5_TCxSGxwSO2Fkf8WBdTvuOnazaQxcEv4FE8n-ysv_DAWqnOuHmZmBEK37dRIgxa4b77eAf9unm_n6E97PhJ0Pl0gtHgHMHpPI1CwPpogWlSX5nvF3SwNlC_K7D6VUXHIzQNkALFIiVZbyO8Gp5QAm_GNfiz5cBledBIYrFwRkTbZB_q7Yw2o4KI2h9HE3nhxJegQ4y&reqid=6lWRwP0Ch0i3RADW&type=CLICK&pos=3,3,-54%,Đã bán 12,dongunam
Bộ quần áo thể thao nam FASVIN AB23570.HN chất vải mềm nhẹ co giãn thoải mái,429.000₫,https://tka.tiki.vn/pixel/pixel?data=TUdg1vdvWuEauJxuEkk0eZtmuCtiRHAAdAPJ98BtO5-1r7kpNzxdjofWolgRSYGn6vqLda7pnTh-BzhGGZWjyP7o8Ly5aUFtsvpLynAOPkaDlX1mD_6CsZRYmV_OpXKNr4kANdv7Hir9vnMG-rmo-NMtheQ8KULD0oRASYfJNkseT2SirHaNadsm6aOHivc9XM3DssG_ar6zfhxgblwJLYsEmQIjSdLByIdksAHaVxNmNfBEHlor1D8jUa0DsviB8Ipu7-MTAdaEwtBRN2Eq40BCWcSI6XWSbtkVUge7avsYH9AwsfD1BOj1BaxdG1sVg-rE3FEeS1MekJGLLE7VLn3Y-UlT_jE5TG1N-UKRp5T9ec0T-2hXelt0qCCghQOCGjTAy3HVrJ8nKtU9MjtWaTOQ5BZhJYFtCT9rMi13BXklWUM76NCLnBpPciDQ1KK6OCEquveXk9P9qjingFxikFoJURZq_ApAMFokTHUKwkEZcWakBd2UqDQteu8D01yGSDFvJ4Cv9Vb4Pu1Y3RW03O7bYLzDT2f4pOvK1KCtPfBrbrSXIEeKW9FquWUNBXMmHx8vMTAZyLvINTzaeW2YX6w49cdW7jrR0y0fpPpctZ7o12lteZgXkJvJA3hI50B9mJ8BZqdGjaMbr4dur6o9hsCS5C7ttiE_jMw6asfotzUj1AW4bdfbkuGrlqNA0yhzKC4W_LIeseubR-mBKgHCshCYH9bpOzk6Al-ntBEPjt3JyqH-OiVujMI9f3tigQhOGp6oMnEY_3nSWA4gxcemvelu4MOXj7FC0KpPbYJwAENWENKqJwf2cWGsFZXffWl_qimpzVVQxtIWkH7sGja-cu-tgoPH2UPybAqDvbu-IIAL5jDAVd7zayB16pQedkRY5j9vxvs6w4ZZ9weKli2oZT56ZxHWmoZ7Fz43AfzUC0G6Gt686E9XGJ24JjV-mkQhSK5TgLbvQqYA1JaPWd84v0uV3YcV43rIi5TTXO9IVfAPTWd4v-7yvtyBgu3wGK-T4W4Jw73vXybvM4hC3yp1HxR-D7TXq_XlJOHAkMXar4mIyzeG0tJdAf6Rhbs4qoNL-sk0dVXo3-WDTXG3YyosDjVkAf-VUhlQwQ&reqid=6lWRwP0Ch0i3RADW&type=CLICK&pos=4,4,-8%,Đã bán 6,dongunam
Bộ quần áo thể thao nam Fasvin AT23580.HN chất vải mềm nhẹ co giãn thoải mái,379.000₫,https://tka.tiki.vn/pixel/pixel?data=7o1-t8rPTqWlH0OyKa45b38P-oulJxBedqKGEo5scL2jKtHTVj-x__XN36wiggsUXq17fgKzip_V5-YB9fSU7xwQi60y6toJWpreNLqvl9jpIUyi0K-np8icWCSjEOkABkcm0e4GKZL0XHaIF489LTI4dzFfi1_ya8u0nxa01apN1taLNSPZ5SkjW_IcFv1ro4ZpPgM9MGUKWKJsqucozeUdOt3HT6q_5WziFXHu7kRLGqXBNpp45N-GUZsqLxo8YYtSk5cITWOKITVDhu1E6JCoCR6R1XcyzrdC4psXze6J3DEhn2TCesKvgF0HA-6Qxo2W4NiM7yu88L_KGCLVnD6nlvIXQoVdr0zBH8v3CSeK2BN82tYafGg6OfNadcHfee5LRYwYmSkdV4_vD51pS2r2QAYMB5LMo-DzP_a2mEI5_fz04AbFKAXXAMS48DS2cFUSnUjatRp_goIVZhPsGXuvRouBLOxv83_go7zvYdwV01QsxXkYTBl5RSLgGFN9wDylHWVST6-wjgh_25ViZ9iawrrv8cn3WSH_7HU0WFcRpZFIam1KLBvQk3WYWrXskRMO1bsbv4yERATC97B79kMmirpWq15ijEPmanS-rlwyXXQP2oVV1hnPkt55kE-ve4YGbyDjgMkBihfW0BcJNYKroBt5LqMldpBfqfIqaa9AFR0_Qxc7hfFBjTWGcyhNCkjga_STOpnKF-svJ6_iS_8ZiQRRbCqF8_h-62izAJgKPsEuKoBEmw_zNrNsLU-KiqROlIUngfQ5gW_g5bTb1MpoikSrvp9lFkPyteKXvzipkUzLLgHcEJS0hOHnnZwLLdqAZ_1jTiWalSEzODqxL7POZRbLC3n2v9Ha6yp4psGEyq2GpL5Lu-HLkROKHAbpuFdR-0cwXWx-_k_DPIiN8Qmwgvbdk10fh7hvbhK921qSe5H8wtT2XytMJAC_lyg6UGqx9R2EuoNC24Q5cbGtAT6jDW82DgYVlEHIyez2GwlsTljOv676XjhtaziMcgg3D-D8ZFT035xpRffLwzskYLACl-USoLEAOC26qSXbvvGWA8cov_KUzIynxnfGI9XQdWQncWXzhINwnNyeNkzduZE&reqid=6lWRwP0Ch0i3RADW&type=CLICK&pos=5,5,-9%,Đã bán 3,dongunam
"Bộ Đồ Nam AVIANO 4 Màu Dài Tay, Bộ Thể Thao Nam Chất Nỉ Tổ Ong",250.000₫,https://tiki.vn/bo-do-nam-aviano-4-mau-dai-tay-bo-the-thao-nam-chat-ni-to-ong-p272581840.html?spid=272581862,6,-44%,Đã bán 14,dongunam
"Bộ Quần Áo Nỉ Nam 5S FASHION, Chất Cotton Mềm Mịn, Dày Dặn, Thiết Kế Can Phối Trẻ Trung, Năng Động (BNI23005)",449.000₫,https://tiki.vn/bo-quan-ao-ni-nam-5s-fashion-chat-cotton-mem-min-day-dan-thiet-ke-can-phoi-tre-trung-nang-dong-bni23005-p272851472.html?spid=272851498,7,-37%,Đã bán 13,dongunam
Bộ Thể Thao Nam 3 Sọc Mùa Đông Da Cá Chéo Thời Trang Thiết Kế AVIANO,299.000₫,https://tiki.vn/bo-the-thao-nam-3-soc-mua-dong-da-ca-cheo-thoi-trang-thiet-ke-aviano-p198939370.html?spid=198939402,8,-50%,Đã bán 62,dongunam
"Bộ Quần Áo Nỉ Nam Tay Dài 5S FASHION, Chất Liệu Cotton Cao Cấp, Dày Dặn, Mềm Mịn, Thiết Kế Basic, Co Giãn, Năng Động (BNI23019)",399.000₫,https://tiki.vn/bo-quan-ao-ni-nam-tay-dai-5s-fashion-chat-lieu-cotton-cao-cap-day-dan-mem-min-thiet-ke-basic-co-gian-nang-dong-bni23019-p273275583.html?spid=273275609,9,-44%,Đã bán 7,dongunam
"Bộ đũi trung niên nam, đồ bộ mặc nhà cho ông cho bố",279.000₫,https://tiki.vn/bo-dui-trung-nien-nam-do-bo-mac-nha-cho-ong-cho-bo-p202491141.html?spid=202491209,10,-50%,Đã bán 6,dongunam
