title,price,link_item,index,discount,sales,category
"Quần tây màu xanh đen ống côn, form body, dáng ôm, chất liệu co giãn, không ly, hiệu Amazing",216.000₫,https://tiki.vn/quan-tay-mau-xanh-den-ong-con-form-body-dang-om-chat-lieu-co-gian-khong-ly-hieu-amazing-p150000040.html?spid=150000078,1,-40%,Đã bán 1,quannam
"Quần Jogger nam nữ thể thao chất xốp, Jogger unisex dài phong cách trẻ trung JO05 - PROMAN",79.000₫,https://tiki.vn/quan-jogger-nam-nu-the-thao-chat-xop-jogger-unisex-dai-phong-cach-tre-trung-jo05-proman-p201116873.html?spid=201116982,2,-43%,Đã bán 3,quannam
"Quần Jean Nam co dãn 4 chiều Julido, dáng Skinny ống côn mẫu mới 2023 WW002",169.000₫,https://tiki.vn/quan-jean-nam-co-dan-4-chieu-julido-dang-skinny-ong-con-mau-moi-2021-ww002-p75355767.html?spid=75355769,3,-43%,Đã bán 181,quannam
"Quần jean nam ống suông màu trắng tag thép sau túi sang trọng, chất liệu cao cấp - cam kết sản phẩm như ảnh chụp - Shop quần bò nam đẹp ELLCCI",750.000,https://tiki.vn/quan-jean-nam-ong-suong-mau-trang-tag-thep-sau-tui-sang-trong-chat-lieu-cao-cap-cam-ket-san-pham-nhu-anh-chup-shop-quan-bo-nam-dep-ellcci-p98133298.html?spid=98133304,4,,,quannam
,,https://tiki.vn/quan-bo-nam-mau-moi-chat-lieu-denim-cao-cap-thoi-trang-chuan-hang-shop-to-to-shop-qjn75-p98624906.html?spid=106771279,5,-47%,,quannam
"Quần jeans nam co dãn , quần bò nam kiểu trơn và xước thiết kế trẻ trung đơn điệu phá cách gồm 5 kích thước (28-32) Julido mẫu QJN099704 - Màu bạc xước",169.000₫,https://tiki.vn/quan-jeans-nam-co-dan-quan-bo-nam-kieu-tron-va-xuoc-thiet-ke-tre-trung-don-dieu-pha-cach-gom-5-kich-thuoc-28-32-julido-mau-qjn099704-mau-bac-xuoc-p53516447.html?spid=53516455,6,,Đã bán 260,quannam
SHORT KAKI MẪU MỚI BIG SIZE NAM TỪ 80 ĐẾN 130KG CÓ CO GIÃN,265.000₫,https://tiki.vn/short-kaki-ma-u-mo-i-big-size-nam-tu-80-de-n-130kg-co-co-gia-n-p194477427.html?spid=194477477,7,-46%,Đã bán 3,quannam
Quần short thun nam có lưới thông hơi Phúc An 1051 màu,71.100₫,https://tiki.vn/quan-short-thun-nam-co-luoi-thong-hoi-phuc-an-1051-p46699028.html?spid=46699030,8,-37%,Đã bán 76,quannam
"Quần short kaki nam lưng thun, chất kaki cao cấp mềm mịn, có size 95KG - FORMEN SHOP - FMPS227",255.000,https://tiki.vn/quan-short-kaki-nam-lung-thun-chat-kaki-cao-cap-mem-min-co-size-95kg-formen-shop-fmps227-p273180137.html?spid=273180165,9,-50%,,quannam
,,https://tiki.vn/quan-tay-nam-1-ly-khatoco-q1m528r1-inma055-2407-1-den-gan-soc-nau-vang-p235851731.html?spid=235851741,10,,,quannam
Quần Cộc Nam Vải Kaki Cao Cấp Thời Trang Vicero,159.000₫,https://tiki.vn/quan-dui-nam-kaki-vicero-6-mau-tre-trung-phong-cach-han-quoc-p77917827.html?spid=77917829,11,-32%,Đã bán 45,quannam
Quần jean nam Q224 quần jean nam đẹp muidoi,167.000,https://tiki.vn/quan-jean-nam-q224-quan-jean-nam-dep-muidoi-p13720669.html?spid=33034561,12,,,quannam
,,https://tiki.vn/quan-sooc-nam-mac-nha-onoff-chat-lieu-cotton-p202614700.html?spid=202614706,13,,,quannam
