title,price,link_item,index,discount,sales,category
Áo 2 Dây Sợi Bún Có Đệm Ngực Kiểu Dáng Thon Gọn Thời Trang,34.000₫,https://tiki.vn/a-o-2-day-so-i-bu-n-co-de-m-ngu-c-kie-u-da-ng-thon-go-n-tho-i-trang-p124239572.html?spid=124239578,1,-36%,Đã bán 16,aonu
ÁO TAY LOE XO,127.000₫,https://tiki.vn/ao-tay-loe-xo-p42528219.html?spid=42528231,2,-54%,Đã bán 60,aonu
Áo thun tay dài nữ form rộng - Thêu chữ xẻ tà,99.000₫,https://tiki.vn/ao-thun-tay-dai-theu-chu-xe-ta-p68920020.html?spid=68920024,3,,Đã bán 39,aonu
áo kiểu nữ - chất liệu đũi xước tơ phù hợp cho mọi lứa tuổi đến dưới 85kg (A25),149.000,https://tiki.vn/ao-kieu-nu-chat-lieu-dui-xuoc-to-phu-hop-cho-moi-lua-tuoi-den-duoi-85kg-a25-p131417895.html?spid=131418516,4,-35%,,aonu
,,https://tiki.vn/ao-hai-day-chat-lua-mem-mat-mac-cung-blazer-hoac-vest-cuc-sang-trong-an-01-p106312799.html?spid=106312819,5,,,aonu
ÁO THUN NỮ TRƠN ÔM BODY CỔ TRÒN DÀI TAY – BASIC SHIRT 4,129.000₫,https://tiki.vn/ao-thun-nu-tron-om-body-co-tron-dai-tay-basic-shirt-4-p69029880.html?spid=212262790,6,,Đã bán 150,aonu
Áo Pull Croptop Dài Tay Cổ U Vải Zip Co Giãn Sành Điệu CT Jeans,270.000₫,https://tiki.vn/ao-pull-croptop-dai-tay-co-u-vai-zip-co-gian-sanh-dieu-ct-jeans-p197218205.html?spid=197218209,7,-12%,Đã bán 2,aonu
"Áo Thun Ngắn Tay, Áo Phông Cộc Tay Nữ Vicci AP.01.1 chất liệu cotton vân gỗ phối hoạ tiết hình Xe đạp",78.000₫,https://tiki.vn/ao-thun-ngan-tay-ao-phong-coc-tay-nu-vicci-ap-01-1-chat-lieu-cotton-van-go-phoi-hoa-tiet-hinh-xe-dap-p91474288.html?spid=91474304,8,-23%,Đã bán 43,aonu
Áo ba lỗ nữ Icotton dáng ôm chất cotton co gian 4 chiều,115.000,https://tiki.vn/ao-ba-lo-nu-icotton-dang-om-chat-cotton-co-gian-4-chieu-p243005755.html?spid=243005769,9,,Đã bán 11,aonu
,,https://tiki.vn/ao-so-mi-nu-tay-ngan-cao-cap-mau-trang-asnt203-p117344317.html?spid=173943051,10,-50%,,aonu
