title,price,link_item,index,discount,sales,brand
"Đầm sơ mi linen nữ form suông, dáng dài phong cách vitage ARCTIC HUNTER AH75",249.000₫,https://tiki.vn/dam-so-mi-linen-nu-form-suong-dang-dai-phong-cach-vitage-arctic-hunter-ah75-p183560785.html?spid=183743192,1,-12%,Đã bán 34,ARCTIC_HUNTER
"Váy ngủ dây, váy mặc nhà chất vải mềm mịn, thoáng mát Vn01",147.000₫,https://tiki.vn/vay-ngu-day-vay-mac-nha-chat-vai-mem-min-thoang-mat-vn01-p109982074.html?spid=109982088,2,-12%,Đã bán 54,ARCTIC_HUNTER
"Đầm váy nữ chất liệu đũi mát cao cấp, thiết kế cổ trụ phối bèo vintage, thắt eo tôn dáng, đầm có túi xinh AH62",282.000₫,https://tiki.vn/dam-vay-nu-chat-lieu-dui-mat-cao-cap-thiet-ke-co-tru-phoi-beo-vintage-that-eo-ton-dang-dam-co-tui-xinh-ah62-p181910068.html?spid=181910070,3,,Đã bán 5,ARCTIC_HUNTER
Áo sơ mi nữ ARCTIC HUNTER thiết kế kẻ sọc cổ Chữ V công sở AH33,131.000,https://tiki.vn/ao-so-mi-nu-arctic-hunter-thiet-ke-ke-soc-co-chu-v-cong-so-ah33-p91029984.html?spid=91029986,4,-12%,Đã bán 7,ARCTIC_HUNTER
,,https://tiki.vn/dam-suong-linen-tay-lo-co-v-dang-chu-a-arctichunter-thoi-trang-tre-phong-cach-han-p73278243.html?spid=73278249,5,-12%,,ARCTIC_HUNTER
"Áo khoác len nữ, áo cardigan len thiết kế phối ren mẫu mới thu đông AH02",175.000₫,https://tiki.vn/ao-khoac-nu-ao-khoac-cardigan-len-phoi-ren-xinh-xan-ak02-p131177375.html?spid=131177377,6,-12%,Đã bán 18,ARCTIC_HUNTER
Áo gile len dệt kim thu đông GA03,158.000₫,https://tiki.vn/ao-gile-len-det-kim-thu-dong-ga03-p141648832.html?spid=141648836,7,,Đã bán 6,ARCTIC_HUNTER
Áo Len dệt kim tay dài dáng rộng ARCTIC HUNTER kiểu hàn quốc xinh xắn,140.000₫,https://tiki.vn/ao-len-det-kim-tay-dai-dang-rong-arctic-hunter-kieu-han-quoc-xinh-xan-p208250965.html?spid=208250966,8,-12%,Đã bán 1,ARCTIC_HUNTER
"Đầm suông linen cổ phát V ArcticHunter, chất vải linen mềm mát, thích hợp mùa hè, thời trang thương hiệu chính hãng - Vàng",250.000,https://tiki.vn/dam-suong-linen-co-phat-v-arctichunter-chat-vai-linen-mem-mat-thich-hop-mua-he-thoi-trang-thuong-hieu-chinh-hang-vang-p90475899.html?spid=90475901,9,,,ARCTIC_HUNTER
,,https://tiki.vn/dam-suong-chu-a-2-hang-khuy-nguc-tre-trung-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p116039232.html?spid=116039236,10,-12%,,ARCTIC_HUNTER
"Áo sơ mi nữ form rộng cổ tầu phát V tay lỡ 2 túi ốp ngực trẻ trung ArcticHunter, thời trang phong cách trẻ",159.000₫,https://tiki.vn/ao-so-mi-nu-form-rong-co-tau-phat-v-tay-lo-2-tui-op-nguc-tre-trung-arctichunter-thoi-trang-phong-cach-tre-p113046240.html?spid=113046250,11,-12%,Đã bán 19,ARCTIC_HUNTER
Áo len nữ thiết kế ARCTIC HUNTER cổ cao 3 phân nhiều màu AH24,175.000,https://tiki.vn/ao-len-nu-thiet-ke-arctic-hunter-co-cao-3-phan-nhieu-mau-ah24-p125797627.html?spid=125797635,12,-12%,,ARCTIC_HUNTER
,,https://tiki.vn/dam-suong-thun-dang-dai-dam-maxi-nu-arctic-hunter-ahb16-p58329199.html?spid=161944361,13,-12%,,ARCTIC_HUNTER
"Đầm xòe tay phồng điệu đà ArcticHunter, thời trang phong cách Hàn",99.000₫,https://tiki.vn/dam-xoe-tay-phong-dieu-da-arctichunter-thoi-trang-phong-cach-han-p74208797.html?spid=74208801,14,-12%,Đã bán 9,ARCTIC_HUNTER
