title,price,link_item,index,discount,sales,brand
"Áo khoác cardigan nữ họa tiết ô phối màu độc đáo, style Hàn Quốc hot năm nay AK13 hồng",175.000₫,https://tiki.vn/ao-khoac-cardigan-nu-hoa-tiet-o-phoi-mau-doc-dao-style-han-quoc-hot-nam-nay-ak13-hong-p199947185.html?spid=199947186,1,-12%,,HaintBoutique
"Đầm suông cổ sơ mi, đầm kẻ caro màu tím tà lệch Haint Boutique da91",175.000₫,https://tiki.vn/dam-suong-co-so-mi-dam-ke-caro-mau-tim-ta-lech-haint-boutique-da91-p36450539.html?spid=56388339,2,-12%,Đã bán 1,HaintBoutique
"Áo sơ mi nữ tay lửng cổ V, chất co giãn mềm mát, thời trang phong cách Hàn Quốc Sm185",140.000₫,https://tiki.vn/ao-so-mi-nu-tay-lung-co-v-chat-co-gian-mem-mat-thoi-trang-phong-cach-han-quoc-sm185-p204278727.html?spid=204278735,3,-12%,Đã bán 1,HaintBoutique
Áo len cánh rơi tay lỡ trẻ trung,148.000,https://tiki.vn/ao-len-canh-roi-tay-lo-tre-trung-p65201175.html?spid=72585491,4,,,HaintBoutique
,,https://tiki.vn/ao-kieu-co-v-dai-tay-mau-trang-cong-so-form-rong-du-size-sm55-p86773954.html?spid=86773960,5,,,HaintBoutique
Áo sơ mi nữ màu hồng dài tay áo cổ trụ phối bèo S06,131.000₫,https://tiki.vn/hang-nhap-ao-nu-co-tru-06-hong-p110201764.html?spid=110201817,6,-47%,,HaintBoutique
Sơ mi nữ công sở màu đỏ dài tay phối nơ Sm46- 2xl,114.000₫,https://tiki.vn/so-mi-nu-cong-so-mau-do-dai-tay-phoi-no-sm46-p13516231.html?spid=13516241,7,-23%,Đã bán 3,HaintBoutique
"Sơ mi nữ 2 túi trước,sơ mi đũi nữ, áo form rộng SM28",131.000₫,https://tiki.vn/so-mi-nu-2-tui-truoc-so-mi-dui-nu-ao-form-rong-sm28-p90642579.html?spid=90642600,8,-12%,,HaintBoutique
"Đầm suông công sở chất liệu đũi mềm mát, thời trang nữ cao cấp Da75 nâu",263.000,https://tiki.vn/dam-suong-cong-so-chat-lieu-dui-mem-mat-thoi-trang-nu-cao-cap-da75-nau-p193717219.html?spid=193717223,9,,,HaintBoutique
,,https://tiki.vn/ao-lot-bau-ao-cho-con-bu-haint-boutique-cao-cap-hb02-p103231653.html?spid=103231682,10,,,HaintBoutique
"Đầm nữ thiết kế họa tiết hoa, eo thắt, phong cách nhẹ nhàng HB21",263.000₫,https://tiki.vn/dam-nu-thiet-ke-hoa-tiet-hoa-eo-that-phong-cach-nhe-nhang-hb21-p110202954.html?spid=110202960,11,-12%,,HaintBoutique
áo sơ mi cổ v họa tiết sọc xinh xắn ale12,149.000,https://tiki.vn/ao-so-mi-co-v-hoa-tiet-soc-xinh-xan-ale12-p90642343.html?spid=90642368,12,,Đã bán 2,HaintBoutique
,,https://tiki.vn/so-mi-nu-ao-so-mi-nu-hoa-tiet-caro-sm22-p135299016.html?spid=135299020,13,,,HaintBoutique
"Đầm suông linen nữ họa tiết kẻ sọc caro trẻ trung, đầm sơ mi công sở thanh lịch HB37",219.000₫,https://tiki.vn/dam-suong-linen-nu-hoa-tiet-ke-soc-caro-tre-trung-dam-so-mi-cong-so-thanh-lich-hb37-p250063741.html?spid=250063743,14,-12%,,HaintBoutique
Áo sơ mi nữ Hain Boutique thiết kế cổ trụ phối bèo HB06,131.000₫,https://tiki.vn/ao-so-mi-nu-hain-boutique-thiet-ke-co-tru-phoi-beo-hb06-p77692457.html?spid=77692463,15,-47%,,HaintBoutique
Áo len cao cổ trơn màu đen sang trọng Haint Boutique 57,205.000₫,https://tiki.vn/ao-len-cao-co-tron-mau-den-sang-trong-haint-boutique-57-p42205295.html?spid=59176191,16,-12%,,HaintBoutique
"Chân váy bút chì, chân váy len dày dặn Cv07",131.000,https://tiki.vn/chan-vay-but-chi-chan-vay-len-day-dan-cv07-p122320288.html?spid=122320290,17,,,HaintBoutique
