title,price,link_item,index,discount,sales,brand
Áo Khoác Gió Mustang Form Rộng 2 Màu Ulzzang,117.000₫,https://tiki.vn/ao-khoac-gio-mustang-form-rong-2-mau-ulzzang-p200857293.html?spid=200857295,1,,,NIU24
Áo khoác Cardigan Nữ viền len kẻ 1953 siêu xinh,102.000₫,https://tiki.vn/ao-khoac-cardigan-nu-vien-len-ke-1953-sieu-xinh-wedo-p183915115.html?spid=183915141,2,,,NIU24
"Áo khoác sơ mi kaki quốc dân form rộng, form đẹp THÊU CHỮ B.M.O cổ bẻ",132.000₫,https://tiki.vn/ao-khoac-so-mi-kaki-quoc-dan-form-rong-form-dep-theu-chu-b-m-o-co-be-p183920334.html?spid=183920419,3,,,NIU24
Áo Khoác Bomber Nam Nữ Vải Nhung Lót Dù Logo Thêu G Smile Phong Cách Ulzzang Cá Tính Hot Trend Mới,150.000,https://tiki.vn/ao-khoac-bomber-nam-nu-vai-nhung-lot-du-logo-theu-g-smile-phong-cach-ulzzang-ca-tinh-hot-trend-moi-p183914903.html?spid=183914921,4,,,NIU24
,,https://tiki.vn/ao-khoac-hoodie-nu-keepnaivie-vai-ni-ngoai-cao-cap-logo-theu-phoi-non-2-lop-phong-cach-ulzzang-hoc-sinh-ca-tinh-hot-tren-p183915405.html?spid=183915417,5,,,NIU24
Áo Khoác Hoodie Coconut Kiểu Zip Kéo Phối Nón Rộng 2 lớp Vải Nị Mềm Mịn Phong Cách Ulzzang Vintage Cá Tính Hot Trend Mới,102.000₫,https://tiki.vn/ao-khoac-hoodie-coconut-kieu-zip-keo-phoi-non-rong-2-lop-vai-ni-mem-min-phong-cach-ulzzang-vintage-ca-tinh-hot-trend-moi-p183915113.html?spid=183915140,6,,,NIU24
Áo Hoodie Nữ AVOCATO Kiểu Chui Đầu Chất Nỉ Bông Mềm Mịn Có 7 Màu Phong Cách Dễ Thương Nhí Nhảnh,103.000₫,https://tiki.vn/ao-hoodie-nu-avocato-kieu-chui-dau-chat-ni-bong-mem-min-co-7-mau-phong-cach-de-thuong-nhi-nhanh-p183914925.html?spid=183914965,7,,,NIU24
Áo khoác bomber Nỉ Áo bomber Cardigan cài nút Cotton cao cấp trần bông dày mịn form Unisex nam nữ,140.000₫,https://tiki.vn/ao-khoac-bomber-nam-nu-vai-ni-day-min-ao-am-3-size-mau-logo-ngoi-nha-sumisu-shop-p168928996.html?spid=168929013,8,,,NIU24
"Áo khoác dù bomber, áo gió mẫu S nam nữ Áo Khoác Gió Nam Nữ Unisex Form Rộng Chất Liệu Gió Cao Cấp 2 Lớp Siêu Nhẹ",99.000₫,https://tiki.vn/ao-khoac-du-bomber-ao-gio-mau-s-nam-nu-shop-p168929059.html?spid=168929063,9,,,NIU24
,,https://tiki.vn/ao-khoac-bong-chay-ao-khoac-bomber-mau-theu-hoa-tiet-chu-r-nam-nu-sumisu-shop-p171510851.html?spid=171510853,10,,,NIU24
