title,price,link_item,index,discount,sales,category
"Chân váy bút chì Blue Chic xẻ sau công sở đen dáng ngắn, chất vải cao cấp, co giãn tốt mặc tôn dáng",250.000₫,https://tiki.vn/chan-vay-but-chi-ngan-blue-chic-xe-sau-cong-so-den-dang-dai-chat-vai-cao-cap-co-gian-tot-mac-ton-dang-p175953253.html?spid=175953255,1,-36%,,chanvay
CHÂN VÁY KAKI CHỮ A TÚI 2 BÊN +KÈM BEL,269.000₫,https://tiki.vn/chan-vay-kaki-chu-a-tui-2-ben-kem-bel-p146197339.html?spid=146197340,2,,,chanvay
QUẦN GIẢ VÁY SIÊU XINH - Ảnh Thật,72.800₫,https://tiki.vn/quan-gia-vay-sieu-xinh-anh-that-p150225772.html?spid=150225811,3,,,chanvay
"váy jean ,chân váy sẻ đùi",116.000,https://tiki.vn/vay-jean-chan-vay-se-dui-p194834383.html?spid=194834388,4,,,chanvay
,,https://tiki.vn/chan-vay-jean-dai-vat-lech-rach-gau-vien-cuc-doc-_chan-vay-bo-rach-dang-dai-loanboutique-p248745350.html?spid=248745412,5,,,chanvay
Chân Váy Đan Lưng,135.000₫,https://tiki.vn/chan-vay-dan-lung-p14815909.html?spid=14815919,6,,Đã bán 39,chanvay
Váy Xếp Ly Phối Caro Đỏ,350.000₫,https://tiki.vn/vay-xep-ly-phoi-caro-do-p54487680.html?spid=54487682,7,,Đã bán 2,chanvay
Chân Váy Ren Xòe Hoa Ba Lớp vintage dễ thương VAY70,176.000₫,https://tiki.vn/chan-vay-ren-xoe-hoa-ba-lop-vintage-de-thuong-vay70-p59151723.html?spid=59151725,8,,Đã bán 3,chanvay
Chân váy xoè dài dập ly tutu màu đen / màu trắng,77.500₫,https://tiki.vn/chan-vay-xoe-dai-dap-ly-tutu-mau-den-mau-trang-p73832991.html?spid=73833000,9,,,chanvay
,,https://tiki.vn/chan-vay-da-chu-a-p208797634.html?spid=208797636,10,,,chanvay
Chân Váy Xòe Đỏ,250.000₫,https://tiki.vn/chan-vay-xoe-do-p24423128.html?spid=24423137,11,,,chanvay
Chân váy xòe ngắn xếp ly màu đen,61.200₫,https://tiki.vn/chan-vay-xoe-ngan-xep-ly-mau-den-p73833019.html?spid=73833022,12,,,chanvay
,,https://tiki.vn/chan-vay-ren-hoa-tiet-vintage-vay92-p136468274.html?spid=136468276,13,,,chanvay
Chân Váy Jeans Dài Cạp Cao Xẻ Gấu Phong Cách Ulzzang,149.000₫,https://tiki.vn/chan-vay-jeans-dai-cap-cao-xe-gau-phong-cach-ulzzang-p193243164.html?spid=193243236,14,,,chanvay
Chân váy công sở váy bút chì màu đen CR48V01 chất thun umi co dãn,89.280₫,https://tiki.vn/chan-vay-cong-so-vay-but-chi-mau-den-cr48v01-chat-thun-umi-co-dan-p155191776.html?spid=155191827,15,,,chanvay
Chân váy công sở váy đuôi cá bigsize CRDCV37 màu đen dài 48cm - Đen,159.100₫,https://tiki.vn/chan-vay-cong-so-vay-duoi-ca-bigsize-crdcv37-mau-den-dai-48cm-p155191648.html?spid=155191775,16,,,chanvay
Chân váy chữ A ngắn màu đen CRCAV36 (ngoài váy bên trong có quần),196.100,https://tiki.vn/chan-vay-chu-a-ngan-mau-den-crcav36-ngoai-vay-ben-trong-co-quan-p155192287.html?spid=155192456,17,,,chanvay
,,https://tiki.vn/chan-vay-nhung-mem-duoi-ca-cao-cap-p176751389.html?spid=176751397,18,,,chanvay
