title,price,link_item,index,discount,sales,category
(Ảnh thật) Bộ đồ ngủ pijama kate Tay dài quần dài kẻ sọc hoặc caro dành cho Nam,119.000₫,https://tiki.vn/anh-that-bo-do-ngu-pijama-kate-tay-dai-quan-dai-ke-soc-hoac-caro-danh-cho-nam-p79672612.html?spid=79672700,1,-12%,Đã bán 18,thoitrangtrungnien
Vải voan chiffon hoa nhỏ nền đen C4001,60.000₫,https://tiki.vn/vai-voan-chiffon-hoa-nhi-nen-mau-toi-v1617-p127251440.html?spid=127251463,2,,,thoitrangtrungnien
Vải lụa ngọc hà hoa đều may áo dài đầm váy bộ MS8560,120.000₫,https://tiki.vn/vai-to-thun-hoa-deu-hoa-mai-no-ms-1560-p127251514.html?spid=127251530,3,,,thoitrangtrungnien
Vải Lụa Audi dày may đầm quần áo khoác nữ 1.3mét,130.000,https://tiki.vn/lua-audi-dam-p127251307.html?spid=127251323,4,,,thoitrangtrungnien
,,https://tiki.vn/vai-lua-satin-hoa-tiet-lap-the-deu-may-ao-dai-dam-bo-quan-ao-ms9226-p270813348.html?spid=270813350,5,,,thoitrangtrungnien
Dạ hội trung niên Như Tiên Phú Quý NT203,650.000₫,https://tiki.vn/da-hoi-trung-nien-nhu-tien-phu-quy-nt203-p114794380.html?spid=114794393,6,,,thoitrangtrungnien
Vải lụa mango chất co giãn mềm rũ nền đen hoa trắng MS2529,80.000₫,https://tiki.vn/vai-lua-ngoc-ha-chat-co-gian-mem-ru-mat-may-ao-dai-m1529-p127252607.html?spid=251773244,7,,,thoitrangtrungnien
Vải Lụa Ngọc mai chất co giãn hoa lá MS2599,120.000₫,https://tiki.vn/vai-lua-ngoc-mai-chat-co-gian-hoa-hong-lon-ms-10599-p127250942.html?spid=252077808,8,,,thoitrangtrungnien
Vải lụa crep nhung lập thể dây tông màu vàng,110.000,https://tiki.vn/vai-lua-crep-nhung-lap-the-day-tong-mau-vang-p252090906.html?spid=252090908,9,,,thoitrangtrungnien
,,https://tiki.vn/vai-to-thun-hoa-hong-tt10128-p127252409.html?spid=252165848,10,,,thoitrangtrungnien
"Váy đầm thu đông trung niên nữ cao cấp V37 dáng suông - Thời trang đẹp dự tiệc cho mẹ, người lớn tuổi sang trọng Bigsize - Đen phối vàng",289.000₫,https://tiki.vn/vay-dam-thu-dong-trung-nien-nu-cao-cap-v37-dang-suong-thoi-trang-dep-du-tiec-cho-me-nguoi-lon-tuoi-sang-trong-bigsize-p273546768.html?spid=273546770,11,,,thoitrangtrungnien
Áo thun nữ trung niên 50-80kg,220.000,https://tiki.vn/ao-thun-nu-trung-nien-50-80kg-p260941310.html?spid=260941340,12,,,thoitrangtrungnien
