title,price,link_item,index,discount,sales,brand
"Muối rửa chén bát Finish 1,5kg kèm túi zip",125.000₫,https://tiki.vn/muoi-rua-chen-bat-finish-1-5kg-kem-tui-zip-p121315723.html?spid=127339286,1,,Đã bán 2,finish
Dung dịch vệ sinh máy rửa bát FINISH chai 250ml,99.000₫,https://tiki.vn/dung-dich-ve-sinh-may-rua-bat-finish-chai-250ml-p121326490.html?spid=141654824,2,,Đã bán 8,finish
Hộp 52 viên rửa chén Finish All In 1 Dishwasher Tablets QT028268,299.000₫,https://tiki.vn/hop-52-vien-rua-chen-finish-all-in-1-dishwasher-tablets-qt028268-p52790679.html?spid=58869058,3,,Đã bán 1,finish
"Combo - 2 túi Finish Quantum Ultimate 25v + Nước Bóng 750ml + Muối 1,2kg + DDVS Soda + Treo khử mùi",890.000,https://tiki.vn/combo-2-tui-finish-quantum-ultimate-25v-nuoc-bong-750ml-muo-i-1-2kg-ddvs-soda-treo-khu-mui-p247718745.html?spid=253317115,4,,,finish
,,https://tiki.vn/gel-rua-bat-finish-huu-co-900ml-p206294371.html?spid=141655893,5,,,finish
Viên rửa chén bát Finish Quantum Max 64 viên hương chanh,360.000₫,https://tiki.vn/vien-rua-chen-bat-finish-quantum-max-64-vien-huong-chanh-p206266182.html?spid=273495678,6,,Đã bán 1,finish
Dung dịch vệ sinh máy rửa bát Finish (thị trường EU),139.000₫,https://tiki.vn/dung-dich-ve-sinh-may-rua-bat-finish-thi-truong-eu-p162150433.html?spid=171949835,7,,,finish
Muối Finish 1.5kg + Bóng Finish 1150ml + 100 Viên Finish Quantum dùng cho Máy Rửa Bát,589.000₫,https://tiki.vn/muoi-finish-1-5kg-bong-finish-1150ml-100-vien-finish-quantum-dung-cho-may-rua-bat-p205422910.html?spid=273308262,8,,Đã bán 49,finish
"Muối rửa bát Finish Nhập Khẩu Đức 4kg - muối rửa làm mêm nước dùng cho cho máy rửa bát chén muoiruabat finish 4.0kg muoiruachen, muối finish 4 kg, muối finish 1,5kg, muối finish 1,2kg",78.998₫,https://tiki.vn/muoi-rua-bat-finish-nhap-khau-duc-4kg-muoi-rua-lam-mem-nuoc-dung-cho-cho-may-rua-bat-chen-muoiruabat-finish-4-0kg-muoiruachen-muoi-finish-4-kg-muoi-finish-1-5kg-muoi-finish-1-2kg-p205884580.html?spid=214488646,9,,,finish
,,https://tiki.vn/xa-phong-rua-bat-cho-may-dang-gel-chai-1500-ml-khu-mui-diet-khuan-ve-sinh-may-bot-rua-bat-nuoc-lam-bong-finish-p121326634.html?spid=141655545,10,,,finish
Combo 2 gói Viên rửa bát Finish Quantum 25 viên ( 25 x2=50 viên ),280.000₫,https://tiki.vn/combo-2-goi-vien-rua-bat-finish-quantum-25-vien-25-x2-50-vien-p253307255.html?spid=253307256,11,,,finish
Túi 36 viên rửa chén Finish Quantum Max Dishwasher Tablets Lemon PTT09446 - hương chanh,209.000,https://tiki.vn/tui-36-vien-rua-chen-finish-quantum-max-dishwasher-tablets-lemon-ptt09446-huong-chanh-p48135734.html?spid=133868683,12,,,finish
,,https://tiki.vn/nuoc-lam-bong-va-kho-bat-dia-finish-dishwasher-shine-dry-lemon-400ml-qt017390-huong-chanh-p52787082.html?spid=59402031,13,,,finish
Hộp 60 viên rửa chén Finish Classic Dishwasher Tablets QT09443,299.000₫,https://tiki.vn/hop-60-vien-rua-chen-finish-classic-dishwasher-tablets-qt09443-p48123808.html?spid=68606946,14,,,finish
Bột rửa bát Finish Classic 2.5kg,235.000₫,https://tiki.vn/bot-rua-bat-finish-classic-2-5kg-p273892326.html?spid=160048059,15,,Đã bán 16,finish
Nước làm bóng (trợ xả) Finish chai 400ml,109.000₫,https://tiki.vn/nuoc-lam-bong-tro-xa-finish-chai-400ml-p96552073.html?spid=103822218,16,,,finish
Nước làm bóng (trợ xả) Finish chai 750ml,159.000,https://tiki.vn/nuoc-lam-bong-tro-xa-finish-chai-750ml-p206481357.html?spid=103822182,17,,,finish
,,https://tiki.vn/combo-vien-finish-quantum-40-vien-nuoc-lam-bong-finish-750ml-dung-cho-may-rua-bat-p133577669.html?spid=133577670,18,,,finish
Viên rửa bát finish nhật dùng cho máy rửa bát 100 viên,299.000₫,https://tiki.vn/vien-rua-bat-finish-nhat-dung-cho-may-rua-bat-100-vien-p133419682.html?spid=136807374,19,,Đã bán 8,finish
Túi 36 viên rửa chén Finish Quantum Max Dishwasher Tablets Lemon Sparkle QT09446 - hương chanh,199.000₫,https://tiki.vn/tui-36-vien-rua-chen-finish-quantum-max-dishwasher-tablets-lemon-qt09446-huong-chanh-p52788706.html?spid=102742836,20,,Đã bán 1,finish
COMBO MUỐI RỬA BÁT FINISH 4 kg+150 viên rửa bát finish + chia nước làm bóng finish,620.899₫,https://tiki.vn/combo-muoi-rua-bat-finish-4-kg-150-vien-rua-bat-finish-chia-nuoc-lam-bong-finish-p121326625.html?spid=126244005,21,,,finish
Combo 60 Viên rửa bát Finish quantum max+1150ml nước bóng finish+1.2kg Muối Finish - Hanoimart,759.000₫,https://tiki.vn/combo-60-vien-rua-bat-finish-quantum-max-1150ml-nuoc-bong-finish-1-2kg-muoi-finish-hanoimart-p55889916.html?spid=55889917,22,,Đã bán 14,finish
100 viên rửa bát Finish clasic dùng cho máy rửa bát chén,99.000₫,https://tiki.vn/100-vien-rua-bat-finish-clasic-dung-cho-may-rua-bat-chen-p121326327.html?spid=270980346,23,,,finish
"Muối rửa bát Finish loại 1.2kg, 1.5kg, 3kg, 4kg - Hàng chính hãng",99.000₫,https://tiki.vn/muoi-rua-bat-finish-loai-1-2kg-1-5kg-3kg-4kg-hang-chinh-hang-p121316243.html?spid=130811429,24,,Đã bán 4,finish
Nước làm bóng Finish 1150ml tặng túi zip 3 kẹo Senjaku Nhật Bản,235.000,https://tiki.vn/nuoc-lam-bong-finish-1150ml-tang-tui-zip-3-keo-senjaku-nhat-ban-p67548792.html?spid=206146144,25,,,finish
,,https://tiki.vn/muoi-rua-bat-finish-hop-4kg-chinh-hang-p118782039.html?spid=126096634,26,,,finish
Viên rửa bát Finish All in one 90 viên hương chanh,484.000₫,https://tiki.vn/vien-rua-bat-finish-all-in-one-90-vien-huong-chanh-p52108337.html?spid=248163730,27,,Đã bán 1,finish
