title,price,link_item,index,discount,sales,brand
"Lò vi sóng để bàn Electrolux 23L UltimateTaste 300 - EMM23K22B - chương trình cài đặt sẵn, nấu nướng linh hoạt [ Hàng chính hãng]",1.880.000₫,https://tka.tiki.vn/pixel/pixel?data=UsWbcdrBoX8U0OZZuMUOQsUIsi4XKInKe6fETeOQ5-CMAscNjM44MsjqXX30imVdb54Olxm2lhIAoKGZbt3mR9ewDvF91Y6VMFHFngC51LNA5FpunUnafsudNeBhMeifhuzssOKV8iEb21UGzDrjPIuUsab1HCZ_KW611ujmqzch7M2hjwwxijNvlXcA-qGGvQi_Jje28cbEqQFtm0338anltaX0CiqjcTq3AUC1xe5R3XS2-bZOyjSU0K4yDa18aEubLPGQXnD4Xqw2CG9TmGuUEvQw9Ulf6WjXM-TFwvolW921LZ3JXnBscYlxbWPxy6XgUAS8r663UFPO3f8stz93Rar37JWZ2ZiAfMcezfwiFAy4ZHMwlqg9pieFSq7s7kEMkHWKOEeBN0lQ76sqJuqKGwpjUwlPcXw1fg2la5fSiaohU2fgKQk7o7Pr5BmXPgHPvMwtBV2G9xF-1VZAipFC3zTTyipEtQ3OD6GqJxd29QHJaKi7l1Zn4oRrj2OvnSiWw9wiIN4wvVs6R7avgeyYoWRpbZTe5TSGt3riEg1p3yV8tSgJMDsqqPsWAsSuFvTzIy6BIZ14yDVVH6QJIANY6P6r_X2m8MI5TGWET_6GBRikqy4fZQiGERuhp1SV9MrYv2LhkkeDtNAJEMBPXd0q9YasR7GPkUPmV21Z_uvOQtUT1FrKtfKZsWAXnROqtzYkzF35fIGabhZSuzgk0_gi4Tvuij-lWxKu9lcW3B-SK7nSJbxszx9Ul7319bZTKHvmLxKvsfC3Fq7X2khL1U-VLQTJ7ee-bxgsI7N6FZk-bpM2svuAlyW-nXYKmEcgzeKtxMnwgOW9sTOlQ5j_8yQgytW2P-XPq-AnOBl5jNRrrbQfqODgy5sOzFu1NkKralAaIbUPTTFek0RnOQDl0W-rEycG5q_wDOIwdB_9dD_qds1iQWD2lGeRMbN3f0dGFxgNarZaU35s5_E0GeKWrfddfYwJ4pM01hsmgf7sJPOAQrf4PmX9NYvoK5qdrA70PbDGiCVAK0MZ83IpVD-E1bpPzFpthcfIvqHypIX83FB6P5nrfRYjRWuPM8fNL6mpWQ83vYDu8VxpwpOu0zVnsg45pf1iIg--fyHXQZ7xwdAGPuEhBmuWHCcrBqUnd2muyw3s7k-Vo_hPuPKJmhXOBnTXSYX6XvgnqJvkn_6c_xtxc0SrwNV3kT-9USfy5jE7fCsRlImXGvk-9oS6Q7URoNRRkhbh3opHaLaUNMdld_AD1wLZsnIqpjGZIZs&reqid=QIA6Exor707CQeYJ&type=CLICK&pos=1,1,-24%,Đã bán 63,Electrolux
"Lò vi sóng để bàn Electrolux UltimateTaste 300 20L - EMM20K22W - Chương trình cài sẵn tiện lợi, công suất lớn, hâm nóng nhanh hơn [Hàng chính hãng]",1.540.000₫,https://tka.tiki.vn/pixel/pixel?data=KkfN5gghYLiNRFJfMYJCUXOsrkcZuf0yygWHWkj29LDMTlVf0putUZxfAiMorupLabdW63u8r4EIixaIkYmMPUqTdR8fR3CQ7rcypsKgY-RpwsYhhf-Hq-hEcAtj9sSehgcCA2UWrYT0QFiqULIpXsaF1Lrp9Ug6U4IN9NC8F1N50w-v1sP7h_OZn0HqC6CbPmC6BuVs3sCoMUK6bmAGeOzzqZgwv17HqMEFAu6SXmejZRUy5zVnQYFcS9M-Xms7LoZsZhm4Wi5-pZx7zL5dmhNoO5wgVAYo1t7_dY5Vb0CQo1_9v16x8Bv5-e5T8ECV3atZDSa6854GuUYef6BnF5kA339ZjCQHpA_l60eDRI81cHLBFvdeUWbTj1u9oA606vR_sEv6UjCLow1lV7twN1C6iQcqTDG9z33B1y63s179PrOiNYnhShzIiEedNgfDEvVaswD810O6wU0WJMc9V3RMdMaGIzyQiQm98QljU7QMwxmEVbzfRPWEkZ5IIfrvrj-IuGj4ooap5s1saZ0gutXWouAgxpU6GR54Bl57WPxBN0JpF5XqD_ncD1TStgwKjHhMTt6PiyHcu176VlTtqL3l_EIxwHEZgelsXFUlBs-ewHdiIi4nlCaxO5lUaAypUTpZQPsMaX8CwT_OTzQqxzBrYb81aQ0JZj4Zz5jX3PDe7-lS9-BQ4Ylu4VmM4hPS0vU5VcsA6wsapRyoWwyboj0H9JAYrtXRfGBUFD52bbNNwNlhUqRYGUrxCxxXZ6PQhaQAy5h934ZcSTo83rIOnI35DGohD9D_G6McgaerHjHUFZSR_AcmNi6K5Al2axCxGDiHqUTFedqISLa-h9KMq6C1xfFyFotRlKqIto2fkhLqx5nQFPC7mexrd1HURq_hS3Gs4bVu7f-DdFFFBEtCTSyMNJcB1hIB6QlG8DJv6ejdPqX18Wha90jeJSLmx7vqMUcyREuzen-Q0eyYoNdxxX-k94OyKSslUT7COEfXgey5K0C0zDP2iwTv0toSar2DbanWnk5ASe1qZD_B0v5-Q9wGvJg_2sZk8Lh6kPGt-6e5HiWE1XUohZv47Sl3t0AOBoVc7GbgZx086uh_FqK2MLv3OLwXpmcj1NOI-1veJ28j4CuGfLgaeMEXtLSP2c-qpyhUXoTL94eDlWNyMbCCxXdu0nXi11V5yIOFfY61Qwr-HbguWcjcLQvjGIWqDb6BjaHJi-eKiTAKGatfa5E_vAo7Oklr3c-UNtkhH1x1k5QSL19M1utxGhMqav87VlgsR0QlosNkFx1NfUbYQw&reqid=QIA6Exor707CQeYJ&type=CLICK&pos=2,2,-23%,Đã bán 70,Electrolux
"Lò vi sóng để bàn Electrolux 20L - EMM20K22B - 5 chương trình cài sẵn, dễ sử dụng - Bảo hành 2 năm toàn quốc [Hàng Chính Hãng]",1.690.000₫,https://tka.tiki.vn/pixel/pixel?data=DJpYEMPqwZKrcbawPoUDB-BKZ8hTPsXa9dc_7qgGebi4iC89KN2eh8ycOcDVUxF20F3bkRKMjpAmC5A0slHdJqpUmEKNTCWGrJn4ZAQymD-yDJ0j3egBeM1YDTZJ88uffx6emSVm7CCndT_MBCnvyt9DYDApeJtY9SS0kUjZnywpw-g8lKNI-TJPplFnssjxJ0Q5snhrDsZ1KwZhNuVA01oTWyQeA44W251ybvv-S1PijCIE9U6qDE5r89z3HKJ7ut5eF1pC5jjrJKP-O3Udcen47BPfzRzHzc6EtQMuaEeVCwHu629aiL9OlQ83RrTItaduVdcXd0yzDu-OHDxBss-JHFcOeTgRYazun1n8MewdVTDMFs_auBcCQ5YuBaNk7p-IHaYQ6zHDGacQCLHikRh1G5SzVCBVwwY_UJSRPQISFxZFAmxgSJB_9TphatNdQIuLAsJHKln5pZcA6tCufwja9u-7gxSzf6ova6opuaj8K7hWwnqcAFoJyrhUA7gEVo42LDYZVl-UdGJBWcQ15CTthQjrH9Dl6LjOzkb-iCoOmtHOaV6WX24TSOz3LVet2V_1JQrfYVmRBESV-IU064kUfrku-UBDpSTI2oEiuXzGGmwZ3j1bktjfbPysAu6ctSS8KqaeGkn1iy7eT3psgOPDJqTKOwNM1hrCXiJe1KlZ9vav02iAxLlkXe0MS2L9Vi9S1zqnmk8I8F5l7gO413yoAQtm_pa0HSfV-ARH-0NOwZF33TJbfp3jLGCJvnwrbLVfMIGuRWzIdsAHy9F7WPUFxqscN7WuWlAqXzJTheVXBj409epcNzAKXnmkW9qfiECYXmmqANPvbWg2QOG_RoecfH70REAmaTzwosFjyD0DyxA5Bb5crW3_2lfLp5iFWwRviPQveXNrL4BDW9FrAPBpSM_behArrF5nV80e1yFXWEBEkexSd67yol2U7F4DolQslMF2KRHxRxR8W_UO-IWsbkhmpw1Kim90dQygrA3hSim9ssp1fsmI1OWFoP3qJW1exZzwBdYdwb0GYK8pkPGybheG2J_pDdynqLoWloe3b2yekzM_1JWaRXM5YWRCRV706UNICtmvqd2TdiVSQG30L1GY4foVakpP1Is6XknmMlhYd2Pq1k8MEEHipT2mgpG1nenr-WPlhDahhJ3THto5jVJ1zmMkmdunHmg1dE8ZzqH2V6LS--VCyMEO8PkKIl_mpxJyJyKT2MqTv3e003nfSJ0XMFCHmAu_AHF1qvqOrQspj36OxA&reqid=QIA6Exor707CQeYJ&type=CLICK&pos=3,3,-15%,Đã bán 40,Electrolux
"Lò vi sóng để bàn Electrolux 23L UltimateTaste 300 - EMM23K22B - chương trình cài đặt sẵn, nấu nướng linh hoạt [ Hàng chính hãng]",1.880.000,https://tiki.vn/lo-vi-song-de-ba-n-electrolux-23l-ultimatetaste-300-emm23k22b-chuong-trinh-cai-dat-san-nau-nuong-linh-hoat-hang-chinh-hang-p209697471.html?spid=209697476,4,,,Electrolux
,,https://tiki.vn/noi-com-dien-electrolux-1l-e7rc1-550k-mau-den-nhieu-chuong-trinh-nau-da-dang-bao-hanh-2-nam-toan-quoc-hang-chinh-hang-p209417241.html?spid=209417242,5,,,Electrolux
"Máy lọc không khí Electrolux FA31-200WT cho phòng 26m² - Bộ lọc HEPA 13 diệt khuẩn 99.98% bụi mịn & khử mùi, màn hình cảm ứng [Hàng chính hãng]",2.190.000₫,https://tiki.vn/may-loc-khong-khi-electrolux-fa31-200wt-cho-phong-26m-bo-loc-hepa-13-diet-khuan-99-98-bui-min-khu-mui-man-hinh-cam-ung-hang-chinh-hang-p210137761.html?spid=210137762,6,-45%,Đã bán 19,Electrolux
"Lò vi sóng để bàn Electrolux 20L - EMM20K22B - 5 chương trình cài sẵn, dễ sử dụng - Bảo hành 2 năm toàn quốc [Hàng Chính Hãng]",1.690.000₫,https://tiki.vn/lo-vi-song-de-ba-n-electrolux-20l-emm20k22b-5-chuong-trinh-cai-san-de-su-dung-bao-hanh-2-nam-toan-quoc-hang-chinh-hang-p221703497.html?spid=221703498,7,-15%,Đã bán 40,Electrolux
Bình Đun Siêu Tốc Electrolux EEK-1303K (1.5L) - Hàng chính hãng,550.000₫,https://tiki.vn/binh-dun-sieu-toc-electrolux-eek-1303k-1-5l-hang-chinh-hang-p11295059.html?spid=131192619,8,-7%,Đã bán 154,Electrolux
Máy nướng bánh mì Electrolux E2TS1-100W - Hàng chính hãng,729.000,https://tiki.vn/may-nuong-banh-mi-electrolux-e2ts1-100w-hang-chinh-hang-p112694371.html?spid=112694372,9,,,Electrolux
,,https://tiki.vn/noi-com-dien-electrolux-1-8l-e7rc1-650k-mau-den-nhieu-chuong-trinh-nau-da-dang-bao-hanh-2-nam-toan-quoc-hang-chinh-hang-p243100558.html?spid=243100559,10,,,Electrolux
