title,price,link_item,index,discount,sales,brand
Máy Cạo Râu Xiaomi Enchen BlackStone 3 - Hàng Nhập Khẩu,279.000₫,https://tiki.vn/may-cao-rau-xiaomi-enchen-blackstone-3-hang-nhap-khau-p52293499.html?spid=181454309,1,-44%,Đã bán 391,Xiaomi
Bàn Ủi Hơi Nước Cầm Tay Xiaomi Zanjia GT-306LW (công suất 1200W) - Hàng chính hãng,379.000₫,https://tiki.vn/ban-ui-hoi-nuoc-cam-tay-xiaomi-zanjia-gt-306lw-cong-suat-1200w-hang-chinh-hang-p223500373.html?spid=223500374,2,-45%,Đã bán 355,Xiaomi
Máy cắt tỉa lông mũi Xiaomi ShowSee C1-BK - Hàng Nhập Khẩu,109.000₫,https://tiki.vn/may-cat-tia-long-mui-xiaomi-showsee-c1-bk-hang-nhap-khau-p107223590.html?spid=190706523,3,-22%,Đã bán 340,Xiaomi
Máy sấy tóc Xiaomi ShowSee A1-W - Hàng Nhập Khẩu,275.000,https://tiki.vn/may-say-toc-xiaomi-showsee-a1-w-hang-nhap-khau-p110982026.html?spid=216198558,4,,,Xiaomi
,,https://tiki.vn/am-binh-dun-nuoc-xiaomi-mijia-1a-hang-nhap-khau-p98876044.html?spid=127947282,5,,,Xiaomi
Máy cạo râu Xiaomi Enchen BlackStone - Hàng Nhập Khẩu,185.000₫,https://tiki.vn/may-cao-rau-xiaomi-enchen-blackstone-hang-nhap-khau-p35216213.html?spid=181454465,6,-38%,Đã bán 467,Xiaomi
Tông đơ cắt tóc xiaomi Enchen Boost phiên bản mới 2020 hàng chính hãng,179.000₫,https://tiki.vn/tong-do-cat-toc-xiaomi-enchen-boost-phien-ban-moi-2019-hang-chinh-hang-p33414955.html?spid=180609706,7,-40%,Đã bán 379,Xiaomi
Bếp điện từ Xiaomi Mijia DCL002CM Youth Version 2 - Hàng Nhập Khẩu,749.000₫,https://tiki.vn/bep-dien-tu-xiaomi-mijia-dcl002cm-youth-version-2-hang-nhap-khau-p87890602.html?spid=213496082,8,-6%,Đã bán 89,Xiaomi
Máy cạo râu mini Xiaomi Mijia S100 MSX201 - Hàng Chính Hãng,295.000,https://tiki.vn/may-cao-rau-mini-xiaomi-mijia-s100-msx201-hang-chinh-hang-p192290300.html?spid=192290301,9,,,Xiaomi
,,https://tiki.vn/loi-loc-thay-the-cho-may-loc-khong-khi-xiaomi-air-purifier-2-2s-3-3h-pro-hang-nhap-khau-p71665677.html?spid=71665678,10,-29%,,Xiaomi
[Hàng Nhập Khẩu] Bếp từ Xiaomi Zhiwuzhu ZCL01M 【 99 mức độ nhiệt ◆ Hẹn giờ tắt】,849.000₫,https://tiki.vn/hang-nhap-khau-bep-tu-xiaomi-zhiwuzhu-zcl01m-99-muc-do-nhiet-hen-gio-tat-p219147767.html?spid=270800828,11,,Đã bán 46,Xiaomi
Lõi Lọc Diệt Khuẩn Cho Máy Lọc Không Khí Xiaomi Mi Air Purifier HEPA Filter Màu Xám - Hàng Chính Hãng,575.000,https://tiki.vn/loi-loc-diet-khuan-cho-may-loc-khong-khi-xiaomi-mi-air-purifier-hepa-filter-mau-xam-hang-chinh-hang-p56048866.html?spid=56048867,12,-19%,,Xiaomi
