title,price,link_item,index,discount,sales,category
Bếp Gas Dương Rinnai RV-360GM - Xám - Hàng Chính Hãng,710.000₫,https://tiki.vn/bep-gas-duong-rinnai-rv-360gm-xam-hang-chinh-hang-p983450.html?spid=37973993,1,-5%,Đã bán 33,dodungnhabep
Bếp Nướng Điện Sunhouse SHD4602 - Hàng chính hãng,982.000₫,https://tiki.vn/be-p-nuo-ng-die-n-sunhouse-shd4602-hang-chinh-hang-p533351.html?spid=141387217,2,-26%,Đã bán 2,dodungnhabep
Nồi cơm điện lòng nồi niêu,561.000₫,https://tiki.vn/noi-com-dien-long-noi-nieu-p21093609.html?spid=197859022,3,,Đã bán 2,dodungnhabep
Nồi Nấu Cháo Đa Năng BBCooker BS25 (2.5L) - Hàng Chính Hãng,515.000,https://tiki.vn/noi-nau-chao-da-nang-bbcooker-bs25-2-5l-hang-chinh-hang-p1368631.html?spid=1115526,4,,,dodungnhabep
,,https://tiki.vn/am-dien-sieu-toc-aidi-st-06-1250w-hang-chinh-hang-p16062978.html?spid=16062979,5,-21%,,dodungnhabep
"Máy làm bỏng ngô mini 1200W - Không dầu, tiện lợi - KJ08",241.397₫,https://tiki.vn/may-lam-bong-ngo-mini-1200w-khong-dau-tien-loi-kj08-p58861997.html?spid=147125123,6,,Đã bán 1,dodungnhabep
Ấm điện siêu tốc 1.8 lít chính hãng Rạng Đông Model: RD-AST18ST2,249.000₫,https://tiki.vn/a-m-die-n-sieu-to-c-1-8-lit-chinh-hang-rang-dong-model-rd-ast18st2-p184748661.html?spid=196203399,7,-19%,Đã bán 1,dodungnhabep
"Máy đánh trứng, tạo bọt 3 trong 1 tích hợp cổng sạc USB MFB1501H",113.000₫,https://tiki.vn/may-danh-trung-tao-bot-3-trong-1-tich-hop-cong-sac-usb-mfb1501h-p117661445.html?spid=247984860,8,-41%,Đã bán 5,dodungnhabep
"Bộ pha cà phê phong cách Ý tách, Bếp điện và ấm moka 3/6 tách 150/300ml",328.000,https://tiki.vn/bo-pha-ca-phe-phong-cach-y-tach-bep-dien-va-am-moka-3-6-tach-150-300ml-p88223336.html?spid=169467247,9,-10%,,dodungnhabep
,,https://tiki.vn/bo-van-binh-ngat-gas-tu-dong-namilux-na-345s-vn-hang-chinh-hang-p1733763.html?spid=1736093,10,,,dodungnhabep
"Nồi lẩu điện mini đa năng 2 in 1 hấp, chiên, luộc - đỏ, hồng, xanh giao màu ngẫu nhiên",103.900₫,https://tiki.vn/noi-lau-dien-mini-da-nang-2-in-1-hap-chien-luoc-do-hong-xanh-giao-mau-ngau-nhien-p90521109.html?spid=115289599,11,,Đã bán 7,dodungnhabep
Lưỡi dao cho máy xay thịt đa năng chất lượng,60.000₫,https://tiki.vn/luoi-dao-cho-may-xay-thit-da-nang-chat-luong-p76440393.html?spid=271168420,12,,,dodungnhabep
,,https://tiki.vn/luoi-dao-may-xay-thit-da-nang-2l-p113834872.html?spid=128898275,13,,,dodungnhabep
[Hàng Chính Hãng] Máy Ép Hoa Quả Nhanh Cao Cấp Promix FJ-01,2.099.000₫,https://tiki.vn/hang-chinh-hang-may-ep-hoa-qua-nhanh-cao-cap-promix-fj-01-p163297792.html?spid=189339200,14,,Đã bán 11,dodungnhabep
Bếp Vỉ Nướng Điện Không Khói Đa Năng Cao Cấp - Hàng Nhập Khẩu,160.560₫,https://tiki.vn/bep-vi-nuong-dien-khong-khoi-da-nang-cao-cap-hang-nhap-khau-p33443032.html?spid=149146477,15,,Đã bán 7,dodungnhabep
Máy Làm Bánh Mì Panasonic SD-P104WRA - Chế độ hẹn giờ 13 tiếng - Chức năng ghi nhớ khi mất điện - 13 thực đơn tự động - Hàng chính hãng,5.200.000₫,https://tiki.vn/may-lam-banh-mi-panasonic-paln-sd-p104wra-che-do-hen-gio-13-tieng-chuc-nang-ghi-nho-khi-mat-dien-13-thuc-don-tu-dong-hang-chinh-hang-p558110.html?spid=70839088,16,,Đã bán 388,dodungnhabep
Máy Xay Đa Năng Không Dây Deerma JS100 - Hàng Chính Hãng,319.000,https://tiki.vn/may-xay-da-nang-khong-day-deerma-js100-hang-chinh-hang-p74967900.html?spid=161532305,17,,,dodungnhabep
,,https://tiki.vn/bep-tu-cao-cap-loai-tot-p129642206.html?spid=269952792,18,,,dodungnhabep
Nồi Chiên Không Dầu 6 Lít Mẫu Mới 2020 (Tặng kèm 1 bình xịt dầu Galuz hoặc Rapido),461.475₫,https://tiki.vn/noi-chien-khong-dau-6-lit-mau-moi-2020-tang-kem-1-binh-xit-dau-galuz-hoac-rapido-p55796705.html?spid=92566521,19,,Đã bán 12,dodungnhabep
Nồi Cơm Điện 1.8l Công Nghệ Mẫu Mới,371.000₫,https://tiki.vn/noi-com-dien-1-8l-cong-nghe-mau-moi-p120369804.html?spid=269956252,20,,Đã bán 1,dodungnhabep
