title,price,link_item,index,discount,sales,brand
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/256GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,15.290.000₫,https://tka.tiki.vn/pixel/pixel?data=iR6uK1g8lkcQxNoE15_fIhTtTWqWjLa3vl6CIU6vXjRPH5kf33bZNvCASyPcEyz33LezuNgxnN4DeAD0r2rz4AQeLT1Y0myeE3E2vZXyepmIZPTy81XmObd7MQiSgEuM4DyoTRK3EgOHNd-J0yHSYw9ts7x_BFZlKTceIEO11dx8553b8l7uaKihtUe2OWpRQ2nZROVwukFwt_sx-QGv6C6-WCaXsHjgzZrJmCXfl1LQ5P91W25d6hkBQODUmf5Zq1YgYrMvguFDGOpraD0Db6_OET125kq-4fjMFm0c_ZYm5_mRDwampEsonIkksJbQz5koRa0Y6NuQZ1-AkEwFI8bdFzW0mDVjm8mqh_nRhDWvFkVnNJqumQwG27DQZ6gy1gL5rkJBl5ZAn4QkjU_QnBUSCYQMAlqNQvjvEmq7Oc-kE6PrFLiZ4G5O1UJPzdG86uOCEVTVqm5vPSeAmv7xu0Zxs9x2AdpSD7C-tBVfwmVI416RElPWUugYQkCf9S5WIGiLve7p8C3XCLxbZYdrbNA61b-sg1KCmic3OkuP7FvMGBc_q851ol1e-vpCNKdR7rSVU4iaOz_eATZpsp3m27Xa36V9Yswaseobc1A6U-8jJxS3WsL98lK6QkYp3L-MiehB6tB2bEphjmoGm-oitcBRzpzBYd93sKLVMoYERglvIN02qbXDfNYWfncs1zHanr-sf18s3VXXsVUaLfbirkpdiOXvuRjEa82M9ht-HTN0JbXmHC0DRn-6c4OrWzRfnsjiLpx9sNWFK8W3FGLIjDDdPX8lgMT4kp4SENrupDx0i4i5G8phB63y08ArdqD93Lu1L7kkiwnKfMlpHD4mSRsjf8EjNKyQ3QtaVBDi3VNyF0fqz5fz8utemv7KH4ifopSPWfg3frTyTJ7J9-9Dp128tN1JEZZu4-oPnvMAn_GSWrTWW1gX8mqGTMUl2hzKM2Dh-7lLxUZPcP9X4-8zGIJOnzqKUDo3wRTnC8tlfcQGpqflg8V02tAA7ayeUeCbavy9o6kp9DQEwJHUVzvF4l8PUGO6WiXnFzju4TK52S0Q6TrMDXgfTSia5PMSz1Jge6VISjVrL16Y2-8vPF4b6tMpmnwbWwiUXH9t9taEoWiCbBaPxo727McQEOrvXeXVG4eQkLaGAixpgGe12YAFG-zKSU6KXNANxDALoE8m3P5jrKS733TyFdSTg2T0GZuNuVNQvIBCdnUkFKDYG18IwfVa87gBQB1SuTeuLGyvzqI384a-HfBt2fVA8GpJ1X0lLzhZUWJWQYGbiX8VugdrDtnjRtRZwz8Uvz6IqOVbXNiIgGF1iyFpB6ZnERs0UmyJSNHEXqmhExtfhvuJ_LsJ_sdWDSuhtEq0X4PenAl9xi3XA87WJg&reqid=D6hnrv4gfojF2RF7&type=CLICK&pos=41,1,-43%,Đã bán 6,Samsung
Điện thoại Samsung Galaxy S24 Ultra 5G- Hàng chính hãng,37.490.000₫,https://tka.tiki.vn/pixel/pixel?data=8tvs2nqcqgjLt56C1nH2Mg3QAvXu4hZfKdhCJEowLelHZZk6UJv0QaPzoqSUpxcyNZT0m2nA3eCZGuHjk57byJFWJ8TaRNeLUV4tSsXh2gcdBt2uQ35mT8I3Db407q4BLz2n5Wsda_jzfDLS2hEBkmUWswqoBKF4aX3dZVfuS81xXW7ahY07NmVfP4izcOz54bnVkwbk-leSA7FRLdCTBvEn60KwV8k6m4tsFQFpOkYz1RZ2K3yHBEM1crmbkQ0cMgkFPTRBRvJZ3wkx-E4WEXiIZAFZClv4GBnnyEjl0PB3sXxA-8sEdQJeuvqlk7qTunesvYHN7L8U_NpmMYv7wU5MQCBIib8vCLwP9X4_gCke3g_9b1iQiHhbG-covIsRhNvw_ztV4pwBjtCDmCWdelJMRqDOZHTDtoRaGGyOqhsK0_KgIBSRw-0PLD24sUlUxFoJhHEChBm9fJREiDylKqJdFQCUVZFXnuZHZzPqVAMCw-iyf1Xzy0nck-2YokFVgCzhryVWyq-BfZVQ7Ld4P2rj1twgivtTe4eNUdQNNLUKDTq4wjN1cIys8fQzIvGYMa2T9OfBD1rkBe6f2ic9IcCt98NxROEPYThXvGNuU4IWX2R161_89MHBeijv-ZBV69YbLH0gQbBVPeYYuCXLzAOF7jmYXa59C7AevPbtttgyPyg5Bpt0vtGJuuA3gbW00bvGmilKdfBSn2wfr_oybrgM_x9mBT0zGFakzzUYtUzTP1NFtUYWUhpAzQVIZ6F2hZ_NZvyWmoVCt2BLMUUWJELfDWaAhvkGQdDJJQw7ammxcyVZB2xyZJSpuTvWqVHm5cGRwyD6GqH7XZqQ72Fj2Ry__ixl5GUaDAN-vIcLOiggyCWpYIRKUgM_ZCwyYnp9KWt3kDPUMSplBegW7BlMTdbziY48jcA9cAyRg7In2-hr2AyTRsQ-kQB-y2BgwVO2A-QWzhy-dYbcj7dDxAmQ5uXbozSfnYdzIh53XWsR4X92hc5K590BodmkozI8SBpb_4CssZEVE-V4FUdK5JLcr4ZIr4gXKw53pw5W-NO6RYdcHAY9SrY9A1RlXZRWfvaNsKHnxF3imIT2qkfNEFBBrxsQask5RY4CFjz-L404Fhuwg9yGtmduXZumhsc6JO8vbepYl2_07AW0kEtFrFEPziOtIthuYzaLf0FncfIwMqXk9kjbUk9648E&reqid=D6hnrv4gfojF2RF7&type=CLICK&pos=42,2,-33%,,Samsung
Điện thoại Samsung Galaxy S24 Plus 5G - Hàng chính hãng,26.990.000₫,https://tka.tiki.vn/pixel/pixel?data=8u9DcfeAdWG3uz_0EQTXwJyHmL1qygl2ocoue1ZHIpbyYxrYBdR7u_hxqFCv67xwrZuVQz35pVZt8bHhVlafb5rCFCt55x0QWfE_LgDEK9cVCcQAmT411AXncbGrBHzHP0aCNDpnSolydFG4exz3DkxQdxligyBjOqFNp0g2MrV5UzT0HK3fCeLUJCQ9SyKTN8ckrM-fTV7lOobhjZWo_U0NLbSBqtShYEXbCtzjlDOp8h814jW4wi4QlUqOvLMsTHvYwcp8WMW_lAKXGfJW-rWnJjdoWpWotkQzbgszZ84SjISYNqF9rQNhi_8Zx81rg7yasEsAH7FLIXcwL-CGBZlpHeUFtAaxWdIdebuA2QMCIOJzCMAgYOLBBImdAYF4nhicALGZBkpJMV9V9K81-O1YTs9y8O4s7R2w_qbDgwv7NT3B6K-J_SLNcr9S02rROz0EuIwoZcs67KGPg2yN-0rhWSnZQdga8-qabAlQwd99FURBlWQ1Kx8VvMQO98UhqS1lE0mfbsUrWERVnN39FeVhEe34fLspxzk_YvDUPsetvt0D7JXy-STAc6s2wnsTF2RPPsk22LHkXRD7I9-OM84ikfoIm4DyXFmRqlChg64Ug3RTHZ7V2D8WkSq85ZwvXuQLuBmnqKz0O0dpfruB8-HP3xQDHXqY5mnB99a0XpQZTbwno9-nLdQ_F_9LTmJrHMLOiCEbnFe9q3eF2DfuR25MTc4QiqJ8bmHmynHYfGiS9Q__q7P12-FCV_E2o6rFAVWcMivBXHT0hT3-ahCVRHDHblyXg_brchaPO2MDPFhx2QYFZ_QwGMd7YkXmjZwC5FZzK6c8jwE04lMCdo_kf00r96nWF9607FByGLsNS_e4Iy9zDzpdPGP-BjWkIVd0Vt_kCrIcr61FPkoGFwul0vhmJDQRiHUP16F_Ok5ndeMmedSMiUQbm1PwOxYkLCk-TklQtNPD6XQKMfxqb3boSA8YNQSflWAcYmn4P3xO0tqItya27VPQ3sH_j8rut9rEK9RIGBlDyBAMdo_AwAHXYIjBRvVk9lNEBJfvmLlmHzCXJIIXqwro9QeR42ZLl6zgVEDP9LN3-1B2G93OfLcJvozxEKp01H3jEO-Fq59MPrqO8ZeYnGLSlNFhre7SpHoe5_s-vw7Hsz_fRmUIL8oWaYMFpdOw3ZUv7NZJf33zrg6DAFjj6379og&reqid=D6hnrv4gfojF2RF7&type=CLICK&pos=43,3,-20%,,Samsung
Điện thoại Samsung Galaxy S24 5G - Hàng chính hãng,26.490.000,https://tka.tiki.vn/pixel/pixel?data=qD1Z_N30Lp1a9NOl_JlrCDHBap3I5wy73vz4ZBGbbvWEV9urhixz0agrNGjH2zG9NQY-GU4GidWp7pnBnOq5tqJryHZjRGF7wVCQsyNeMgbor6wehdH1WeYh0C17hZBnvKYwJR22imW40su-taR3RaTBt3ZRedjlUqkpf8p4mAdYCDVYht6On7bs2R55h-uR2iI_zN9r3r7niQ2Fqje3BaCWAteb-PuIZ5vwFEd22QAiZ8labkwO_xAWeW1FvpKcPNJ9sq4gbWlgOKmInbNkeZLQbYuRMX3AXlpDuEjqoTWkkxIpIPDUgY2M1pc1HdLnO65gKoVc5NW7kIWA-9g8wLxlYgbJaw7kZ5lklXKVfY-_gzBQiLBGqmhk85WNptKPpCcFlodjPnOjT3VgUt83G9zr3xFZ4VrPNDy-hEgLr8LUgCbMtg9t7nGA0vCjKiGDYyKhyz1birRgPW48RQlTY2s2DW_bi448ThuxmCK8DyPLYPNwkm0T_ZN-FNC6gt61xFYoUDvsPB-X9H3Is7Jycv0OpAi7kus_d4N0OXtHM59UXH6V8pZXF2minx6FzrnhyM35te7_ecIo5jB1p-Zr-dYzJilUOEZLm_vNycjcgHjCSsnfPHkE2D23ZPp2b0LzFX0BNcZ7wssNN92IXi7zlPFLiVb3PKMDEEWcwq0T45m4kZrEpqbAMOAmlHW1KNfaX3AptGHDG1Y9gG6bbvcbmjjMCbnUG9EiCjjxFMein07lm8ox8m3bukHyQ0QMnbiUNIa5xxrODAih6PgkQwSweTpo_VhfKVKbkjD3_KXrzfF8vyyEdJU7mN7FWkaahLRtG_jHdfxWjjaz10HXtCS8s2jWinKHLw4LV6tfh6EhBpS10ZxZUggHb2Pnzr5grkt-cqaB5ggeMhCz3-FZV9qjQTqxGM8B7EI4Orh0SDMrqtqqPK1gqRTPG0pCEhdAMZRw77b9Ay8uqgmEkC_yyKD8odHiGPNYYMLoUulNZ8AJEz6AR6osJgTlog2ImD4uwY7e4iJmHPikzYb2VH7CySC1KWlGlP5aeM8aiazRIdCxQWDdds7V3RNs7o1foZQEC_kFPIn94xy4y_puhHOdpaykkadH7krXQD8ZevS1yJLKsWlJ5SZ0uR2OVGE14AtJ4Em7-8gnhhh3mdkPEEH9j0Je7GmwCzT4GP7UT-jpu7wj6yIbnEo&reqid=D6hnrv4gfojF2RF7&type=CLICK&pos=44,4,,,Samsung
,,https://tiki.vn/dien-thoai-samsung-galaxy-a34-5g-8gb-128gb-hang-chinh-hang-p247730209.html?spid=248784132,5,,,Samsung
Điện thoại Samsung Galaxy S23 5G 8GB/128GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,15.300.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-s23-5g-8gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p225271277.html?spid=225271283,6,-9%,,Samsung
Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,3.587.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-lite-lte-sm-t225-da-kich-hoat-dien-tu-hang-chinh-hang-p103168844.html?spid=216714866,7,-20%,Đã bán 2,Samsung
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/256GB),16.000.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-5g-8gb-256gb-hang-chinh-hang-p216174231.html?spid=217089349,8,-25%,Đã bán 1,Samsung
Điện thoại Samsung Galaxy S23 Plus 5G 8GB/256GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,16.000.000,https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-5g-8gb-256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p225298417.html?spid=225961870,9,-30%,,Samsung
,,https://tiki.vn/dien-thoai-samsung-galaxy-a14-4gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p247925719.html?spid=248792322,10,-10%,,Samsung
