title,price,link_item,index,discount,sales,category
Điện thoại bàn treo tường TC990,250.000₫,https://tka.tiki.vn/pixel/pixel?data=DmX_Quf-zsq70yuD2s2phC0B58x5nxHaZeIryAflD1n3XwGf75RXjYxcLeY7Dyttm-32A5SoEDcLzI_LZ4BvEKaMu9EKoaqPB_qh8gACBAsJiK5aCq8sh6ExrETVpbeO8erlpmBwAZPo6weXmyPSi3_Auez0Cxjy8WEtl4MOfGgM94dEDzx7GnEfUfZDb8U6yA_OGKgEUESgz64Y0Ix-NehH-es8Ec7xbw8p9JUxthDx3oH-vItTPDDZQyKf7KKuE-2dDxVw1hQDiyI8TcL16NDW24ksrXQode80eF7ul88ji4STQrSXvMMoEN37Q7BTOVJGnyjX32IKqytnLbPkhrq6Diel9M9ixslpgiQ2QYXoutlwlG5ELdIgBWcZxHNgUd5pj2k15Zfc1k-Yy0O2_HPC2PJkcyfS2YjUodgtDyn9SF71cXlz5m7s76Hbn_yNSOabqRfC9upIrR3KBupKoWYNk33aALylJ_0eASn1ie7GXCF9a-mzFMgPIn7NjbYIMyLR1_IOVAVMOFPQvdwz2P7Ga6WgNqq43M7tkpKERmwmnd6jqouUc5Jsha6VWa6myH-Vm4io3yCY8nbn9LdiBlV-Jkgm607EYa-_GJz7jFwNEXJ-9MtKyf3k_ZkG8ZoGIT-QqtXoKCzW9tfYHl4JQ3tGUXfX5C1J7mZHvxnn9iSbZ11QlLv1QOQEs8TwI8_YUmVP1_gFQORn-rT5RX0vTjiRKTAVqbU4YGf78QqOD8oJvzOySbyiWLCd6oi65CMvWySMC-_5ZsUEsa_9fj3RJa-2N126qJxtckL1bTug5VrDSB0CcFBPrqv71abHaA4GJTo2wHQPXIZJTzXrj_kNSPyaeqVU2XHnLQEVjE1PIyBtHyYYVP6VszmnvEP2dZjzN-bx6UQrsdw6Z-hXoyNm3c6GZjz8IpY0XFXrzMmOQksfZcgwerRKWSDBSuHlNwJzsQcY21UcXQSPWgRP9yLxTTUBclBWrUQKBS_hVrU2ZhsheuCrRgOtihixihtOPbtJzt68NzsGxx32RAY3mbW0dGcTqp23Ku-GAZ1PGsGmoWXbbuw-lszMrF4fyw&reqid=dKrBzq6GvwkZUlHn&type=CLICK&pos=41,1,-2%,Đã bán 21,dienthoaiban
Điện thoại bàn Panasonic KX-TS500MX-hàng chính hãng,300.000₫,https://tka.tiki.vn/pixel/pixel?data=89IOpo87GOOiBb29FhCcfwFlNJ8yR2yG8lhTGSbSWjidzK30S825Uevp_UA6Fob3U529fj_LkRn_uu13u6YtOkP8DsKryZxCqBhyVcMlVd-gDN0e6lSlzVvjCvrGiZx1yDG--nW88UjpbBJ2iyguXYJ3xmQRaI33s9Kni66c2axVHtm7xdDAHtCY2Z8b1urhcIqWSAFU8mCy7MsjwIGZFpurpSuaoz5X6ldR7PqG7GSXyRayM2wmdZfM8TgOaKZt7SoRBzO8Or2lrz18T9ZWJ-ZUAdfGU6S_-YigNOmbdZzSTB_IqJQDywgYBQQzruijSmIzl8WZG7QKwr2R7kDVYwzGW6s2dlxCbAvwBIs243L5GvcMHcKa7yKaF-cqZmkZQ_p4WSTJgqMZ3kjkcnKQb--uC6F2n3p_OkuJRQhNUEWF2XkmAz9UZiknO0stM7wwC48eNKeWw0gFf79hfRcUhnkIAe8Km3CK-O2X9uMqgdKQVmXbZg9psi9RWpRdLgLtUf9iDPSN3BEqaY6wceDdGQ6V2KU0nZ_m5Xlpu3slgoA_x87E8ApIlzDgHS7OTRmYKeftP-2ppNiz8tXPKdF3q72GwssGMITBmJDX5kNNsUOwfgwBNu7U843cIOLw8Z2xr7_xj3-v7W_6LFho9Gdu_xB3vlEsabj_sjgoq6mj3p3obvJNugWphrGLaX6z3Nj4X4rLUVq_rYP6HKQBF8CfVK2BijOeU_zF7eWh-9GGTDshxh2Ak3vuiAz-7B5UVAuhAMFlseX6v5FLr3x07Kr5C5RYnWCS9ddqDX68qFCK6nxcwt05nQvnkYLu-dwHpOSKBQumtWNyv7iMPRMX0dmNvAkq_seTYjfuHdxlUXSSjjoCT8AWeJQKkaGEjpKJz-oLc7diQ9C4xuY1hD-NXaoIMHdLq197bQ1mg5pLxsG6ZbcklrOTdKS1W5W3OJSaA8BE1HQItuOMmEeLJ5EZ1BOiPAyRlNKNMYYH5NCJB5b-sfQI8JSxOfnvSmBFkb6SG1Fz6aOVaeoRxyeEc1iSDkB3bkt6RyRPx2Q7ak2olmpVsp8r&reqid=dKrBzq6GvwkZUlHn&type=CLICK&pos=42,2,,Đã bán 821,dienthoaiban
Điện thoại bàn Panasonic KX-TSC11 hàng chính hãng,588.000₫,https://tka.tiki.vn/pixel/pixel?data=9AP0d6llo_OAYoeJU22sIujeQgXFJpIkaSncRStbHbsjGERnwLPdcLNJUcm4ViX6qq9wW5GbqeUTpu3K5G2Vu__sRgzpuITn_CyAZ6N2rLNfHE3vSwTUPxBtilOcgoJEWfuzTxgccZAZmyQrTHom-YIzSpIIcKYek7lAsjqpgANU_mK7tpJwFTUg278SqbMDWWujM3xZJc470SRZm9N6RXO5szJVDO-GvsMZASFqVshAS9vvIMbD8Sc2Bzrvkj6Mni3BqTLItBa-diX9NrPX3CD5AMCuxqmD4P1UtU4iv9JRan-_hvTPqSvJ26eKSOmCd3tX6o4XfeD5aBfAMHTGRwKtekmYP2p8vikpmtHnV8-ov89S8WWzLu1fCu0JjXXt56AIIDIU3AldtyP0GxwrxaWORL113YWk2E82lA6EKRdPv9tu_BT_1mECdaZd7pSXrVldJxZy6wC4S_qfDOdOnGnmk-kfmARU8pFvz4tO5vdXdg-N0lidGqXkPaW0x15XxAFsd4Yavw6qS8QLEWmVIWZM3oHSlRv31ZcRN-qCNiQEKs5sYDEgfd4ZAyXOueG5_voiF3yVfsOz_ys_EsRZDB3kKQSSibPhtmKDMgQ8n6CnRmqij6u-j07IPVGJlrzNeMTEYhNA6p3d33hWGYN2DXnFzu7qQHDTXdOIvDnsidsTZ_9hTlkzRUEudS4_1PI-4l98F0LV8ya0G0yGssvTYgUVGSvMqK-To5bxsc9XmPl6rfvM87_83kVyrxskT0koL5A06kdx_4Yrt0le5rKoEUXOlRcTHYQ4ahFYgfoS-6uqwcJafBNhoeT0oMBkUK1HuMHddDrN1_kj9_t-hME-eISPZCKhDAH_KuRPLJHLNY0UzTvuPkZCcK3xRKdqiV9ql90LEg3QdSFU3hvKr-l8ya1qqYepjwbnNzDEgHz-fTRer_IbZW1Ydnl5GoagP_xE2zvztNQ3ftP-U7aQwjwTk7-GEFjR5NRgGa55bOImpnRkqzNEP4UWhgb5uMaxROlXtRj_uZqEp6bdlQa8hRWkHEiwt6Dfk3pFy6vYXKMp4Uvpbwc56VmSr5WU5GM&reqid=dKrBzq6GvwkZUlHn&type=CLICK&pos=43,3,,Đã bán 143,dienthoaiban
Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,588.000,https://tka.tiki.vn/pixel/pixel?data=VhuVhZ-ke5N2VKUgvXR8F7_rbhKAW46xWH5hf_FQ6ozwGdszMD6nRx8CthL37GEtR1QXX3JSrqCTYZkuynGUenFso_Ys6PM2AgiO1W0aJNCgZsgsehSpyqpGPcW84ETQQEm1mT-5r1q9T9C6zvfo1xdMO-vX1hbl4uKG4evfntvSAK3776kbouSe-VXlKIGja7jdSg-u-HTPte78iGnylzcAiE8DBYpemBA-LiyUyAFdT6tT22cfYM_jLtBSmYg56XUshLDNn8MyfMWocwsv9TBs1383baRWtomHnnLYjgWyC11GaEujf3rYl2CsrCLyAI5hFTOK64dVBMH-tKogS1rLq-_3_Y1iiB8qKNAEK6n2aHs_5rgRUh21gRrj6_zBhGMvDoztBbZcgI18bW-Ku_v-2O0nuUa7p6lAEVJ_Y_HRqRuNF3vw3OblESqG_qELu-rOUN8YWT-V5QvJyYO9XeSObqU_9v681fsAQQ6y0IoBUf4Db0R5rW_56jdj9K1mH_rQ7BUwVi2OP3m6eC4ohdABcMWIa9Z1zvGEpjwxo1gM4btlY6EkQiV0VNLmqv9xbED7w0OqpiVoegM93Qk75epV3DAlTpBAOkThJVdyp244oDIz51lLe5xdiwfQ-jDWmK2Xe6k7Nu5mzwdyCt_MYjhcVZVSC86OailRYwchxUqtIyGJrlbkEaZlplJEnPX1amNhj0Vr4rWX7u0v90Svh3KkgpoJvosR4RaEbNZ5PPbioADJ9UkWd3gGpprNerwvPgjYfqW11b4YFB_6KoAhCCkkBw6-CqW72SjGAGlK4jzGbFS53jNSyXuQbvZIJEta7zCpM6ZENvoc8vg1Ur4LLuReZVurFGxSzUcm4mV0eVttIQ34E6a6EsrdXihbZ3xHirak78RLIizcGT17EWeXwoNS2_lPDGtIBlS3VmPnDgiYJI9mWYHEacgKgL8jet6UwMO8jguvxmo-wq5aPdZG_4f3b7ubq8dihGMkCFOgyT81hy0Y5osYwSLF3QOsNX_xRzjM_Xgv641lk2GhEqAlo9ifv0XqoqirSdYUoKRgr3iRdIhmLioLoOLdySk&reqid=dKrBzq6GvwkZUlHn&type=CLICK&pos=44,4,,,dienthoaiban
,,https://tka.tiki.vn/pixel/pixel?data=o0Orsac_UIDp7ori-DjtgVHTA5Zm2t9jzeus_TpRUUhx9nX5OWl1t046zMRtsMnvlQ_8LyPJPQLWEGVYm_k_bzf2EZJRV_Z2ln2pfouUlrUqpmEyfoRwaMLDkBbOSTNei3X90s3gshCGT06-t5EBPPWsXqPSmzl0iopGKACHbS-fO4GKjA986BjK8HFAwgU87o3dSx2aWLlPOUjKE9dek7gQUj0F8lGAIBhwEBU8We02Xp62j9vPTRMAMyYvsVmA0n-7KsbL0j0QUEzc-0GgG5uTz7YqQR45Nr689xgcgpMlvG1w_O9jVV9Ky4il4U62uBxZFkgW0W9rQrjFmEW6u-VgIKzlmXMvqKIb0RnVX1ogFt_4kt-84JLNgIzzPU3R9hax1y9yk1-ZNv7bF6dheE5GgvumiQpFaW0blHwbacK6UibmuDrOAq_GGJqEOP2rcAnvxKXA-_qlzAF9ws7eAYE-qTHKG_8mjDVuYVpaI2OBXuYlO3_WGOfAGpeINMhJ60ze-ub3qeCpUTR4JHTvku6R3KJ9fRzJ-2w23KusZGyPXyAZNUWP-mfxFn40NMG4JXzve8FZPgPXOlnajbt66rdkbifGVgFVtbqRTv5nUHvTldY62tr9Vv5cf29CZQNpMreNKx9qFxNRPseI4Nfzns5JtyRI-qroDP3i-w9kNLvq7BS4fLY9hx2SjJYHz1p3QwTozUUoeHNkrkImu8BJHSSwj-BJkfBkAsPtBrwW3z8FnN8wuNphez7ddG4ZaeaGbdxW2nHRCe6FygkWlDS4q_fHT5YT-W1GmwW6q-g6L7mZ040Xyu5I8CqGzO0H0MVlQ2jKRqPc7mg6UqH-pfKlt-JUIs3V0ld7rEB-sXwziiQd-Rc0GGMJLg-dnISLI2uYLZyvX0H8F-OSIo4O_0v3j0KmTSyS61zfy8KarJocpeF-xtk_oaRVCvaEECILYNZajcMo-2rUABJ5siKh3YrcgUEbhFNxEbTOUTAJl3nEVVmUxIBT3Cbe8vK7fZD58w7EJSF5RoTfNsBdahf-LiWwXvdlQDCOp8jPvwhvJrBkvWnqpNWkrC1sxWtsPdLA&reqid=dKrBzq6GvwkZUlHn&type=CLICK&pos=45,5,,,dienthoaiban
"Điện thoại để bàn tân cổ điển phím quay cao cấp DT14, Lắp sim di động, nghe gọi rất tốt",4.200.000₫,https://tiki.vn/dien-thoai-de-ban-tan-co-dien-phim-quay-cao-cap-dt14-p263076992.html?spid=72217401,6,,Đã bán 4,dienthoaiban
Điện thoại bàn màu đỏ KXT438,215.000₫,https://tiki.vn/die-n-thoa-i-ba-n-ma-u-do-kxt438-p55197731.html?spid=55197732,7,,Đã bán 50,dienthoaiban
Yealink W73P - Điện thoại IP cầm tay không dây DECT - Hàng Chính Hãng - Điện thoại IP mẹ bồng con,3.000.000₫,https://tiki.vn/yealink-w73p-dien-thoai-ip-cam-tay-khong-day-dect-hang-chinh-hang-dien-thoai-ip-me-bong-con-p220670303.html?spid=220670304,8,,,dienthoaiban
"(Hàng chính hãng) Điện thoại bàn hữu tuyến H2P, hiệu Alcatel - Lucent",2.220.000,https://tiki.vn/dien-thoai-ban-huu-tuyen-h2p-hieu-alcatel-lucent-p172537996.html?spid=172537997,9,,,dienthoaiban
,,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p125171841.html?spid=125171849,10,,,dienthoaiban
