title,price,link_item,index,discount,sales,category
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/256GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,15.290.000₫,https://tka.tiki.vn/pixel/pixel?data=0fOvdLYv_kGPCvelsjWB1HYoPYNm6WmMvZ8DU8SimcZ1aOS-1pwwB4lLBwen-TwQe-gnAtrbnla64LcaCkLIuwZVmciDDUHr5SJLxXqWeS4g2Wmtd4k8Pf2y49m5_XavWbSDlQRllrhS25iZW-uOVO79jkHD68_Xkr3LRYaMeL3lfrGzDk0RoAj8ePURg-vd9sGG0T-cEx6F6BtQN5wzn53MOuq1y5xw5Uqgw4reci5vvR7iF1nq9Tr2PR8Gox7ezqdYeaWPm9djlIcHqUou0uKOxCK1NMG_CLuItaWoTGzLzc82syZ3s1AsfplKkIWv4FsQCs6obB5OjXyoeqbw5Z90IrO-tU4rVSV0c8yMf68Y2O6ILGab1GIP_kE3TSDLtx9kKKtQQU27zpG0ZCRHrRo3F_EmpBoH8CuC9lU23YbPwftd90aiCRHeWbLHNJJlXuzLWvk782EN59MzMhCZwk1tWYOzaXfrOcXhf90r5iRLxoJ9bqMvK-thhyVEUGwkUY3-tyA4fcfvPcrBnPbQF3C97rb7rMdN9Za7JFefrw3eG35p5pWkhV6gEWLYbInkSbTfwbVETS6UXDSFEXdvIVOtq7XEuuy372_S5CVnBiN3dsnXOZRCLGpya4Ntn4lGg3i6Z_9O0a9hDOwk7Zh4w2nDt5acWBk6dMRVvrvlycSiJnRiZuILm8vbM9T2UQI1DxygQwe2ymQCo-T9nxYQWxRis2hD5bDyjTTwwuyoVyzuznf-T9OCwFf5TcVt6TZUbbsHMBroZqTQrKyBhomoPNbjHcpIAiCjrbtJdNtGPZCbopCUbDKvLNAn2UMde6319tft52D2V8QLn3-ASQ7ki5DPLXGqg1leDQof4OY068HgP-vj-lOv3tfFj1-3ElanSUOz0xFgedlG5mce6jdnObhB_GytwOrgX41hsH9373Ybs4OIXPUz_fkr1sqvNZsbbdUe9b0q_b-oJ0r65jvzc8Wf6pt1x16GGMPhjgNyy_bHsCsjvEa4w3lmqOFbhUNNBODUMgmuPBdWlCcvDqINeG2ocrEmCPLTxj8NdSeHA0j9jOwliXRslrbgeCtxMMt2VayFZgqg5jNqKYaLhhf7Ttpk90hi5wjWjm5QnVf-XbTG3SL3GQzHNgjkn2dE0eJ3HOIDdvwQaiMT587SWEef6St6SM4pNmv5ClDbTUCLjjXF70-FH5R3o58SayxAIrS3zsjTvAY1ENF1oWosIQmWt_AhB-3paLckzRQpKzKpmvChx7JvW_dn1_fKr755cQkMPFzgWrtqEjt37TOynLSUMO1B42Z3lNvpekZZoqDu62DUqPvQ5KH5d2aD0pB8tsW381og4CB9myu5JL5GIUxuA1CFdNCOABJKEJM8&reqid=bShKFHkhRntaoqbo&type=CLICK&pos=41,1,-43%,Đã bán 6,maytinhbang
Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng nhập khẩu,3.590.000₫,https://tka.tiki.vn/pixel/pixel?data=tLmnxKk1IFU1NtKEXEYP2QCR-dmP2XchDhekFI5BzfDCXEB_cqMqyEHch9bkCtFeUFGvf6DMldr_0u32f0kq5gJy5Q8gdSr7bDE3O7JpFQBfpGOmetyhz2QL1qEWeYrwh_HoA4pYdVzsPkt4G8kd4dZfrb2Aj7qD-JqUgBvx0MyrePMCyjJySkZNGlcZht5zaL-EdfUCD-Qv7FCrcEOlLFYujH61hKVnEEiNFiTbDshoNRoSN02eFjNY7UNrDOi4yq3beDl_BeH05_YLh-TFn3SY0iPvUiUnKLe9b7HhOrWBtjtGNNvJhrcLWuVJemROXQMDh0DyiOku0iLo4RxccbMW0HPi7xwBbfFJFBMnBlMSc0cvpxSp-o_lcQlw6ir11gj6sqM1Zr8SchcACNW2siR4_gjD7jDCNqw1upBLLKiLs-7N4VtudX3UW6xUU_EKDKeIltrGZr1m7iL8bvlVBiEfYbNRG2OTH2Mi5Nlj7y6JGZx5_X-T-9mKsCTwT3VSubFdz8PVJzH8Pzot4DztSELqHW90Gf4YAURgMZp59G3GzfI0FrRZGrhqyBj1VdR_HahRiT5FoCplfMa8nSTqG8uMyjQSqG5_jOw_g0bSMvunbIcnk0UwSw4hHenOuQnoxb8tEKJ_HvNzUUE7i59YBA5CWLXP2EU3oIDHcuo3U1dFjZVOlg3a6USI9uBVcjAb3Daqqo08shOgYtWeBe_rkrD58qpjllL0DyYHckK2NNlFnpaktlwd-k0htw4wYQIb0cCMypnkJmKd0BQQLbO5lZi266gRJFDSBRp0loBQHib5Q_Ida-RhDP-2QmeR0c5Ocg0_yf-ROVGVGbWynVDORhsseSVtT1czMusBoxBccRArgye2uv6L0dQRZKg4cazWJlmQf_NflL7j8Mphgq_y06cXOL6Bs0j9mKhhF0M0n3Z_KR0OzBhc6CkoxcsaAkugjXuB4rSMcuqlknxkv9GfRi6X8CZuhClV0HVOp8xhIn5kEqBdPJ4RA9ytbddpu55vjs6IQ6bBF6T3H1S9GWn2NS61uhhaCvJ6lpVM8LablpoOEz46AekvOBnVU7BdC_3mRBmehbDuz1BCrTqS9przKP21PHHFIjaQ1no&reqid=bShKFHkhRntaoqbo&type=CLICK&pos=42,2,-24%,,maytinhbang
Máy tính bảng Kindle Fire Max 11 inch - 13th - 2023 - Ram 4Gb - Hàng nhập khẩu,5.490.000₫,https://tka.tiki.vn/pixel/pixel?data=RT-rDEc_BMWFJOEb3mZG05NHtaAUgfybjFQCFUC3MWPOcJzybPmGTbS7fkOvudrCQIgBIXnJUQuNnHCfr4KImBw1gD9jw8Wj_6FupjmB3KB9tol-w2seeGcOHIvvbw-mjDg7UfwGutI4jAp94a4IK8pBWMiCQ0juYIiB_n5KjjEEgjeD5dNEvI5gj7SjXl0sCRLg2x1JezkVTcV-X4w-ZsxekLxWEr7jm9nN-5_pu1CoRrs325C-2n6L2-Xy5d8TgwE8IIcSHcQ7YfaZdc4JjnVWtTF5p8XtDLvwQUo1ONojwtGRMMr4RBJPyLJrDWeo3COC4OB9SeTZ5vPIDRAtFtNtT0b8W_ufEOza0nVYSXD4hYWj8MewEC6RPwHODSMVqOC-ms0nPUpvzYK7CBbyU5dHDKGKH__S95_lOHXOAl-qnpLj4NYyZYOGO_kBl9fKaEqDFEgmknWk8JeUVAbGNswGHQYgkxVQ50VwjxIUL-BDqvH-auGFztTbGZdniFANypWKoJsDQb-9H015dpjYh4CxKf9yRJnch7OHhJAj8mPziXVG4HhIZeRd-M032PKK1qnTnJOgtL-EI7ak5Fh89NvrGZiYqxKuUYNhrgFHq05X-LzHDkjyy_UzGLCaFrs3DA0ocZ9pFufg9pIaZ0oreFndwnvvSapjMyjY2Im4O59fClL7wrsD-ygDvy06DQuRg2KJmzxyorOAt2TPwa9Fxm8-dwxHrWRNKXqz3m0QSh6Ct8s4RFeSgHHFZ1JRG5TuJSMz5SnuDLmpz6ObtCGfx-oBbWNtTfbGSbuOEmOVqaotfgCh_a2ejXgsJX9eHkXL3NGIalHDp--_mGB-O7n5dFH_exKmb4-DUrn5GG7XL1zjw2stY-1hYuzqGPPjjYr2_r29GaYvURzgQ2bfnc-mY_aASiHRIELUGNlTt2ROGRTMt3G_ILDQDZhxH0_zSHglChU5Hd0nAWerl27v1UaYBEZnmVueUKLWjbJvvtWyklF9HioWgigHa-2D8_n0XCle8Jx8E_b7majvxuvQvTAaK3pYkf8hX7RdkuPURZOS9QYbYGxOqcd3DHKAXnMsOp9nUU-8KN4eGx8ajq3qgnpOyKFd2MojtBLgRFDeRaMYwawp8-YV&reqid=bShKFHkhRntaoqbo&type=CLICK&pos=43,3,-15%,,maytinhbang
Điện Thoại Masstel Tab 10A 3GB/32GB - Hàng Chính Hãng,2.890.000₫,https://tiki.vn/dien-thoai-masstel-tab-10a-3gb-32gb-hang-chinh-hang-p160450655.html?spid=160450659,4,-11%,Đã bán 5,maytinhbang
Điện thoại Xiaomi Redmi A2 (2GB/32GB) - Hàng chính hãng,1.690.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-a2-2gb-32gb-hang-chinh-hang-p273096928.html?spid=273096930,5,-22%,Đã bán 1,maytinhbang
Máy Tính Bảng Samsung Galaxy Tab S8 Ultra 5G (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,30.990.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s8-ultra-5g-8gb-128gb-da-kich-hoat-dien-tu-hang-chinh-hang-p169459856.html?spid=169459858,6,,,maytinhbang
Máy Tính Bảng Samsung Galaxy Tab S8 (Wi-Fi)- ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,19.416.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s8-wi-fi-da-kich-hoat-dien-tu-hang-chinh-hang-p206481184.html?spid=216732449,7,,,maytinhbang
Máy tính bảng Xelex Gama Tab X8 EDU (Hàng chính hãng),2.890.000₫,https://tiki.vn/may-tinh-bang-xelex-gama-tab-x8-edu-p249782771.html?spid=249782772,8,,,maytinhbang
Máy Tính Bảng Samsung Galaxy Tab S8+ 5G (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,24.041.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s8-5g-8gb-128gb-da-kich-hoat-dien-tu-hang-chinh-hang-p169459378.html?spid=216714870,9,,,maytinhbang
Máy tính bảng Samsung Galaxy Tab A7 Lite - Hàng chính hãng,3.587.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-lite-hang-chinh-hang-p217158529.html?spid=217158532,10,,Đã bán 1,maytinhbang
