title,price,link_item,index,discount,sales,brand
LEGO Creator 31127 Xe Đua Đường Phố (258 chi tiết),1.159.000₫,https://tiki.vn/lego-creator-31127-xe-dua-duong-pho-258-chi-tiet-p167383241.html?spid=270925955,1,-10%,,lego
LEGO Speed Champions 76900 Siêu Xe Koenigsegg Jesko (280 chi tiết),899.000₫,https://tiki.vn/lego-speed-champions-76900-sieu-xe-koenigsegg-jesko-280-chi-tiet-p104842110.html?spid=208423960,2,-10%,,lego
"LEGO City 60366 Đồ chơi lắp ráp Khu trung tâm trượt tuyết và leo núi (1,054 chi tiết)",3.499.000₫,https://tiki.vn/lego-city-60366-do-choi-lap-rap-khu-trung-tam-truot-tuyet-va-leo-nui-1-054-chi-tiet-p262673478.html?spid=262696076,3,-30%,,lego
LEGO Minecraft 21250 Đồ chơi lắp ráp Iron Golem Fortress (868 chi tiết),3.499.000,https://tiki.vn/lego-minecraft-21250-do-choi-lap-rap-iron-golem-fortress-868-chi-tiet-p270811729.html?spid=271314950,4,-13%,,lego
,,https://tiki.vn/lego-minecraft-21167-p201508999.html?spid=201509000,5,-35%,,lego
BỘ LẮP RÁP LEGO TRANSFORMERS 10302 ROBOT BIẾN HÌNH OPTIMUS PRIME,5.338.000₫,https://tiki.vn/bo-lap-rap-lego-transformers-10302-robot-bien-hinh-optimus-prime-p273661756.html?spid=273661757,6,,,lego
BỘ LẮP RÁP LEGO NINJAGO 71774 RỒNG VÀNG HUYỀN THOẠI CỦA LLOYD,4.343.000₫,https://tiki.vn/bo-lap-rap-lego-ninjago-71774-rong-vang-huyen-thoai-cua-lloyd-p273661566.html?spid=273661567,7,-22%,,lego
BỘ LẮP RÁP LEGO DISNEY 43207 LÂU ĐÀI CỦA CÔNG CHÚA ARIEL,2.230.000₫,https://tiki.vn/bo-lap-rap-lego-disney-43207-lau-dai-cua-cong-chua-ariel-p273661693.html?spid=273661694,8,-22%,,lego
BỘ LẮP RÁP LEGO CITY 60350 TRỤ SỞ NGHIÊN CỨU NASA MẶT TRĂNG,3.199.000,https://tiki.vn/bo-lap-rap-lego-city-60350-tru-so-nghien-cuu-nasa-mat-trang-p273670667.html?spid=273670668,9,,,lego
,,https://tiki.vn/lego-creator-31135-xe-mo-to-co-dien-128-chi-tiet-p235630097.html?spid=247262148,10,,,lego
