title,price,link_item,index,discount,sales,brand
Tất Thể Thao Bé Gái Anta Kids W392327351,107.100₫,https://tiki.vn/tat-the-thao-be-gai-anta-kids-w392327351-p272458183.html?spid=272458187,1,-10%,,anta
Áo Sweater Thời Trang Bé Trai Anta Kids 352248703,669.500₫,https://tiki.vn/ao-sweater-thoi-trang-be-trai-anta-kids-352248703-p272990389.html?spid=272990391,2,-50%,,anta
Giày Chạy Thể Thao Bé Gái Anta Kids W322339908,1.299.000₫,https://tiki.vn/giay-chay-the-thao-be-gai-anta-kids-w322339908-p273837560.html?spid=273837562,3,,,anta
Áo phông thể thao bé trai Anta Kids W352329117,279.500,https://tiki.vn/ao-phong-the-thao-be-trai-anta-kids-w352329117-p252877719.html?spid=252877947,4,,,anta
,,https://tiki.vn/ao-phong-the-thao-be-trai-anta-kids-w352329136-p252881836.html?spid=252881838,5,-10%,,anta
Áo phông dài tay bé trai LS Tee KT Anta Kids W352341701,629.100₫,https://tiki.vn/ao-phong-dai-tay-be-trai-ls-tee-kt-anta-kids-w352341701-p273498192.html?spid=273498203,6,-50%,,anta
"Áo phông bé trai Anta Kids co giãn 4 chiều, thấm hút mồ hôi nhanh, thoáng khí 352325141",339.500₫,https://tiki.vn/ao-phong-be-trai-anta-kids-co-gian-4-chieu-tham-hut-mo-hoi-nhanh-thoang-khi-352325141-p271146665.html?spid=271146683,7,-50%,Đã bán 1,anta
Quần sooc thể thao bé trai Anta Kids cạp chun co giãn 4 chiều W352329322,439.500₫,https://tiki.vn/quan-sooc-the-thao-be-trai-anta-kids-cap-chun-co-gian-4-chieu-w352329322-p263763895.html?spid=263763903,8,,,anta
Giày bóng đá bé trai Anta Kids W312335534,1.439.100,https://tiki.vn/giay-bong-da-be-trai-anta-kids-w312335534-p273655357.html?spid=273655371,9,,,anta
,,https://tiki.vn/chan-vay-the-thao-be-gai-anta-kids-w362329346-p272892917.html?spid=272892921,10,-50%,,anta
Áo tập ba lỗ thể thao bé trai Anta Kids W352329122,239.500₫,https://tiki.vn/ao-tap-ba-lo-the-thao-be-trai-anta-kids-w352329122-p252880580.html?spid=252880582,11,,,anta
Giày Thể Thao Bé Trai Anta Kids WALKING A3124A0004 Size 23-27,899.000,https://tiki.vn/giay-the-thao-be-trai-anta-kids-walking-a3124a0004-size-23-27-p273934226.html?spid=273934234,12,-50%,,anta
,,https://tiki.vn/quan-sooc-the-thao-be-trai-anta-kids-cap-chun-co-gian-4-chieu-w352329323-p263682901.html?spid=263682915,13,-50%,,anta
Giày Sandals Đi Biển Bé Gái Anta Kids W322329980,1.199.000₫,https://tiki.vn/giay-sandals-di-bien-be-gai-anta-kids-w322329980-p272558298.html?spid=272558306,14,,,anta
"Áo phông thể thao bé trai Anta Kids vải cotton, thoáng khí 352328145",399.500₫,https://tiki.vn/ao-phong-the-thao-be-trai-anta-kids-vai-cotton-thoang-khi-352328145-p263626199.html?spid=263626223,15,-50%,,anta
Áo Phông Thời Trang Bé Gái Anta Kids W362329113,279.500₫,https://tiki.vn/ao-phong-thoi-trang-be-gai-anta-kids-w362329113-p272764696.html?spid=272764702,16,-10%,,anta
"Giày đế bằng bé gái Anta Kids kiểu dáng năng động, quai dán tiện lợi 322248033",1.105.300,https://tiki.vn/giay-de-bang-be-gai-anta-kids-kieu-dang-nang-dong-quai-dan-tien-loi-322248033-p263070429.html?spid=263070439,17,-50%,,anta
,,https://tiki.vn/giay-bong-ro-be-trai-anta-kids-w312339957-size-28-32-p273927457.html?spid=273927459,18,-10%,,anta
Giày Bóng Đá Bé Trai Anta Kids FG W312332222 Size 33-39,1.399.000₫,https://tiki.vn/giay-bong-da-be-trai-anta-kids-fg-w312332222-size-33-39-p273932618.html?spid=273932624,19,,,anta
"Áo phông thể thao bé trai Anta Kids vải cotton, thoáng khí W352329137",279.500₫,https://tiki.vn/ao-phong-the-thao-be-trai-anta-kids-vai-cotton-thoang-khi-w352329137-p263764201.html?spid=263764208,20,,,anta
Mũ Bé Trai Anta Kids W392325206,359.100₫,https://tiki.vn/mu-be-trai-anta-kids-w392325206-p272459177.html?spid=272459181,21,-10%,,anta
Quần Dài Thể Thao Bé Gái Anta Kids 362235740,539.500₫,https://tiki.vn/quan-dai-the-thao-be-gai-anta-kids-362235740-p272857901.html?spid=272857907,22,-10%,,anta
Áo sweater bé gái Running Girl Anta Kids W362339705,629.100₫,https://tiki.vn/ao-sweater-be-gai-running-girl-anta-kids-w362339705-p273510610.html?spid=273510618,23,-50%,,anta
