title,price,link_item,index,discount,sales,brand
"Áo Polo nam cổ bẻ ngắn tay, chất liệu cao cấp, thoáng mát, bền màu, thiết kế trẻ trung – FORMEN SHOP – FMPS060",159.000₫,https://tka.tiki.vn/pixel/pixel?data=JPl0277l3-tQEBm76fZt7uRJFufQShgD65Qy4LZgMIzc9AwwNJ2irqkEAUQJWd4fcSjlg8aUBy4W87V3JZUpbM9zDf9U4s6YOi6NKylDYvJ6DnkUjt-jLUQyJcp2tJBBwBgAAjkZ28ZwxLd9edR6oe3PfkLClNfKkEIvk5oRF5XTEOJxlbpquLU6RXS8eVcdFpkuap6Opv86WzpG2hWlnnaGW9df6oLOVA_O_17f7ialNV6GSHSRByQbwsBD473Ei6BerYMUNS1pvtlI9tDWGaVRSJxVlJtS39q_B3475mhfjJaK9_WJyOBf0231v-ks5DRNqRYAN6yPVBl6I7hn_Tu1aYhi4_oxE1s--sqTA7vIOc6hQ7upKrX6-PAh6cJrFbEEPjTMBE8NukFvKcZiCwXdIWwBGqq02s-KhYK7YtkRETZwTncZiZxCGDEI5ukTcqsx8Ixh8o6tKvC_LG_zuAN66VVah0mR65cQotibGkVFqBdl810JmLLL-KMlFHxEXmuhbO-p5yIBcV8tXcqH2_-qHUgMUW4ibvFE2n7fYp-A05rhoAD8jfSXX-uUpbdvKs6vuOf_FD-iZN0sTsmxuLHCuUxqMrw_LOtnK2quGPeUhtju5JZfB9O0jBYoZma8LJZXZKVPROVfUMggWDWqwZcif7ME0AFBiJHzFCl8FRaY-qBBOGiBH1I90sohC9kXDQ4l52wUdSgH61hkMXiIaiqS1KHgm51pz9cE0C_nsqG4uquR7b_mJZhbH0y-aUgTeujjKltHnvibRu4HQh5hv2WwOWOjIQjXglBBx0kAiQbSnI5QyUHzpu84hQK24ub5omKpCP8lD3ud20PtDV7wpatyqVhqEAG9RRTtZ7JHGsXoKDmL8Uw9gSGOSgEfWLde2QDZZxK_eh-Z46acVmcNiIVL9_pqrcWD1xXdbTFRFIgRx8TKIqiMcRWPWF4f_UI-z_mNarprQoF01Y6Qr9e4rOzDbj6d6edRCeLX7rrXpzW6v0L7QsjthhvZtH-KOL7Yl5IQVZZfRZuyVVNi3dPjsKUa2ABzwJKwhNkYVJx0E1iEsM3Ht2bev5OUJiGQJj5VpUkmui7Oj0wDuEtH5A25ZeNPi0bGiG11uE8mYXRB6ZYNCOjnUwj4PcpT-JN2IcuE8PuNMaxLLQWPWV6gN9ZBD9Ass8Mge3phNvSlARJLJDzTZKZHKUTLW4B4RkK5LFPCSB_FYHC3UbgY8cFGucIzqhEQMBoRpK4qrc1Y-_IidmnMCXnn67oK0sOCTqAUWgA9Z06n&reqid=zYATw26kg1NOSvot&type=CLICK&pos=1,1,-24%,Đã bán 68,ARADOFASHION
"Áo Polo nam cổ bẻ ngắn tay, chất liệu vải cá sấu cotton cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS046",199.000₫,https://tka.tiki.vn/pixel/pixel?data=SR9EYpB8Msw-jESmOjB1cYbDYjeVRbnKOy2QDvDr78SgSVD9weLtS6pgoIIbIdyBjMCRf0gnE6bsqNm2X6UnTpjGwpS5cEab0gdD-LqFekjTU9BTX3Q3fdC4gndkbvB-lPv4Merk6u-MBATmSWXuvTiaTkWc_X30yyaZtUYviZEry-730M8bY4IXin1vmnbnrjKXzIQpV5TJNJ3h9pwp3d3vcq-Rg2epx5E3roEjKROsVzSO0WyjWccVoWBHTA0NfNuQE6YF6fD3k4Q5_NqV4wvOv2JMlamviP3cpRYz_2YZ-XMBQh4_xWPLhfjkD1Chn-8X_NykSM3IJGaoiNji0JEgYBwmTTRHb6Md6hq8nK5g5ZHVZagkMHdBao2AFbGYb4q9Hlh2_f05uHOsASHwQ25hSTcUtbp8zIV8WaxoScusYFq7qo8OKzW-KgKSanWX3hXRnYy2g3cDKwzLFqD_GynT06U3H7biSgHnDPO-YIaW2HlrUrgHknS-SIggsZffEt_c0mOFu0TFlao1MBXylzNFN0kCDNz1EAX6lC8HesS8B3va7bgM-Qfdn1TOymKX0Hs5r4llnkpa_5buw4beaKrq7jGt8gVJiVRjp0xonoG_HoPVEkEY_Mu4GPICTs9Oa94cVklGmgRIzWgaMWaGEchQCCSRrWuXQUCd0D_JWKITbHBrEV0o67AWoxa0Zk-iWZceJb36305ccVascI2u8xUrhPwPq4codgKivblBM0V0P58Ulgwe53TLml5-vMNzjUtsvM3iag1N79El_Uex1egsaM0bYP3U86UT2_fUJcFfP0JkfeP1Ay0C1DaAiMLURl9oJrLjQM5tAAGclatn3RHv3KumEbxjJR12rF1VnJ2QHJfMB_-PCTeMStVUJ0LOueEFjna1pVLOzOfG6nn5yV73kbRrx2zATnpmdbp0rj0nPqeLFuJ6ear4qPIkbyTCkK69qgNvEQjlx5iKdmqwcroJuQj5U3zhH6p36BMgqhKjbaHtzWnkrYGO0Pk5IRj7oIzu-bFn-kBqFflKc8Q9QGWsTSbrQsnfvGs78_0Wapnuy244GNNH2h9Oj9s2gsPM4rXQ4D-8RCrB8qHugwRSbwOgQrJc5NO5iRHvYBLFvJp5IYnrNoBGQWEs67yXgOUWpAo2a70rrKMkv37JPGw_UTTBBNK8kxuupxQzaut9jGxemRgf7iPfTgMMxuL1TxcN1_NXvDDIxE7mU-5vIpvCpKVsAyRIu6w87XrZgAC86T3cAY2Rxu2b9EchSlMFZ6J2d8k&reqid=zYATw26kg1NOSvot&type=CLICK&pos=2,2,-36%,Đã bán 19,ARADOFASHION
"Hộp 5 quần lót boxer nam thun lạnh 4 chiều, cạp bo dệt gân cao cấp - FORMEN SHOP - FMCB5PS224",319.000₫,https://tka.tiki.vn/pixel/pixel?data=h98i-wqth2nUg3MtxD-WCF4fwO5QWk19c_1aIj2H02W6tdPifFKsSGWcakYxFlQglbdnoqVbCo2CUYCLGePg6VRaclbLxzWuSmeZlI8Ds5ndbwCNHUTI_BeMw9C8bfxtS_F45cTrOvqKOCbQ9TanpO6RqICmocYb0P20uU0mzyZj_3r2Ke9SYdu7Bc7K3lGOFd7-s7DJkezxIIn5XuhilWZWZYcm1w_CbaZfwQYn2DX6dACInzx3hJX2FFFv8pB4MbHQWEE9cqvef7LMi0Am_DNTpNPAPuy4JPSzvIGUnHFIUwCvF2NE-1pN2o3kwpK36Q2XQSM1vBCvcHjKYVmXGKQ6va_MvMRDmRdknUryCK4cfq5OHKyQWkRyB5ftU5ukCUvY2yuenw1-lqyokePgaRiAl29ERkvfZ6tbVihRKWgU3fA13L00buY-uXw8p9rgSwzehvLN82DSH2fNsjoJdPMeT8qFnBkmyicZdQCyAfn-u40ewRvdztRY0sfySbZ_TyWVVVzy4oqICdeWH6PCFWM9fLlGLWI1e0uwmTI4c1nNfck5J4iHKVDpupdlIbhRVSiRgcISCFapuj527cg6PRdRD1HvcU4XCpjsfWElcz574aaZVCzlYSGC-es2ZA_KX4zHRXcKf21RoS48n8REZnwfjhy3pSBZFi1rfO9d1gEnzhTNW4E3oz-7DAPvpVuSTpiuKpQLVdlg8eFus6OeoNfcgbNjLwsCUUmLpZdcvw8jXkciSHMg-wxW0w2ZXtpwpWr6p1-WYgzZNLSTy7DV0EHDFAoHX9qAcnWYa5T5eUKNp74a-d5Yzif7rbbDXFYk44RywDZs-9RxY_viwUQ8VDaAdmf38nkyGaIT_SdDvTdAItgjDGhtxUbBg6GOPbAWHtrZ31UXnP7AbpbACZNdJKqQFU1TZZ_-3MYn3xgxq8BnuSbxpswRaYtDCEJDQ_IjFsgJNG8oW_kkC8-6yQNFYY-g30Fh3BBx3lF-oqzdHT5kjkKGfm0P58aS5mL48lk2957eYpHeeSwy_hgnvraH6B0UlXLaRlFZb9bImXy21bw9Xa-MIdSNbRjlNlQEQ6h5HMocdSSQ0xxeSW8NsEQpi10nJNcpZ9UsFrWFeJl5qMlDsXkkMarDrtReNuBzoYiEt46ME7Dlmh5i7muk6YD_c9TkjVkX_ywJgWygPnb9hLuYdD2nPgP1GREN35pcQWbotFeXwR4hlBVADqZcBO7DHp9pYg11LP_xS4DcEQt4lGNWlbfztFkhdZpLUelocl4ZlHuc32hHT9hyZUhQwbYfE5JNiXOPlg&reqid=zYATw26kg1NOSvot&type=CLICK&pos=3,3,-23%,Đã bán 8,ARADOFASHION
"Combo 3 quần lót boxer trơn, chất thun mềm mịn thấm hút mồ hôi tốt, co giãn tốt, - FORMEN SHOP - FMQS018",250.000,https://tka.tiki.vn/pixel/pixel?data=LkT-9Gmjuqqwf4rj6_8gZtJQI72YILHkUEkcZA3ryb_m7oYIZWxAGzt3VUg7cpou9Set6qpujaphyjbNOIq3_6-xk28wyP42oGYHsEATZkbmCnH7czEzhEdsQVDdm7KrTVhsJhrIYCAo8WKKgwn1u6gAHjED5AEqTf1UJKAGS3T3uLOaUSsUrNswhSmDD66RxzbCzPMLIABWI57A8AGEm8x3IYz4IbAjCB5ns5-AoNNMGAbZNPC7eCJbT6-LSs2CtCO5Jr0HLk-JG9cg5OZDXTTFHeZdh-b0klO0CwiWvEn82DSpW7egAL6QNRMWA_EdXOb-0fxH2ttYnN7OmE3Uh1gs97hf-NvZyFqQhynJnbV2iBzWnm17zZzBoei3R2MH9uL5WrjBSPrEuI8N-czwDio9sZ_1FEq83Uo609IfEP2TJH2ldSB_tuoB5ztWS6CSUQ-kz9HGerkqHJSFkH-7C7oqokLBR0K5AGpXscWxFlqNQZHXPGz_9KwcbEnFfDE_61lvkzsATYR_i8BUUJNS8WtrCNUsgxPT5eJ43fvAe-ejDcShaQ75iGHkIbIghmlxg8txDfEMxfGggyniGtrl6bb-4pm-LCtP6RHqW1WzWU9b3bEu3ErkunL-g0pMZ0Rm7RjUddpF0-UlnH6exxr28k6vc_4Ltx8FoLoHOIUpv97PL0nyBCMUL_ymq9UqH8cxO_G7jrl4lFodmBldpIbhIb_pODr-DKoiXHJHPiGmA5SIQiymXCtJnVmVJSWcAcZr-oCFTZxhyne7TSnJdCTW6EjOZ_i4Ewpa9xrXyvZB_L_Li_VT7YpGiJBP6ZguZo-3ikYrHx28VXGJxD-vP4O-q1LKXclPXpyl2Y3uhRMku-llYCExSoXkf-OGo5UVhsi1IBomVHdC4T1XlQvBYZZVbd0MOkGLz5JQGWyfgot3W964Ue1zUjytEVCvT_Wv7-RuvxXEb_xQs4Oz8j9wXQ0kCv11mttEXF5NDAvZFmYz3d_FgPbJmxHv1rKxURiXCjmyT4CLHBnhGQOwRyn76__uBG2vhwsbLIG_0vJh3ThY-puqHNQ1Zoa4uPT1bJq3nhYO3IBehS5RXa6jWOvHUQc5esJffWq8uUWuTRrGyNP8ewcdId3u8fy6z8FhPQVvRngY8GqGjB1FmaZZQvLrigN1JSvPIw9W2_730cvhTgj9D6rw7xKvbZTAAZOAPIqZdLOyIPwQHLICdCTUlssVvL1d1KVogOMzCrz63GmG6s7Ml1YOBbPIN_nfssWSB_MhnxJxSoRhSdmdWtxl8rvKCYDO5lwFNk_E7Ym0Bf6e&reqid=zYATw26kg1NOSvot&type=CLICK&pos=4,4,-18%,,ARADOFASHION
,,https://tka.tiki.vn/pixel/pixel?data=zp8RCO30tpkD7Dn7FWfJ2cZjQLJY8XuP2b4zYYgMbb1_1LvnE_bLiwecrEMn_KfseAJUscOFqg2yt4QBPDOAZeEsW8vVqRbPQfOuP8eKGzwhsDthzF3dQ4dbiVs0xRsMPrPUffKqnQCaJ56w36GsbPMbntYGn3do_OhICRIbfyiAr-hpg3VZ8GN3hKRTqlREeNLaLxaAPsgqOkf_vtyx-DRXY0lWvYRlV9jHkx3978m3imF4hS_bJkfv_iOqsI8GIrB8uNYId34yQ18NL76s5p7CLN0PYruM4LqehrIsP56AjXN9oNq81E7JTeED2e0KSTgEbMpwd_MAK4WjWxeorvfTrROCuoJLMRjmV1aRIvsxBDfzsp5mvZUce6rMMA9G7Hyc6QGciDe66pHqItKiH2cylZEiGANf1IEqcHbudOSxFqc3lACUIIRo2yJGFu4FYou4_evu8E5PaGMhVTmPK6m-TpVRStj2pkP6jexTgBKoRapKr6nYNHUVfBlilTduGXXXD-89BVV57f8XQ0yz32qVeTis04mCY-a98Q7dh9KDfqTz5MiEnmzB9ncQVjXxsKIYheE-mOxPs5wHyE5YzswBhv6zVfCqmcB3y5QTPSHhZ76WN91J4H5uYp4T7Wtu0pCIyo0mzkQ7tZ8mvVa1-8ZFawhfxXRt39mrlPf8nQQZoFO5nC5yjplX1uWOa2qFIqINo8ybtdTy_FJjWi8CN5syOJSUNE2DKReFzjmEQnaTRnThKow0vLlLiyfYmC8mgYhjGbC4GHW-xauUqcwXEVJbt4E7kkr10o-FiQz4dNarMXt-TLLsNLVMov0L92VL_idQwlJvBNC9e5G-5l0008aOMwSNJT3zqd81Y8FsXNDNzGyHLKhvGZeKa81ftrdHKBzp8-baaB3FyIHOCxJmxwh5cJXR9Z6fRrjR7wyrKqjt52OI_LsKR50fqLRw9I1oHaaPEZUT5lQgBQVtzR4nwfVCMsl1AzGbyvH6wW4BMbvRxK7Qkt2l7ccyzcuRYfZ_qsI3MN4y4Fed4aTTZek8CDkceWZGcHIhtHtiDtvsQb-VHzZPMHKUxGmeVHl30cE-XvT2fsSx_BDyBNGg8b4tggHAAeQdtDv0v-RA2sMgyp4RlxBpJVgx2kiJEkhH8kJ_F2KLQLi6p4YNYbBMzWGv0RdeT96yOzgB-NtDyGykR02R73cqg1R8LL4HD5DCetv6tZhwbx1Ro3YBX7J66SPfELcfSXamMPY-4yzcclpKGkrLjns3PXmBkLYH5mQgV3FrnDyf0acM&reqid=zYATw26kg1NOSvot&type=CLICK&pos=5,5,,,ARADOFASHION
"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017",179.000₫,https://tiki.vn/hop-4-quan-boxer-nam-thun-lanh-quan-lot-nam-co-dan-4-chieu-formen-shop-fmqs017-p172210350.html?spid=172210355,6,,Đã bán 834,ARADOFASHION
"Combo 5 quần sịp boxer chất cotton mềm mịn, thoải mái",189.000₫,https://tiki.vn/combo-5-quan-sip-boxer-chat-cotton-mem-min-thoai-mai-nhieu-mau-formen-shop-fmcb5qs007-p56614642.html?spid=56614648,7,,Đã bán 466,ARADOFASHION
"Áo Polo nam cổ bẻ ngắn tay, chất liệu vải cá sấu cotton cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS150",179.000₫,https://tiki.vn/ao-polo-nam-co-be-ngan-tay--chat-lieu-vai-ca-sau-cotton-cao-cap--tre-trung--nang-dong---formen-shop---fmps150-p82819910.html?spid=82819912,8,,Đã bán 879,ARADOFASHION
"Combo 5 quần sịp nam, kiểu dáng ôm mông chất thun cotton thấm hút co giãn tốt - FORMEN SHOP - FM5QS005",149.000,https://tiki.vn/combo-5-quan-sip-nam-kieu-dang-om-mong-chat-thun-cotton-tham-hut-co-gian-tot-formen-shop-fm5qs005-p169120359.html?spid=169120363,9,-28%,,ARADOFASHION
,,https://tiki.vn/ao-hoodie-nam-nu-form-rong-unisex-mot-mau-in-hoat-hinh-ca-tinh-han-quoc-formen-shop-fmgv034-p71909603.html?spid=71909607,10,-13%,,ARADOFASHION
