title,price,link_item,index,discount,sales,brand
Áo Sơ Mi Nam Titishop SM1213,99.000₫,https://tiki.vn/ao-so-mi-nam-titishop-sm1213-p75718266.html?spid=75718270,1,,,Titishop
Áo Sơ Mi Nam Titishop SM1267,199.000₫,https://tiki.vn/ao-so-mi-nam-titishop-sm1267-p75725668.html?spid=75725676,2,,,Titishop
Áo Sơ Mi Nam Titishop SM1252,99.000₫,https://tiki.vn/ao-so-mi-nam-titishop-sm1252-p75723949.html?spid=75723955,3,,,Titishop
Quần Tây Nam Titishop QTN38 - Xám Chì (Size,79.000₫,https://tiki.vn/quan-tay-nam-titishop-qtn38-xam-chi-p9397633.html?spid=9397639,4,,,Titishop
,,https://tiki.vn/ao-so-mi-nam-titishop-sm1226-p75716091.html?spid=75716099,5,,,Titishop
Áo thun tay dài Titishop ATN174,99.000₫,https://tiki.vn/ao-thun-tay-dai-titishop-atn174-p75309511.html?spid=75309515,6,,,Titishop
Áo thun Nam tay dài ATN98 Cổ cao vàng,99.000₫,https://tiki.vn/ao-thun-nam-tay-dai-atn98-co-cao-vang-p53708036.html?spid=53708042,7,,Đã bán 2,Titishop
Áo Sơ Mi Nam Titishop SM1280,69.000₫,https://tiki.vn/ao-so-mi-nam-titishop-sm1280-p75722341.html?spid=75722347,8,,,Titishop
Aó Vest Nam Titishop EVN254 Trắng,599.000,https://tiki.vn/ao-vest-nam-titishop-evn254-trang-p70091322.html?spid=70091328,9,,,Titishop
,,https://tiki.vn/ao-thun-tay-dai-titishop-atn222-p75306430.html?spid=75306436,10,,,Titishop
Áo Sơ Mi Nam Titishop SM1279,69.000₫,https://tiki.vn/ao-so-mi-nam-titishop-sm1279-p75716235.html?spid=75716241,11,,,Titishop
Áo vest nam Titishop AVN300 Xanh dương 2 nút,199.000,https://tiki.vn/ao-vest-nam-titishop-vn351-p72808716.html?spid=72808724,12,,,Titishop
,,https://tiki.vn/ao-so-mi-nam-titishop-sm1077-p14707901.html?spid=21601580,13,,,Titishop
Áo thun Nam tay dài ATN86 Cam,99.000₫,https://tiki.vn/ao-thun-nam-tay-dai-atn86-cam-p50818200.html?spid=50818202,14,,Đã bán 2,Titishop
