title,price,link_item,index,discount,sales,category
"Quần Bơi Nam Thiết Kế Vảy Cá Mập Cleacco Chống Thấm Nước , Nhanh Khô Tặng Kèm Nón Bơi và Bịt Tai Silicon Cao Cấp",116.000₫,https://tka.tiki.vn/pixel/pixel?data=xMG7K-ezXYk1XgfukmTE6_SVy4rJb_Qe2OdVh2EEFNBQUOPGHm3yjUoiCjC1kW0yiIU6nTvT12Ti6BU-dyWyQ_jGdANJwETIYoSzDWgippwOAwgK6Qfei-CZRDs8S4f1ZEtgjUb01n0RkzRQn9yChkWN8iKMgZxWlV5F3gN5_ZuUMSIUMRIA3bKstO2XBUV57cKAD0xDXHC7hsUGEa_y2hVM-NAW4KJiIhqKSCUjLol75xP4bLTqqS7mMA8FAlLae2JFf9wH-bnGcSaZ1sR1pD71fWFWk2Q6RzAmdH3zWIpyYxUmVFm-hHMRrlth1f8uUwDW32LOhq_atDLTeSDwibV9z0JakfilP4isx98xiUeyWTR3rDiZpMnlswPiZazIMVjGjzgAAO18qiMxbuebT9_lm6ebcMj3rm0yLiNhLfHvcACG08MgT4T6PJT1J4YPwnlM_s5ePbcpyeQfwCMZ8qwVP7rnxy7bDiBDoRTNBPGEHylWdHQVnIjmJ4L5I1wpfVZ9dUCKPmQSG06P2ig-a9vZQTcAQQOmCQvTU0dFKpBiCSLJVuHp2kPyJF5WzOWB9vYj_EmXh4xUVEJfYqzjrX26QAqoaeQUWlBVeZJ1aYi2Dwk6UTtR2AtG76hZUKVLgRKas6-bFNmSt0oYEQ4tM99TAC1NuQPqrLLjgLUVfxWVr4GVg38GtQUU52mGQfjudRPBBMSxETzAxoAFdMMiMaPmxpWE3Ji9p_21mpLWwsge3aTHUX9MVAdhrA5DzkT-ydDGTMSWung7iQJtqdEraTqYSBoSV_mofZX48tEKepyJ1Xazbq2JpW2ytpbHztDqZH0aDgBXkiKEMT2W_PsDloFhLLOneo9Zi0TSsNSE4vYC1I0m1L8w9OKMHjEdpSv3tHf3987V-dWNT9kE14jfJRxIndK5D2Dnz-lqADUa-lfP8fMeEcsDR16-X88sRz4zy3j0t3sIObJy6Z8pssWjv-aYZImAQ8aa2OySR4vGm3vqagbiAeU9Bds3NoYba6MNi0fiYVdxdMzVcH03tLh9TUzeN6pKdzHFEK0tJNa-Hxcl0y1mI_imvK3AOX0sGc0DzwNsZDNH7rvAdZjp5A&reqid=bkZMLeV4ekWht6J8&type=CLICK&pos=1,1,-42%,Đã bán 697,doboi
"Quần Bơi Nam Boxer Có Túi CLEACCO DEENYT Chất Liệu Nylon Cao Cấp , Chống Thấm , Nhanh Khô Form Fitness Thời Trang (Tặng kèm nón bơi + bịt tai silicon) - Hàng Chính Hãng",219.000₫,https://tka.tiki.vn/pixel/pixel?data=bxD2SBSGDEa_buaNFqgoC2fhQCETPDUQuCfoWYSuqaJTq5H7gIvOJzOCWNu5sKxxUnAfuGKdwZb6uppkwXG0GSY6pKyf9oM3irS9us2yb28FPrqfDWPmdp02s8z29nFzEDquwphp3yUpdxq3RqiP-qG0nVZuHgaQ6s0zyPhNSlt9kvzlAWPFgLgekB2AFMzk7n1pa4bfzlyhkItHZkK5TE9P4WBlR5fyQfirZ5qXb4N2nccgNALbf6UlRp5Fe16o4i-qDEVxjvs94sxKa9mgkSH2B1Yya69lgRepcCYxtjVNT5nJd2j_MjZn_69XYkfJqK6hzmndChzectjzCHQs93n1cNcUzRaUfKE2y2iheje89uDQPYcxTXNcicT7VLoFXyIuqaihex5rh525JNRMbgG4zYR0GJd2D126lufOdQNN44PpaVA0a6rl82s24c-JA0qsjZboYg3-kc3EdRR8kWWJ4QbqubwofUh9DSkJ5gmaIFJSGBL9c4_KR1Eo34vVroJgTMyZZhhPseVsKQl8ogaRqGc9rqd2ytG0uFJplNBdyoFW6TQ7eWUf6C7hR210U1IDsx5KsUGpTwvVn9JA2tgl8L8LgFL0bKYd22XU-qaG-nz8yvI3tShgY6W1_wUfFl6_PiuYtAVuUrFGh-dGeY2FGJNZhkCzsxzylIjTUcy3JZ3ugqHxzpOMqKRg5RJiXgPI5ijnTZOPrv4zY_qbppeDtXk84zqiu1KByl8s7QYzRM3j1SBrsZgOt7QZFcLCaxQX7dyDforafuJ4-jLqVMyLymetqEvmFZKJZN60X37iZw08fg_D2555T7bdZHWlFY035Doy0rpkzQm3jaxREqK3WI2v7caFsxp5rvYzT4i86P5PGsBSqtT5rsox8hzswNp1wvCiHFq5dBo2YzQH7dUIC3AvXoQ7Yctus4q5EZcYkSOsAhHwk7Iq64s45ljpKa_AxBjkKnSmlDhBG9I16C_tAHNkLTosFB2zaVRYmwnR405PGX1wv4ehgYKsvP9kDGun4_FbmXiR8MjIP24O7utF68-qSHtWzd8S18IWfgSeu4E9anG9zmbBLfg2VWIF9w_cuLl7eqBOoErwrS2wunIg8DO8TKqHTDUOpvPYU2_jcPs4FxAbw0eVC4PL9XVHJhoilauTN7QUh6y76A&reqid=bkZMLeV4ekWht6J8&type=CLICK&pos=2,2,-32%,Đã bán 395,doboi
Quần Bơi Lửng Nam Brave Person B2240 - Thiết Kế Vảy Cá Mập Dạng Lưới Xuyên Thấu- Nhanh Khô Chống Thấm Cực Tốt,185.000₫,https://tka.tiki.vn/pixel/pixel?data=DNRQcd8mHpYbcQlwoQ7mC0_WIs-xdt1N8E_MJttOiZirMgLFTQ6uGX96ZxsENYyO2XAqiWSb1Bc2qMZjjNdSIVXiq_WJLOtPo4VKuxZZPKEpcyBHOmY7_Ve9jb7Iz8n24DmNJBbeBtfFYpMeTXw0daLKb_-wtjogokf8lHMpSnGyLyQvIrVU_elUfHbZLHIfdOfiyC4rODrHTwPS2jMZ6YEKIs1FqS1fX2JQ1dEr5Jc3p9aasSxpE6zIMK5tiyN73RUDCqzmaRD5kb3BbO9g_btVIBy8kL9bRx7mzjIiA5VtqRBtZ0hk94jM2BbqNPUQTXXhEPYyIpq60W0PVkn2Nx4fz4vXIgjhOT77e5_79npo5sZTDeax7gsoWDVCn0jRlIx7h5idv-prA_mOmX-RJ10VJwMWndofwjr9PkHMBfzLbekZaYFqLnHNU6he0MOU7HmvQVAde-ndOiszTz5LTmdO79xdp6FQDNQsZolU6Nc10FAMtQNnThok-qXvqxPC8eqM0V57a1bXM3YqDjAgEADzSfeSnvVNm22AMyFmH0_a-uoubvIXsTuWisZ0edouaaQUQ-HYRBIxS1Jk28uP3PB8s0P7aL5GTtF7Omecwjfu5mjcSFq6FAbWy3KqZtXAWP9qSX0qZm4plI9r-6c87PRLKFuoojVPD0v8tg1prAMPsoSEykdLZwivvWVysTh8qFAdpvFBRku_jnTcl1Ln7ycemD7A4OoZpsSeSIdosbHtylVGRfEDzmkGh_fwaKMVdREdL5Jjxk8GUJ4E2MRIjTQw6lnSy9ZVMSAbi8XB0z93AlA2sDb77JXVlkZyJ6guSJzsEx77qUQKHBicaSD3V_VrzSCipDMCFG4Fk_M-J0DLZj9IlagzNryo42myKPuiTvIo_8ILMmk8dIoh_qzKGNiHKkV1wcZpXWMs6J57IWH3wFq0zCTGTBHGa2MDghvwyOcpYNpHRzsceVUnk46AJBPpoX59_wwKmyo1x4pEpCeTK-spMjpQQSJIW6o9NdnLlCjz2vVdIGbtMNHsOzHwe7N6cWugaaFT0ICd_HX0n9bZcTvXbhOCXzu-ZCDEBvH-3kFOyMKl7EnWZlGaZN2bNnLZ4ya7nqyWim_4UzNC6ZEww-uyhA&reqid=bkZMLeV4ekWht6J8&type=CLICK&pos=3,3,-59%,Đã bán 20,doboi
"Quần Bơi Nam Tam Giác Thời Trang Desmiit S324 - Thiết Kế Thời Trang Hợp Xu Hướng - Màu Sắc Kết Hợp Cực Cá Tính, Đa Dạng Cho Bạn Lựa Chọn",218.000,https://tka.tiki.vn/pixel/pixel?data=L5rTLpOFO42ut4E9_8kHqBbVhB6yneRNBIhqB9d_8-Xa6behjpaG6m_brKvWbYqlKLg1zo7LiPCBTSHgN322G79nKKNZMGopq8-5et_i5Iy66CwtyGDcQwDFRjm5kDjMCD7_yJ_nyE0aav3uiauwMNMloEYUixTFVrLYrslQe6XOsy9Px7H0DU9i2jeYWAV4NCEeKy1siaylZu6YK0U1q_JTTBDXpTimApcnQRdSgzCGVI488-B20S2UOEvgfgXhGyun_1NhYvo3vVsIJV7oodhtz-Kd1X40Eygg6-1YsQnWvSBNYnDNVR2E37lXNrRu2OiXessU_L7R_86XBaGiAgpNgLjqRNx9nXRcYiGjjmSwgULYxnbOJkJvym3MnFMmkdIHk2ZtKwJQeOdd7scDP6_mLuIDIi01UL1OaUMtewid8yOyNeQaBL5z8xIuIaMl6efa3XtRSCmsvmOh0Iez0GfCVcUPHHSpeTEObJs3WFisc8zK4tZkM1kpT8O-SdS_tyj7JXC8Vps_W557Tq5j85IsyZd52foYU7TdzkygAPEopdQhWIeAZKMXMRq7gXCeJfa0XW6lXNzjrmTbb2ZaVoi9g-eecyG6Gbz9MSS9ZvBVL1_Wof8-k428rqK0Yo9r6l2ChG7NZWup0DFEEaIjiSKny21_adyDT9m2H29ScXA_nWnMKjaWERM6GWkapMkHfWL-yhN1yJIG6JY1LUPK5t-ieMHMVLwEGKAmwqfKU-KfcsPZBn1iqLma7_PkbP3WILWUW36N96Rxav_g2oaan3fdt04WpJns6tdLyCW03p9PwmRDcINvcfoSJ6GFX_Vj7R_PG4XnW9ULtdqJirm4Zi6CbkIWQCKKLOttIZSaJUxaasoXT5XLBhX8jHdgqYgkyuXIRMHIAjneN4pZso3kp9KO3L1yibER0KwMuN8jAmquY2dGAQUj1YBF5wAv5PB67J_ICL6V8ZJA_IfnQ8pPTIrm5IQqJ5JxW97rHKNs_CmDF8cAgKbvYXxV1UQoBvO3dRn8LhjajRQaSGw-BagtXF5vkaW3NEEaKjCEvX8Ta9Rw5MW7ZwNSaIHKHhIIec-UJBvOJaLwveWQ4rfAgCF5P-tF_u1cai5eM_2cwAivUuVVvGkJcRd4PoDSmPhosjmn&reqid=bkZMLeV4ekWht6J8&type=CLICK&pos=4,4,,,doboi
,,https://tka.tiki.vn/pixel/pixel?data=P0biMg7DnEF1lNgNW0Je84cpRK6LXkOGuRtxjvkH-BxVcb4BanIHVhQl8a9ueIqz3xV6g2gy_GKpogSsVkfu0yUzqi4fxODiiR-CTvJOv8Zb6YE5KERxyydHrSn71-uBonQi4Q1ytNn3VqeH6cNxvIUF74SmErINN0U-_glFNkPW-uUkwbjW78Wu-PhsfJVeRDXoBCMECt7qHZMgqER4BhaNkResaxxcKLh3qzFf5Y6747M8FjgZ6j240kNWs2ShiJB-9dE-O6YptUEzdp9avd7h5hmGBXoaE4ltyFclxCLgPTXcsF1JmeTioxHBaHIGxUzu_yjBt_4oOCMn-I4-xw_MM3NU-J7TEcZEtsfOUTHfwYgX9LtEL94kqZRNnwUeBe1zjb750W4XhP4sQQVlCPRihlZe00LzSGhkW25wtG94sJWgFQUjitvTwjcWfFW9YcybwcxzbmQ53TeTKq6i0uqn1-tIe0gFcGHE7Hw9vtgUFfawHvP6xORAg3NSdNWqXmOkaltAY7rch18qxiMIXBp9FPtR9xkIXNRsMkVmxDv92hA2weUaqgUgI_nnwoVX_UtFha73X8DB1Gry_5hegeMtwCeQK13rdAxY18Bfvh5TQWJC1gdJJj0bObu2n7sYuZmL3B3rQQp8YTLbTjaquKWjTRd3g8ay_3th3coMG5rEln37i7EDdVrn_2awVRVFmp2Gbc2mtR9semXqHGnf0PwOZ2tcweqRVKsf0Ia14crPFfdUmzZcM5349hZ7OAGaPMVdh10-iJBVBQgdQyhSsmWvpgophKixTfVPy2xTxY7VWc4pA2vgViVxT4XpQx5xtW4Hx3-rhpnSNUbmJU3ZQOA7Qdl0hliS9v2EpsQdJl_x00Ms71iBTTNBTyIVwxd2F_z4-eKJcOHMZy7xTMoi5yjcrkEuFxGvyjr-7DqfYMg70fuZrU5yUEffxkjAUGXgAZ274Lfv0DQfuR2wrCcI9ySXFfiajUpBY6T8B7EaDnEFGZLKnWPAQjk5nfxqhkDgaUHJiv2Uzu5a1NO9j7UJFP0P0G8dcmds2doB-y2MCy6Nf30r7JxOoKe-TJ4vTMl0cCdxU28uPvUCRmAhy_i_lB_Ix7xVsHUAAsxA8DHOd2mgRsC_VX0cdg-9ba2lGCStvQNH&reqid=bkZMLeV4ekWht6J8&type=CLICK&pos=5,5,,,doboi
"Quần Bơi Nam Thiết Kế Vảy Cá Mập Cleacco Chống Thấm Nước , Nhanh Khô Tặng Kèm Nón Bơi và Bịt Tai Silicon Cao Cấp",110.000₫,https://tiki.vn/quan-boi-nam-thiet-ke-vay-ca-map-cleacco-chong-tham-nuoc-nhanh-kho-tang-kem-non-boi-va-bit-tai-silicon-cao-cap-p54711023.html?spid=54711031,6,-45%,Đã bán 697,doboi
"Quần bơi, áo bơi nam dạng dài tay ôm sát body cao cấp QSHOP QT486 - QT487",220.000₫,https://tiki.vn/quan-boi-ao-boi-nam-dang-dai-tay-om-sat-body-cao-cap-qshop-qt486-qt487-p247893987.html?spid=247893999,7,-42%,Đã bán 7,doboi
Quần bơi nam phổ thông,89.000₫,https://tiki.vn/quan-boi-nam-pho-thong-p23367622.html?spid=74597260,8,,Đã bán 15,doboi
"Quần bơi big size cho nam giới béo mập, có size lớn đến 125kg, dáng sooc đùi dài, chất thun bơi lạnh dày dặn co giãn 4 chiều | BN017",180.000,https://tiki.vn/quan-boi-big-size-cho-nam-gioi-beo-map-co-size-lon-den-125kg-dang-sooc-dui-dai-chat-thun-boi-lanh-day-dan-co-gian-4-chieu-bn017-p176769589.html?spid=176769597,9,-59%,,doboi
,,https://tiki.vn/quan-boi-lung-nam-881-30-100kg-p125784347.html?spid=125784411,10,,,doboi
