title,price,link_item,index,discount,sales,category
"Áo Sweater Local Brand Nam/Nữ, Nỉ Bông cao cấp dày dặn, Form dáng phù hợp mọi lứa tuổi",259.000₫,https://tiki.vn/ao-sweater-local-brand-nam-nu-ni-bong-cao-cap-day-dan-form-dang-phu-hop-moi-lua-tuoi-p216009985.html?spid=216010011,1,,,aokhoacnu
"Áo len nữ, áo len form rộng hoạ tiết kẻ ngang trẻ trung Al09",157.000₫,https://tiki.vn/ao-len-nu-ao-len-form-rong-hoa-tiet-ke-ngang-tre-trung-al09-p133888957.html?spid=133888975,2,-5%,Đã bán 1,aokhoacnu
Áo Khoác Dạ cao cấp nữ siêu xinh,399.000₫,https://tiki.vn/ao-khoac-da-cao-cap-nu-sieu-xinh-p209129499.html?spid=209129503,3,-3%,,aokhoacnu
ÁO KHOÁC BOMBER CARDIGAN NAM NỮ IN DINNER,101.000,https://tiki.vn/ao-khoac-bomber-cardigan-nam-nu-in-dinner-p151576220.html?spid=155610422,4,,,aokhoacnu
,,https://tiki.vn/ao-hoodie-born-pink-blackpink-chat-ni-in-2-mat-tay-dai-kpop-cryaotic10-p210438723.html?spid=270068657,5,,,aokhoacnu
ÁO KHOÁC DẠ NỮ KN29,650.000₫,https://tiki.vn/ao-khoac-da-nu-kn29-p14994296.html?spid=14994298,6,,Đã bán 1,aokhoacnu
Áo vest nữ công sở vàng dài tay một lớp nhã nhặn,299.000₫,https://tiki.vn/ao-vest-nu-cong-so-vang-dai-tay-mot-lop-nha-nhan-p72549143.html?spid=72549145,7,,Đã bán 11,aokhoacnu
"Áo cardigan len nữ phối khuy phong cách trẻ, chất len mềm mịn thời trang thu đông",219.000₫,https://tiki.vn/ao-cardigan-len-nu-phoi-khuy-phong-cach-tre-chat-len-mem-min-thoi-trang-thu-dong-p126010576.html?spid=126010594,8,,Đã bán 4,aokhoacnu
Áo Khoác Nữ Unisex Hoodie Nỉ ENTINIAIS Kéo Khóa Nhiều Màu Form Rộng Ulzzang,102.000,https://tiki.vn/ao-khoac-nu-unisex-hoodie-ni-entiniais-keo-khoa-nhieu-mau-form-rong-ulzzang-p193366067.html?spid=193366071,9,,,aokhoacnu
,,https://tiki.vn/ao-khoac-nu-ao-phao-nu-lot-long-rut-eo-hang-quang-chau-cao-cap-sieu-am-guu-ak01-p120526892.html?spid=153645712,10,,,aokhoacnu
Áo Khoác Ren Form Dài,149.000₫,https://tiki.vn/ao-khoac-ren-form-dai-p37942342.html?spid=37942346,11,,Đã bán 48,aokhoacnu
"Áo gió lót lông cừu TUYỆT ĐẸP siêu nhẹ, siêu mềm, siêu ấm MẶC CỰC XINH",119.000,https://tiki.vn/ao-gio-lot-long-cuu-tuyet-dep-sieu-nhe-sieu-mem-sieu-am-mac-cuc-xinh-p73221035.html?spid=137551204,12,,,aokhoacnu
,,https://tiki.vn/ao-blazer-nu-kieu-ngan-cap-roi-co-ve-chat-tuytsi-cao-cap-mem-min-22ehs2015st-p253184610.html?spid=253184612,13,,,aokhoacnu
Áo khoác vest blazer nữ phong cách hàn quốc 2 túi dán chất cao cấp,132.000₫,https://tiki.vn/ao-khoac-vest-blazer-nu-phong-cach-han-quoc-2-tui-dan-chat-cao-cap-p108502130.html?spid=107059943,14,,Đã bán 61,aokhoacnu
Áo khoác dạ nữ trẻ trung form rộng Haint boutique AH34,236.550₫,https://tiki.vn/ao-khoac-da-nu-tre-trung-form-rong-haint-boutique-ah34-p73498431.html?spid=73498437,15,,Đã bán 2,aokhoacnu
"Áo khoác ren nữ, áo kiểu nữ trung niên cho bà cho mẹ, áo khoác ngoài kiểu dáng sang trọng",249.000₫,https://tiki.vn/ao-khoac-ren-nu-ao-kieu-nu-trung-nien-cho-ba-cho-me-ao-khoac-ngoai-kieu-dang-sang-trong-p246163129.html?spid=246163135,16,,Đã bán 3,aokhoacnu
Áo khoác Cardigan chất len mỏng phong cách Ulzzang Hàn Quốc nhẹ nhàng gợi cảm đi chơi du lịch,200.000,https://tiki.vn/ao-khoac-cardigan-chat-len-mong-phong-cach-ulzzang-han-quoc-nhe-nhang-goi-cam-di-choi-du-lich-p151824842.html?spid=151824850,17,,,aokhoacnu
,,https://tiki.vn/sweater-ni-da-ca-xanh-reu-va-quan-kaki-ong-suong-xanh-reu-p134667974.html?spid=134667994,18,,,aokhoacnu
ÁO LEN BA LỖ GÂN SỌC SANG CHẢNH CHO NỮ,178.000₫,https://tiki.vn/ao-len-ba-lo-gan-soc-sang-chanh-cho-nu-p139147311.html?spid=139147328,19,,,aokhoacnu
Áo Khoác Dáng Dài Kiểu Áo Khoác KAKI Măng Tô Cách Điệu GOTI 3108,349.000₫,https://tiki.vn/ao-khoac-dang-dai-kieu-ao-khoac-kaki-mang-to-cach-dieu-goti-3108-p37543974.html?spid=37543988,20,,Đã bán 11,aokhoacnu
Áo khoác Blazer/Vest dáng oversize hàng cao cấp phong cách ulzzang + tặng thắt đai,534.000₫,https://tiki.vn/ao-khoac-blazer-vest-dang-oversize-hang-cao-cap-phong-cach-ulzzang-tang-that-dai-p74212144.html?spid=74212145,21,,,aokhoacnu
Áo khoác phao mũ lông,450.000₫,https://tiki.vn/ao-khoac-phao-mu-long-p114559405.html?spid=122072210,22,,,aokhoacnu
Áo len nữ form rộng cổ tim thu đông - Xám,99.000₫,https://tiki.vn/ao-len-nu-form-rong-co-tim-thu-dong-lahstore-xam-p122092173.html?spid=122092174,23,,Đã bán 3,aokhoacnu
"Áo khoác phao nam trần bông ấm áp cho mùa đông , cực chất , khắc thời tiết lạnh giá KME",150.000₫,https://tiki.vn/ao-khoac-phao-nam-tran-bong-am-ap-cho-mua-dong-cuc-chat-khac-thoi-tiet-lanh-gia-kme-p165891039.html?spid=165891084,24,,,aokhoacnu
Áo Blazer Croptop Nữ Dáng Ngắn Mùa Hè Form Chuẩn Dễ Phối Đồ Áo Khoác Vest Croptop 2 Khuy Chất Tuyết Mưa Cao Cấp Hàn Quốc,169.000,https://tiki.vn/ao-blazer-croptop-nu-dang-ngan-mua-he-form-chuan-de-phoi-do-ao-khoac-vest-croptop-2-khuy-chat-tuyet-mua-cao-cap-han-quoc-p241778024.html?spid=241778044,25,,,aokhoacnu
,,https://tiki.vn/ao-cardigan-len-mong-nu-phoi-mu-tre-trung-lahstore-phu-hop-mua-se-lanh-p199549934.html?spid=199549946,26,,,aokhoacnu
Hàng Sẵn_ Áo khoác len cardigan nhỏ ngọt ngào Hadu shop,225.000₫,https://tiki.vn/hang-san_-ao-khoac-len-cardigan-nho-ngot-ngao-hadu-shop-p205820757.html?spid=205820765,27,,Đã bán 3,aokhoacnu
SET áo chống nắng Cardina Nhật Bản,199.000₫,https://tiki.vn/set-ao-chong-nang-cardina-nhat-ban-p82502518.html?spid=82502528,28,,Đã bán 4,aokhoacnu
"Áo len nữ dày dặn tay phối dạ kẻ trẻ trung ArcticHunter, thời trang thu đông 2022",230.000₫,https://tiki.vn/ao-len-nu-day-dan-tay-phoi-da-ke-tre-trung-arctichunter-thoi-trang-thu-dong-2022-p198481168.html?spid=198481170,29,,,aokhoacnu
◄❈✿ÁO LÔNG HOODIE NAM NỮ UNISEX CỪU MƯỢT MÀ SIÊU ẤM PHONG CÁCH ULZZANG HÀN QUỐC,300.000,https://tiki.vn/ao-long-hoodie-nam-nu-unisex-cuu-muot-ma-sieu-am-phong-cach-ulzzang-han-quoc-p158734153.html?spid=204237187,30,,,aokhoacnu
,,https://tiki.vn/ao-khoac-nu-ao-khoac-nam-ao-khoac-cap-doi-ao-khoac-ao-hoodie-nam-nu-mac-in-chu-chili-club-vai-ni-ngoai-p72512842.html?spid=102110439,31,,,aokhoacnu
Áo Khoác Dạ cao cấp nữ hai màu siêu xinh,399.000₫,https://tiki.vn/ao-khoac-da-cao-cap-nu-sieu-xinh-p209129463.html?spid=213704234,32,,,aokhoacnu
Áo phao siêu nhẹ dáng dài,1.150.000₫,https://tiki.vn/ao-phao-sieu-nhe-dang-dai-p14814415.html?spid=14867819,33,,Đã bán 2,aokhoacnu
"Áo khoác voan mỏng, nhẹ, dáng dài rộng đơn giản choàng chống nắng, đi biển siêu hot",250.000₫,https://tiki.vn/ao-khoac-voan-mong-nhe-dang-dai-rong-don-gian-choang-chong-nang-di-bien-sieu-hot-p192178433.html?spid=192178435,34,,Đã bán 4,aokhoacnu
Áo KHOÁC Hoodie Cặp đôi JPOFFE Ulzzang Unisex,105.000,https://tiki.vn/ao-khoac-hoodie-cap-doi-jpoffe-ulzzang-unisex-fammilyshop-p193367487.html?spid=193367490,35,,,aokhoacnu
,,https://tiki.vn/ao-khoac-du-bong-chay-angel-land-nam-nu-cap-chat-du-gio-2-lop-bomber-jackets-thoitrangteenthienha-p106987636.html?spid=141939410,36,,,aokhoacnu
"Áo khoác dù Dù Phối Màu 2 lớp lên dáng siêu xịn xò và thời trang, áo khoác bomber bòng chày thể thao, Áo khoác dù mùa hè 2 lớp tay áo phối màu độc đáo",105.000₫,https://tiki.vn/ao-khoac-du-du-phoi-mau-2-lop-len-dang-sieu-xin-xo-va-thoi-trang-ao-khoac-bomber-bong-chay-the-thao-ao-khoac-du-mua-he-2-lop-tay-ao-phoi-mau-doc-dao-p262525262.html?spid=262525268,37,,Đã bán 1,aokhoacnu
Áo Khoác Hoodie Nỉ Chữ Có Nón Mũ 2 Lớp - Kiểu Có Khóa Kéo Zip Nam Nữ Cặp Đôi - Chống Nắng - Thu Đông,96.000₫,https://tiki.vn/ao-khoac-hoodie-ni-chu-co-non-mu-2-lop-kieu-co-khoa-keo-zip-nam-nu-cap-doi-chong-nang-thu-dong-p207294967.html?spid=212264021,38,,,aokhoacnu
Áo Cardigan len nữ cổ tim phối khuy phong cách Nhật Bản,250.000₫,https://tiki.vn/ao-cardigan-len-nu-co-tim-phoi-khuy-phong-cach-nhat-ban-lahstore-p125937769.html?spid=125937785,39,,Đã bán 11,aokhoacnu
áo khoác bomber thu đông cho nam nữ unisex chất nhung tăm phối tay cá tính,164.000,https://tiki.vn/ao-khoac-bomber-thu-dong-cho-nam-nu-unisex-chat-nhung-tam-phoi-tay-ca-tinh-p148550827.html?spid=154157809,40,,,aokhoacnu
