title,price,link_item,index,discount,sales,category
Đồ bơi áo tắm bé gái BIKINI PASSPORT kiểu hai mảnh váy áo có tay phối màu - màu Đỏ - KD060_RD,330.000₫,https://tiki.vn/do-boi-ao-tam-be-gai-bikini-passport-kieu-hai-manh-vay-ao-co-tay-phoi-mau-mau-do-kd060_rd-p235880038.html?spid=235880049,1,-29%,,doboinu
"Đồ bơi nữ cao cấp dạng Một mảnh áo lệch vai, quai áo kép cách điệu - màu Xanh Navy - VS184_NV",820.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-ao-lech-vai-quai-ao-kep-cach-dieu-mau-xanh-navy-vs184_nv-p235879860.html?spid=235879869,2,-4%,,doboinu
Đồ bơi nữ cao cấp dạng một mảnh phối từng mảnh cách điệu - Hồng - VS185_PK,760.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-phoi-tung-manh-cach-dieu-hong-vs185_pk-p201150977.html?spid=201150983,3,-20%,,doboinu
Đồ bơi nữ cao cấp dạng một mảnh lệch vai cutout & phối váy cover cách điệu - Hồng - VS175_BR,890.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-lech-vai-cutout-phoi-vay-cover-cach-dieu-hong-vs175_br-p201148111.html?spid=201148115,4,-9%,,doboinu
Đồ bơi 1 mảnh gọng nâng ngực họa tiết hoa xinh,280.000₫,https://tiki.vn/do-boi-1-manh-gong-nang-nguc-hoa-tiet-hoa-xinh-p87437228.html?spid=87437231,5,-16%,Đã bán 1,doboinu
Bikini vàng sexy đi chơi biển,280.000₫,https://tiki.vn/bikini-vang-sexy-di-choi-bien-p87437257.html?spid=87437262,6,-16%,,doboinu
Bikini 2 mảnh đen cạp cao tôn body,280.000₫,https://tiki.vn/bikini-2-manh-den-cap-cao-ton-body-p87437968.html?spid=87437972,7,-29%,,doboinu
"Bikini 2 mảnh, đồ bơi nữ chất bơi lycra lạnh cao cấp, dáng áo croptop bèo, quần váy cách điệu nữ tính, sẵn gọng đệm | KT014nu",350.000₫,https://tiki.vn/bikini-2-manh-do-boi-nu-chat-boi-lycra-lanh-cao-cap-dang-ao-croptop-beo-quan-vay-cach-dieu-nu-tinh-san-gong-dem-kt014nu-p54840506.html?spid=54840512,8,-5%,Đã bán 3,doboinu
BIKINI Đi Biển 2 Mảnh Dáng Chuẩn Áo Sẵn Mút Lót Ngực Chất Liệu Vải Dày Dặn Cao Cấp Đủ Size M-L-XL,125.000₫,https://tiki.vn/bikini-di-bien-2-manh-dang-chuan-ao-san-mut-lot-nguc-chat-lieu-vai-day-dan-cao-cap-du-size-m-l-xl-p192155070.html?spid=192155073,9,,,doboinu
"Bộ đồ bơi 2 món, bộ bikini siêu đẹp chất đẹp siêu hót",236.250₫,https://tiki.vn/bo-do-boi-2-mon-bo-bikini-sieu-dep-chat-dep-sieu-hot-p170444470.html?spid=170444474,10,,,doboinu
