title,price,link_item,index,discount,sales,category
Ấm Siêu Tốc 2 Lớp Cách Nhiệt Thái Lan 2.5L,73.741₫,https://tiki.vn/am-sieu-toc-2-lop-cach-nhiet-thai-lan-2-5l-p113045096.html?spid=191131886,1,-25%,Đã bán 5,dodungnhabep
Máy Pha Cà Phê Espresso Zamboo ZB-68CF (3.5Bar) - Hàng Chính Hãng,867.000₫,https://tiki.vn/may-pha-ca-phe-espresso-zamboo-zb-68cf-3-5bar-hang-chinh-hang-p124475724.html?spid=186523992,2,-25%,Đã bán 114,dodungnhabep
Linh Kiện Máy Xay Sinh Tố Philips HR2221 HR2222 HR2223 HR2221/00 700W Cối Nhựa - Hàng Chính Hãng,99.000₫,https://tiki.vn/may-xay-sinh-to-philips-hr2221-hr2222-hr2223-hr2221-00-700w-coi-nhua-hang-chinh-hang-p262503850.html?spid=262503882,3,-5%,Đã bán 19,dodungnhabep
Nồi Cơm Điện Nắp Rời Sharp KSH-D11 (1.1L) - Màu Ngẫu Nhiên - Hàng nhập khẩu Thái Lan,565.000₫,https://tiki.vn/noi-com-dien-nap-roi-sharp-ksh-d11-1-1l-mau-ngau-nhien-hang-nhap-khau-thai-lan-p124039311.html?spid=124039312,4,-25%,Đã bán 44,dodungnhabep
,,https://tiki.vn/bep-gas-hong-ngoai-soho-899hg-hang-chinh-hang-p367565.html?spid=1097458,5,,,dodungnhabep
Nồi cơm điện TEKKIN TI-S30A 0.8L dành cho 1 hoặc 2 người ăn - Hàng chính hãng bảo hành 12 tháng,299.000₫,https://tiki.vn/noi-com-dien-tekkin-ti-s30a-0-8l-danh-cho-1-hoac-2-nguoi-an-hang-chinh-hang-bao-hanh-12-thang-p271168160.html?spid=271168163,6,-47%,Đã bán 165,dodungnhabep
"Nồi cơm điện Electrolux 1.8L E4RC1-320P, Thiết kế đa năng, dung tích lớn [ Hàng chính hãng]",669.000₫,https://tiki.vn/noi-com-dien-electrolux-1-8l-e4rc1-320p-thiet-ke-da-nang-dung-tich-lon-hang-chinh-hang-p209899029.html?spid=209899030,7,-33%,Đã bán 11,dodungnhabep
"Máy sấy thực phẩm gia đình 5 khay Septree DBC-05A hẹn giờ sấy khô tự ngắt, hàng chính hãng",1.795.000₫,https://tiki.vn/may-say-thuc-pham-gia-dinh-5-khay-septree-dbc-05a-hen-gio-say-kho-tu-ngat-hang-chinh-hang-p95164190.html?spid=95164191,8,,Đã bán 57,dodungnhabep
Máy pha cà phê tự động Bear CF-B02V1 - Hàng chính hãng,1.200.000₫,https://tiki.vn/may-pha-ca-phe-tu-dong-bear-cf-b02v1-hang-chinh-hang-p201622469.html?spid=263202981,9,-23%,Đã bán 11,dodungnhabep
,,https://tiki.vn/noi-chien-khong-dau-2good-vortex-s-20-loi-inox-304ba-bong-14-5l-hang-chinh-hang-p98187738.html?spid=261799953,10,-46%,,dodungnhabep
Nồi Chiên Không Dầu Hafele AF-602A 11 Lít – Hàng Chính Hãng,2.990.000₫,https://tiki.vn/noi-chien-khong-dau-hafele-af-602a-11-lit-hang-chinh-hang-p76366605.html?spid=91635181,11,,Đã bán 222,dodungnhabep
