title,price,link_item,index,discount,sales,category
Máy hút ẩm không khí NEW WIDETECH 12L điều khiển bằng Xiaomi Mijia APP Hàng chính hãng,3.623.000₫,https://tiki.vn/may-hut-am-khong-khi-new-widetech-12l-dieu-khien-bang-xiaomi-mijia-app-hang-chinh-hang-p102392047.html?spid=102392048,1,-10%,Đã bán 41,thietbij
Máy sấy tóc Philips BHD510/00 - Hàng Chính Hãng,1.019.000₫,https://tiki.vn/may-say-toc-philips-bhd510-00-hang-chinh-hang-p126979953.html?spid=143714296,2,-13%,Đã bán 30,thietbij
Máy Duỗi Tạo Kiểu Tóc Panasonic EH-HV11-K645 - Màu Đen - Hàng Chính Hãng,656.100₫,https://tiki.vn/may-duoi-tao-kieu-toc-panasonic-eh-hv11-k645-mau-den-hang-chinh-hang-p109850525.html?spid=109850530,3,-5%,Đã bán 12,thietbij
Combo 3 Lõi Lọc Nước Thô 1-2-3 ( PP 5 MCR - CTO ANTHRACITE - CERAMIC) Hàng Chính Hãng,170.000₫,https://tiki.vn/combo-3-loi-loc-nuoc-tho-1-2-3-pp-5-mcr-cto-anthracite-ceramic-hang-chinh-hang-p125535837.html?spid=125535838,4,-44%,Đã bán 15,thietbij
,,https://tiki.vn/ban-ui-hoi-nuoc-cam-tay-xiaomi-mjgtj01lf-khu-trung-hieu-qua-ban-la-nhanh-de-dang-cam-nam-mang-di-du-lich-hang-nhap-khau-p271219314.html?spid=271219315,5,-33%,,thietbij
Quạt Sạc Tích Điện Mini Gấp Gọn Cầm Tay Comet CRF0904 3W Pin lithium-ion 3.7V 1200mAh Nhỏ Gọn Sạc USB Tiện Lợi,216.700₫,https://tiki.vn/quat-sac-tich-dien-mini-gap-gon-cam-tay-comet-crf0904-3w-pin-lithium-ion-3-7v-1200mah-nho-gon-sac-usb-tien-loi-hang-chinh-hang-p215537434.html?spid=215537436,6,-41%,Đã bán 7,thietbij
Bộ lọc nước vòi sen Philips AWP1775 - Hàng Chính Hãng,1.390.000₫,https://tiki.vn/bo-loc-nuoc-voi-sen-philips-awp1775-hang-chinh-hang-p188189695.html?spid=188189697,7,-8%,Đã bán 24,thietbij
Lõi Lọc Diệt Khuẩn Cho Máy Lọc Không Khí Levoit Core 400S RF - Hàng Chính Hãng,830.300₫,https://tiki.vn/loi-loc-diet-khuan-cho-may-loc-khong-khi-levoit-core-400s-rf-hang-chinh-hang-p206795288.html?spid=206795289,8,-29%,Đã bán 3,thietbij
Máy Hút Bụi Giường Nệm JIMMY BX6 15KPa Công Suất Lớn 600W 3 Chê Độ Cảm Biến Phát Hiện Mạt Bụi Tia UV Sóng Âm Diệt Bọ Ve - Hàng Chính Hãng - Bảo Hành 12 Tháng,2.399.000₫,https://tiki.vn/may-hut-bui-giuong-nem-jimmy-bx6-15kpa-cong-suat-lon-600w-3-che-do-cam-bien-phat-hien-mat-bui-tia-uv-song-am-diet-bo-ve-hang-chinh-hang-p193980615.html?spid=193980616,9,-32%,Đã bán 22,thietbij
,,https://tiki.vn/may-suoi-gom-mini-cong-suat-lon-1000w-cho-phong-ngu-phong-lam-viec-khong-gay-mui-hoat-dong-em-ai-voi-3-che-do-suoi-hang-chinh-hang-kunbe-p136979055.html?spid=136979059,10,-7%,,thietbij
