title,price,link_item,index,discount,sales,brand
"Điện thoại Masstel Play 10 4G Thiết kế hầm hố,Khung viền kim loại - Hàng chính hãng",569.000₫,https://tiki.vn/dien-thoai-masstel-play-10-4g-thiet-ke-ham-ho-khung-vien-kim-loai-hang-chinh-hang-p212261734.html?spid=212261736,1,-29%,Đã bán 25,Masstel
"Điện thoại Masstel IZI 50 4G , Pin 1700 mah - Hàng chính hãng",431.000₫,https://tiki.vn/dien-thoai-masstel-izi-50-4g-pin-1700-mah-hang-chinh-hang-p167465856.html?spid=167465859,2,-21%,Đã bán 14,Masstel
Điện thoại Masstel FAMI 60 4G Pin 2000 mah - Hàng chính hãng,636.000₫,https://tiki.vn/dien-thoai-masstel-fami-60-4g-pin-2000-mah-hang-chinh-hang-p167466044.html?spid=167466046,3,-15%,Đã bán 51,Masstel
Điện thoại Masstel izi 56 4G (pin trâu-loa chữ to rõ) - Hàng Chính Hãng,687.000₫,https://tiki.vn/dien-thoai-masstel-izi-56-4g-pin-trau-loa-chu-to-ro-hang-chinh-hang-p251772653.html?spid=261810495,4,-23%,Đã bán 1,Masstel
Điện thoại Masstel Izi 20 - Hàng chính hãng,512.000₫,https://tiki.vn/dien-thoai-masstel-izi-20-hang-chinh-hang-p224186586.html?spid=261810475,5,-26%,Đã bán 1,Masstel
Điện thoại Masstel Lux 10 4G - Sang trọng - Gọi HD Call - Hàng chính hãng,538.000₫,https://tiki.vn/dien-thoai-masstel-lux-10-4g-sang-trong-goi-hd-call-hang-chinh-hang-p197960169.html?spid=197960191,6,-14%,Đã bán 15,Masstel
Điện thoại Masstel izi 26 4G - Gọi HD Call - Hàng chính hãng,479.000₫,https://tiki.vn/dien-thoai-masstel-izi-26-4g-goi-hd-call-hang-chinh-hang-p197654695.html?spid=197654698,7,-27%,Đã bán 13,Masstel
Điện thoại Masstel IZI 10 4G - Hàng chính hãng,429.000₫,https://tiki.vn/dien-thoai-masstel-izi-10-4g-hang-chinh-hang-p167465209.html?spid=167465308,8,-13%,Đã bán 27,Masstel
Điện thoại Masstel Fami 65 4G - Tặng dock sạc - Gọi HD Call - Hàng chính hãng,655.000₫,https://tiki.vn/dien-thoai-masstel-fami-65-4g-tang-dock-sac-goi-hd-call-hang-chinh-hang-p197666071.html?spid=197666077,9,-10%,Đã bán 16,Masstel
"Điện thoại Masstel IZI 20 4G , Pin 1700 mAh - Hàng chính hãng",480.000₫,https://tiki.vn/dien-thoai-masstel-izi-20-4g-pin-1700-mah-hang-chinh-hang-p167465704.html?spid=167465706,10,-10%,Đã bán 30,Masstel
