,title,price,link_item,discount,sales,revenue,category
0,iPhone 15 Pro Max,63980000,https://tiki.vn/apple-iphone-15-pro-max-p271973414.html?spid=271973470,-4%,691.0,44210180000.0,smartphone
1,Apple iPhone 13,30980000,https://tiki.vn/apple-iphone-13-hang-chinh-hang-p184059211.html?spid=123547399,-38%,5000.0,154900000000.0,smartphone
2,iPhone 15 Pro 128GB Titan Tự Nhiên,53980000,https://tiki.vn/apple-iphone-15-pro-p271972435.html?spid=271972439,-4%,242.0,13063160000.0,smartphone
3,iPhone 15,41980000,https://tiki.vn/apple-iphone-15-p271966786.html?spid=271966796,-2%,303.0,12719940000.0,smartphone
4,iPhone 15 Plus,47980000,https://tiki.vn/apple-iphone-15-plus-p271967379.html?spid=271967576,-8%,133.0,6381340000.0,smartphone
5,Apple iPhone 11,23780000,https://tiki.vn/apple-iphone-11-p184036446.html?spid=32033732,-26%,5000.0,118900000000.0,smartphone
6,Apple iPhone 14,36900000,https://tiki.vn/apple-iphone-14-p197214029.html?spid=197214033,-26%,522.0,19261800000.0,smartphone
7,Apple iPhone 14 Plus,41900000,https://tiki.vn/apple-iphone-14-plus-p197214015.html?spid=197214019,-25%,366.0,15335400000.0,smartphone
8,Apple iPhone 12,25300000,https://tiki.vn/apple-iphone-12-hang-chinh-hang-p123345348.html?spid=97736366,-26%,2800.0,70840000000.0,smartphone
9,"Điện thoại Bphone A60 (Ram 6Gb,Rom 128 Gb,màn hình đục lổ FHD 6.7inch , pin 5.000mAh ) - Hàng chính hãng",12980000,https://tiki.vn/dien-thoai-bphone-a60-ram-6gb-rom-128-gb-man-hinh-duc-lo-fhd-6-7inch-pin-5-000mah-p151463645.html?spid=151463646,,1.0,12980000.0,smartphone
10,Điện Thoại Bphone 3 (Trắng) - Hàng Chính Hãng,13980000,https://tiki.vn/dien-thoai-bphone-3-hang-chinh-hang-p5868813.html?spid=28298790,,5.0,69900000.0,smartphone
