title,price,link_item,index,discount,sales,brand
"Sữa bột UC2 Platinum Pedia + 800g (giúp bé cải thiện tình trạng biếng ăn, dành cho trẻ từ 1 tuổi trở lên)",466.000₫,https://tiki.vn/sua-bot-uc2-platinum-pedia-800g-giup-be-cai-thien-tinh-trang-bieng-an-danh-cho-tre-tu-1-tuoi-tro-len-p125410034.html?spid=125410035,1,,Đã bán 23,UC2
"Sữa bột UC2 Platinum Optimum 0+ 800g - Bổ sung bột yến sào và sữa non 24h (giúp bé phát triển toàn diện, dành cho trẻ từ 0-12 tháng tuổi)",478.000₫,https://tiki.vn/sua-bot-uc2-platinum-optimum-0-800g-bo-sung-bot-yen-sao-va-sua-non-24h-giup-be-phat-trien-toan-dien-danh-cho-tre-tu-0-12-thang-tuoi-p174849319.html?spid=174849320,2,,Đã bán 51,UC2
"Sữa bột UC2 Platinum Optimum 1+ 800g - Bổ sung bột yến sào và sữa non 24h (giúp bé phát triển toàn diện, dành cho trẻ từ 1 tuổi trở lên)",466.000₫,https://tiki.vn/sua-bot-uc2-platinum-optimum-1-800g-bo-sung-bot-yen-sao-va-sua-non-24h-giup-be-phat-trien-toan-dien-danh-cho-tre-tu-1-tuoi-tro-len-p174850300.html?spid=174850301,3,,Đã bán 1,UC2
Sữa bột UC2 Platinum Grow Plus 1+ lon 800g (Cho Trẻ Từ 1 Tuổi Trở Lên),350.000₫,https://tiki.vn/sua-bot-uc2-platinum-grow-plus-1-lon-800g-cho-tre-tu-1-tuoi-tro-len-p273266691.html?spid=273266692,4,,,UC2
Sữa công thức UC2 Platinum Grow+ lon 800g,335.000₫,https://tiki.vn/sua-cong-thuc-uc2-platinum-grow-lon-800g-p273266760.html?spid=273266761,5,,,UC2
Sữa bột UC2 Optimum 0+ lon 800g - bổ sung sữa non và yến sào Dành cho trẻ 0-12 tháng tuổi,355.000₫,https://tiki.vn/sua-bot-uc2-optimum-0-lon-800g-bo-sung-sua-non-va-yen-sao-danh-cho-tre-0-12-thang-tuoi-p273266804.html?spid=273266805,6,,,UC2
Sữa bột UC2 Platinum Newborn 380g (dành cho trẻ từ 0-12 tháng tuổi),256.000₫,https://tiki.vn/sua-bot-uc2-platinum-newborn-380g-danh-cho-tre-tu-0-12-thang-tuoi-p106661911.html?spid=106661912,7,,,UC2
Sữa bột UC2 Platinum Colos 24h 1+ loại 850g,355.000₫,https://tiki.vn/sua-bot-uc2-platinum-colos-24h-1-loai-850g-p273266727.html?spid=273266728,8,,,UC2
Sữa bột UC2 Platinum Newborn 850g,516.000₫,https://tiki.vn/sua-bot-uc2-platinum-newborn-850g-p51466542.html?spid=51466543,9,,Đã bán 20,UC2
Sữa bột UC2 GROW PLUS 0+ lon 800G (dành cho trẻ suy dinh dưỡng),385.000₫,https://tiki.vn/sua-bot-uc2-grow-plus-0-lon-800g-danh-cho-tre-suy-dinh-duong-p273266800.html?spid=273266801,10,,,UC2
