title,price,link_item,index,discount,sales
Combo 6 gói Băng vệ sinh Diana Siêu thấm siêu mỏng cánh 8 miếng,119.000₫,https://tiki.vn/combo-6-goi-bang-ve-sinh-diana-sieu-tham-sieu-mong-canh-8-mieng-p36678762.html?spid=136736456,1,-10%,Đã bán 467
Kem đánh Răng Crest 3D White - Hàng nhập khẩu Từ Mỹ,145.000₫,https://tiki.vn/kem-danh-rang-crest-3d-white-hang-nhap-khau-tu-my-p20333028.html?spid=262407547,2,-50%,Đã bán 406
Combo 20 gói Băng Vệ Sinh Quần Peppy Shana Siêu Thấm Free Size (40 miếng),280.000₫,https://tiki.vn/combo-20-goi-bang-ve-sinh-quan-shana-2-trong-1-tien-loi-p95939352.html?spid=95939443,3,,Đã bán 103
Dung Dịch Vệ Sinh SANI Gel trầu Không 100ml Làm Hồng - Ngừa Nấm Ngứa Phụ Khoa An Toàn Bà Bầu Và Sau Sinh,15.000₫,https://tiki.vn/dung-dich-ve-sinh-phu-nu-sani-gel-trau-khong-100ml-lam-hong-giam-nam-ngua-phu-khoa-an-toan-ba-bau-va-sau-sinh-p165683964.html?spid=187606869,4,-11%,Đã bán 39
,,https://tiki.vn/xit-thom-mieng-spray-kiss-nerman-vi-keo-hoa-qua-bac-ha-the-mat-cho-nam-nu-chai-10ml-p271088459.html?spid=271088465,5,-12%,
"Combo 6 Băng vệ sinh thảo dược Doctor Care, BVS ban ngày 24cm siêu khô thoáng cả ngày dài",177.000₫,https://tiki.vn/combo-6-bang-ve-sinh-thao-duoc-doctor-care-bvs-ban-ngay-24cm-sieu-kho-thoang-ca-ngay-dai-p86539325.html?spid=86539326,6,-20%,Đã bán 798
"Hộp 3 Đôi Nút Bịt Tai Chống Ồn Mack's Safe Sound Siêu Mềm, Siêu Chống Ồn #903",79.000₫,https://tiki.vn/hop-3-doi-nut-bit-tai-chong-on-mack-s-safe-sound-sieu-mem-sieu-chong-on-903-p1662437.html?spid=1662439,7,,Đã bán 1.8k
Bộ 4 Bàn Chải Đánh Răng Trisa Fresh - Vừa,149.000₫,https://tiki.vn/bo-4-ban-chai-danh-rang-trisa-fresh-vua-p78499264.html?spid=78499265,8,-30%,Đã bán 212
Combo 2 Tuýp Kem Đánh Răng Lô Hội Forever Bright Toothgel 130g/tuýp,305.000₫,https://tiki.vn/combo-2-tuyp-kem-danh-rang-lo-hoi-forever-bright-toothgel-130g-tuyp-p3705851.html?spid=3705853,9,-14%,Đã bán 553
,,https://tiki.vn/thung-24-bao-khan-uot-con-let-green-diet-khuan-90-mieng-bao-p247320140.html?spid=247320141,10,,
Dung Dịch Vệ Sinh Nam Dạng Bọt Oriss Men - 120ml/chai,119.000₫,https://tiki.vn/dung-dich-ve-sinh-nam-dang-bot-oriss-men-120ml-chai-p270108021.html?spid=270108024,11,-45%,Đã bán 25
Bộ 3 Kem đánh răng P/S Than Hoạt Tính 230g,116.000₫,https://tiki.vn/bo-3-kem-danh-rang-p-s-than-hoat-tinh-230g-p108830964.html?spid=108830967,12,-32%,Đã bán 513
,,https://tiki.vn/ban-chai-danh-rang-dien-oral-b-pro-500-d16-513-hang-chinh-hang-100-p204897953.html?spid=204897954,13,-17%,
"Bàn chải đánh răng điện cho bé LocknLock ENR226WHT-5V, 1.5W - Màu trắng",599.000₫,https://tiki.vn/ban-chai-danh-rang-dien-cho-be-locknlock-enr226wht-5v-1-5w-mau-trang-p192339772.html?spid=192339773,14,,Đã bán 277
Đầu thay thế bàn chải ORAL-B Brush Head,79.000₫,https://tiki.vn/dau-thay-the-ban-chai-oral-b-brush-head-p187099028.html?spid=187099036,15,-12%,Đã bán 160
Đầu bàn chải điện cho bé LocknLock ENR226WHT-RB- 4pcs- Màu Trắng,129.000₫,https://tiki.vn/dau-ban-chai-dien-cho-be-locknlock-enr226wht-rb-4pcs-mau-trang-p192339768.html?spid=192339769,16,-33%,Đã bán 121
Bàn Chải Điện Halio Sonic Whitening Toothbrush Pro,999.000₫,https://tiki.vn/ban-chai-dien-halio-sonic-whitening-toothbrush-pro-p201816436.html?spid=160175198,17,-30%,Đã bán 235
,,https://tiki.vn/dung-dich-ve-sinh-phu-nu-lactacyd-soft-silky-duong-am-250ml-p89794660.html?spid=89794661,18,,
Bộ Kem + Bàn Chải Đánh Răng Colgate Maxfresh Trà Xanh 230G,36.100₫,https://tiki.vn/bo-kem-ban-chai-danh-rang-colgate-maxfresh-tra-xanh-230g-p272619693.html?spid=272619694,19,-32%,Đã bán 16
"Bột Baking Soda Arm & Hammer Đa Công Dụng, Làm Bánh, Làm Trắng Răng Hiệu Quả, Tẩy Rửa Sạch Nhà Cửa, Giày Dép, Khử Mùi Tanh (454gram/hộp) - Nhập Khẩu Từ Mỹ",33.000₫,https://tiki.vn/bot-baking-soda-arm-hammer-da-cong-dung-lam-banh-lam-trang-rang-hieu-qua-tay-rua-sach-nha-cua-giay-dep-khu-mui-tanh-454gram-hop-nhap-khau-tu-my-p2036201.html?spid=167156771,20,-33%,Đã bán 197
"Combo 3 Chai Nước Muối Sinh Lý Súc Miệng Cửu Long - Natri Clorid 0,9",39.800₫,https://tiki.vn/combo-3-chai-nuo-c-muo-i-sinh-ly-su-c-mie-ng-cu-u-long-natri-clorid-0-9-p136081708.html?spid=136081710,21,-50%,Đã bán 431
"Set Bộ 4 Đầu Bàn Chải Đánh Răng Điện Minh House Cho Máy Oral B, Lông Mềm, nhiều mã",25.000₫,https://tiki.vn/set-bo-4-dau-ban-chai-danh-rang-dien-minh-house-cho-may-oral-b-braun-long-mem-nhieu-ma-p210415437.html?spid=210415439,22,,Đã bán 138
Bộ 4 Bàn Chải Đánh Răng Trisa Fresh,149.000₫,https://tiki.vn/bo-4-ban-chai-danh-rang-trisa-fresh-p6761497.html?spid=6761501,23,-4%,Đã bán 2.1k
Gel Dung Dịch Vệ Sinh Khử Mùi Phụ Khoa Nam Serenys 100ml,129.000₫,https://tiki.vn/gel-khu-mui-vung-kin-nam-serenys-100ml-p2463967.html?spid=2463969,24,,Đã bán 337
Combo 8 gói Băng Vệ Sinh Kotex Hằng ngày Kháng khuẩn 20 miếng,80.000₫,https://tiki.vn/combo-8-goi-bang-ve-sinh-kotex-hang-ngay-khang-khuan-20-mieng-p125838068.html?spid=125838069,25,,Đã bán 427
,,https://tiki.vn/kem-danh-rang-kin-b5-lam-sach-mang-bam-va-phuc-hoi-nuou-rang-125ml-p23576165.html?spid=23576198,26,,
Nước súc miệng Thanh Mộc Hương loại lớn thảo mộc người dao,150.000₫,https://tiki.vn/nuoc-suc-mieng-thanh-moc-huong-loai-lon-thao-moc-nguoi-dao-p48515047.html?spid=72144366,27,,Đã bán 22
Kem chống đồi mồi Nga - Kem đồi mồi,95.000₫,https://tiki.vn/kem-chong-doi-moi-nga-kem-doi-moi-p176451624.html?spid=176451626,28,,Đã bán 3
Combo 2 chai Dung Dịch Vệ Sinh Nam X2 Manly - Làm sạch tức thì Lưu hương 24h dung tích 150g Cocayhoala (Combo 2 chai),299.000₫,https://tiki.vn/mua-1-tang-1-dung-dich-ve-sinh-nam-x2-manly-lam-sach-tuc-thi-luu-huong-24h-dung-tich-150g-cocayhoala-combo-2-chai-p169778290.html?spid=169778291,29,,Đã bán 532
