,title,price,link_item,index,discount,sales
0,Sữa Tắm Dành Cho Da Nhạy Cảm Eucerin pH5 1000ml TẶNG Sữa tắm cho da nhạy cảm pH5 200ml,474.000₫,https://tiki.vn/sua-tam-danh-cho-da-nhay-cam-eucerin-ph5-1000ml-tang-sua-tam-cho-da-nhay-cam-ph5-200ml-p15500274.html?spid=15500275,1,-29%,Đã bán 232
1,Kem DưỡngTrắng Da Toàn Thân Body Collagen X3 Luxury 250g Mỹ Phẩm Đông Anh Chính Hãng,35.000₫,https://tiki.vn/kem-duongtrang-da-toan-than-body-collagen-x3-luxury-250g-my-pham-dong-anh-chinh-hang-p210530923.html?spid=210530929,2,-23%,Đã bán 36
2,SỮA TẮM DETTOL ONZEN DƯỠNG ẨM LÔ HỘI & BƠ 950G/CHAI,137.000₫,https://tiki.vn/sua-tam-dettol-onzen-duong-am-lo-hoi-bo-950g-chai-p271961776.html?spid=271961777,3,-25%,Đã bán 7
3,Sữa tắm dành cho da nhạy cảm Eucerin pH5 Washlotion (1000ml),373.000₫,https://tiki.vn/sua-tam-danh-cho-da-nhay-cam-eucerin-ph5-washlotion-1000ml-p16620044.html?spid=16620045,4,,Đã bán 124
4,,,https://tiki.vn/xit-khu-mui-hoi-nach-umiha-100ml-khu-mui-ngan-tiet-mo-hoi-hieu-qua-p205162131.html?spid=271333201,5,-37%,
5,Kem chống nắng nâng tông da CNP Laboratory Tone-Up Protection Sun SPF42/PA+++ 50ml,285.000₫,https://tiki.vn/kem-chong-nang-nang-tong-da-cnp-laboratory-tone-up-protection-sun-spf42-pa-50ml-p242075884.html?spid=242075885,6,-47%,Đã bán 21
6,Sữa tắm gội nam 4 in 1 hương nước hoa châu Âu SIRMEN Europe Gentlemen cao cấp 350g công nghệ EU-Nano đậm đặc gấp 2 lần,159.000₫,https://tiki.vn/sua-tam-goi-nam-4-in-1-huong-nuoc-hoa-chau-au-sirmen-europe-gentlemen-cao-cap-350g-cong-nghe-eu-nano-dam-dac-gap-2-lan-p198815372.html?spid=198815373,7,-6%,Đã bán 78
7,[Made in Japan] Sữa Tắm Nam Nhật Bản Bạc Hà Siêu Mát Lạnh Pharmaact Extra Cool Body Soap (550ml),105.000₫,https://tiki.vn/made-in-japan-sua-tam-nam-nhat-ban-bac-ha-sieu-mat-lanh-pharmaact-extra-cool-body-soap-550ml-p198102649.html?spid=140367902,8,-50%,Đã bán 159
8,Xà Phòng Tắm Ngừa Mụn Vùng Lưng Pelican For Back Soap Bar 135g,80.000₫,https://tiki.vn/xa-phong-tam-ngua-mun-vung-lung-pelican-for-back-soap-bar-135g-p109266761.html?spid=109266765,9,,Đã bán 277
9,,,https://tiki.vn/sua-tam-mun-lung-eldas-sua-tam-giam-viem-nang-long-tinh-chat-tram-tra-kho-qua-diet-khuan-ngan-ngua-mun-co-the-550ml-p176098197.html?spid=176098200,10,,
10,Sữa Tắm Hazeline Matcha & Lựu Đỏ - Sáng Mịn Đều Màu (Chai 670g),69.000₫,https://tiki.vn/sua-tam-hazeline-matcha-luu-do-sang-min-deu-mau-chai-670g-p10071379.html?spid=98066979,11,-15%,Đã bán 31
11,Tẩy Tế Bào Da Cơ Thể Cocoon Eco-Refill Đắk Lắk Coffee Body Polish 600ml,325.000₫,https://tiki.vn/tay-te-bao-da-co-the-cocoon-eco-refill-dak-lak-coffee-body-polish-600ml-p262844284.html?spid=262844285,12,-32%,Đã bán 30
12,,,https://tiki.vn/lan-khu-mui-duong-trang-huong-nuoc-hoa-enchanteur-delightful-50ml-tang-nuoc-hoa-delightful-4-5ml-p1385601.html?spid=1385729,13,,
13,Lăn khử mùi cho nam Degree Men Cool Comfort 48H Antiperspirant 76g,115.000₫,https://tiki.vn/lan-khu-mui-cho-nam-degree-men-cool-comfort-48h-antiperspirant-76g-p73429228.html?spid=103439382,14,-9%,Đã bán 503
14,"Sữa Dưỡng Thể Chống Nắng Hatomugi SPF31 PA+++ Nhật Bản, 250ml",135.000₫,https://tiki.vn/sua-duong-the-chong-nang-hatomugi-spf31-pa-nhat-ban-250ml-p7073667.html?spid=45816625,15,-22%,Đã bán 2.3k
15,[Made in Japan] Sữa Tắm Dưỡng Da Trắng Hồng Nhật Bản White Conc Body Shampoo (360ml),190.000₫,https://tiki.vn/made-in-japan-sua-tam-duong-da-trang-hong-nhat-ban-white-conc-body-shampoo-360ml-p35802978.html?spid=35802979,16,-39%,Đã bán 61
16,Serum INOD Huyền Phi Khử Mùi Hôi Chân Hôi Nách Mùi Cơ Thể Giảm Thâm Khô Thoáng Hương Thơm Tự Nhiên Dung Tích 5ml,161.000₫,https://tiki.vn/serum-hoi-nach-inod-huyen-phi-hp68-khu-mui-hoi-chan-mui-co-the-giam-tham-kho-thoang-huong-thom-tu-nhien-dung-tich-5ml-p165762686.html?spid=179541889,17,,Đã bán 153
17,,,https://tiki.vn/sua-duong-the-trang-da-nhay-cam-eucerin-white-therapy-clinical-whitening-body-lotion-spf7-250ml-p12084542.html?spid=72920075,18,-15%,
18,Gel Tắm Orita Strawberry Scented Shower Gel 1400ml,105.000₫,https://tiki.vn/gel-tam-orita-strawberry-scented-shower-gel-1400ml-p262801957.html?spid=262801959,19,-9%,Đã bán 12
19,Sữa Tắm Gội Coast Classic Scent Dành Cho Nam 532ml - USA,120.000₫,https://tiki.vn/sua-tam-goi-coast-classic-scent-danh-cho-nam-532ml-usa-p38493999.html?spid=38494000,20,-11%,Đã bán 190
20,"Muối ngâm chân thảo dược Crevil Foot Badesalz đau khớp, hôi chân (600g) - KBM02",215.000₫,https://tiki.vn/muoi-ngam-chan-thao-duoc-crevil-foot-badesalz-dau-khop-hoi-chan-600g-kbm02-p7371465.html?spid=30036505,21,,Đã bán 294
21,"Sữa tắm thảo dược Gừng Nghệ Cỏ Cây Hoa Lá - Chiết Xuất Từ 9 Loại Thảo Dược Quý - Phòng Cảm, Tránh Gió, Dưỡng Da - Cho Con Cho Mẹ, Cho Đại Gia Đình, chai 500gr",266.000₫,https://tiki.vn/sua-tam-thao-duoc-gung-nghe-co-cay-hoa-la-chiet-xuat-tu-9-loai-thao-duoc-quy-phong-cam-tranh-gio-duong-da-cho-con-cho-me-cho-dai-gia-dinh-chai-500gr-p270503276.html?spid=270503277,22,-15%,Đã bán 30
22,Bộ 2 Sữa Dưỡng Thể NIVEA Sáng Da Ban Đêm (350 ml) – 98412,254.000₫,https://tiki.vn/combo-2-sua-duong-the-nivea-duong-trang-ban-dem-350ml-98412-p184866039.html?spid=184866040,23,-35%,Đã bán 67
23,Kem Dưỡng Trắng Da Toàn Thân CC Cream White Conc - Túi 200g,190.000₫,https://tiki.vn/kem-duong-trang-da-toan-than-cc-cream-white-conc-tui-200g-p25886699.html?spid=46116853,24,,Đã bán 575
24,Chai Xịt Nóng Giảm Đau Nhức Xương Khớp Vương Diệu Linh Chai xịt 100ml,95.000₫,https://tiki.vn/chai-xit-tinh-dau-thao-duoc-xoa-bop-vuong-linh-dieu-chai-100ml-p155098001.html?spid=155098002,25,-23%,Đã bán 47
25,,,https://tiki.vn/goi-ke-gay-co-thao-duoc-hapaku-lam-nong-bang-lo-vi-song-p186305097.html?spid=29882837,26,-30%,
26,Xà Phòng Cải Thiện Thâm Mông Pelican Hip Care Soap nội địa Nhật,99.000₫,https://tiki.vn/xa-phong-cai-thien-tham-mong-pelican-hip-care-soap-noi-dia-nhat-p14694900.html?spid=36462598,27,-7%,Đã bán 3.1k
27,Bộ 3 Kem Tẩy Lông Cho Da Nhạy Cảm Veet Silk Fresh 25G,115.000₫,https://tiki.vn/bo-3-kem-tay-long-cho-da-nhay-cam-veet-silk-fresh-25g-p104313841.html?spid=104313842,28,-36%,Đã bán 242
28,Lăn khử mùi dạng sáp Versace Dylan Blue nam,559.000₫,https://tiki.vn/lan-khu-mui-dang-sap-versace-dylan-blue-nam-p78611350.html?spid=78611351,29,,Đã bán 90
29,Sữa Tắm On The Body Classic Pink Perfume Shower Body Wash 1Kg,231.000₫,https://tiki.vn/sua-tam-on-the-body-classic-pink-perfume-shower-body-wash-1kg-p271391377.html?spid=271391378,30,,Đã bán 19
30,,,https://tiki.vn/dau-goi-ho-tro-dieu-tri-gau-mang-vay-nen-ducray-kertyol-p-s-o-shampoo-125ml-p12478881.html?spid=12478882,31,,
31,Lăn Khử Mùi Perspirex (Strong / Original / Comfort) Roll-On Chính Hãng,270.000₫,https://tiki.vn/lan-khu-mui-perspirex-strong-original-comfort-roll-on-chinh-hang-p185812640.html?spid=185812652,32,,Đã bán 94
