title,price,link_item,index,discount,sales
Sáp tẩy lông nóng dạng hạt Banksia,410.000₫,https://tiki.vn/sap-tay-long-nong-dang-hat-banksia-p74442647.html?spid=74442648,1,-34%,Đã bán 10
"Serum Xóa Sẹo Lồi, Sẹo Phì Đại Actiscar 20ml ( Màu đỏ )",329.000₫,https://tiki.vn/serum-xoa-seo-loi-seo-phi-dai-actiscar-20ml-p196671445.html?spid=196671446,2,-4%,Đã bán 1
Chai xịt xoa bóp giảm nhanh đau nhức xương khớp Tê Thấp Linh,75.000₫,https://tiki.vn/chai-xit-xoa-bop-giam-nhanh-dau-nhuc-xuong-khop-te-thap-linh-p185340439.html?spid=185340440,3,,Đã bán 3
Combo 2 can sữa rửa tay khử mùi Mr.Fresh 5L Hương Dâu - an toàn cho da,324.000₫,https://tiki.vn/combo-2-can-sua-rua-tay-khu-mui-mr-fresh-5l-huong-dau-an-toan-cho-da-p58801104.html?spid=58801105,4,-17%,Đã bán 70
,,https://tiki.vn/set-qua-tang-cao-cap-weilaiya-sua-tam-hoa-tra-giup-trang-da-va-cap-am-huong-thom-thach-lich-ngot-ngao-tuoi-moi-p273166656.html?spid=273166657,5,,
"Xà bông Sinh Dược Chùm ngây Trà xanh, xà bông cục handmade 100gr, mẫu bao bì vẽ mộc, mùi trầu không, làm sạch diệt khuẩn hiệu quả từ trầu không, trà xanh theo YHCT có tính mát cho da",35.100₫,https://tiki.vn/xa-bong-sinh-duoc-chum-ngay-tra-xanh-xa-bong-cuc-handmade-100gr-mau-bao-bi-ve-moc-mui-trau-khong-lam-sach-diet-khuan-hieu-qua-tu-trau-khong-tra-xanh-theo-yhct-co-tinh-mat-cho-da-p75483765.html?spid=100050274,6,-13%,Đã bán 16
Muối Tắm Tẩy Tế Bào Chết Spa Yogurt Salt A Bonne' APM.00006 (350g có vòi) làm sạch và trắng da,31.500₫,https://tiki.vn/muoi-tam-tay-te-bao-chet-spa-yogurt-salt-a-bonne-apm-00006-350g-co-voi-lam-sach-va-trang-da-p1023334.html?spid=74901487,7,-18%,Đã bán 41
Combo 2 Sữa Tắm Sạch Khuẩn Aiken 850g Chiết Xuất Bạc Hà và Trà Xanh Thiên Nhiên,308.000₫,https://tiki.vn/combo-2-sua-tam-sach-khuan-aiken-850g-chiet-xuat-bac-ha-va-tra-xanh-thien-nhien-p269895211.html?spid=269895212,8,-41%,Đã bán 1
Kem dưỡng sau tẩy lông Jax Wax Australia Alpine Bluebell,150.000₫,https://tiki.vn/kem-duong-sau-wax-jax-wax-australia-alpine-bluebell-p22137913.html?spid=22137914,9,-45%,Đã bán 232
,,https://tiki.vn/tinh-dau-do-thao-moc-pharmacity-chai-7ml-p204803844.html?spid=204803845,10,,
Sữa tắm Tesori d’Oriente Gỗ Thông Hinoki 250ml,145.000₫,https://tiki.vn/sua-tam-tesori-d-oriente-go-thong-hinoki-250ml-p202873041.html?spid=202873043,11,-29%,Đã bán 2
"Dầu xoa bóp dược liệu Mat Gau , chai 100ml, đau lưng, đau mỏi vai gáy",59.000₫,https://tiki.vn/dau-xoa-bop-duoc-lieu-mat-gau-chai-100ml-dau-lung-dau-moi-vai-gay-p272683899.html?spid=272683900,12,-14%,Đã bán 4
,,https://tiki.vn/dung-dich-xit-khuan-moi-ngay-green-cross-a2-can-5l-kem-qua-tang-tuy-chon-p247729849.html?spid=247729855,13,-34%,
