title,price,link_item,index,discount,sales
Sữa Rửa Mặt Làm Sạch Và Giảm Mụn Acne-Aid Liquid Cleanser 100ml,165.000₫,https://tiki.vn/gsk-acne-aid-liquid-cleanser-100ml-sua-rua-mat-lam-sach-va-ngua-mun-p16632033.html?spid=16632034,1,-6%,Đã bán 879
"Nước tẩy trang dành cho da dầu, da mụn BIODERMA Sébium H2O 500ml",420.000₫,https://tiki.vn/nuoc-tay-trang-danh-cho-da-dau-da-mun-bioderma-sebium-h2o-500ml-p2576995.html?spid=13636284,2,-20%,Đã bán 126
Kem Dưỡng Trắng Da Chống Nắng Ban Ngày Oribe Chống Lão Hóa Mờ Thâm Nám Dưỡng Ẩm 30g,280.000₫,https://tiki.vn/kem-duong-trang-da-chong-nang-ban-ngay-oribe-chong-lao-hoa-mo-tham-nam-duong-am-30g-p73517801.html?spid=73517802,3,-13%,Đã bán 404
Gel Chống Nắng Dưỡng Da Khi Vận Động Mạnh Sunplay Skin Aqua Outdoor+ SPF50+ PA++++ (30g),102.000₫,https://tiki.vn/gel-chong-nang-duong-da-khi-van-dong-manh-sunplay-skin-aqua-outdoor-spf50-pa-30g-p79411383.html?spid=79411385,4,-14%,Đã bán 1.2k
,,https://tiki.vn/mat-na-giay-dear-klairs-rich-moist-soothing-tencel-sheet-mask-25-ml-p204207722.html?spid=204207724,5,,
"82X AI FACE MASK mặt nạ cấp ẩm , dưỡng sáng và phục hồi da chuyên sâu cao cấp Nhật Bản ( 3 miếng/ hộp).",450.000₫,https://tiki.vn/82x-ai-face-mask-mat-na-cap-am-duong-sang-va-phuc-hoi-da-chuyen-sau-cao-cap-nhat-ban-3-mieng-hop-p273175458.html?spid=273175459,6,-10%,Đã bán 7
Mặt nạ giấy Vedette than hoạt tính 22ml (TPM279),20.700₫,https://tiki.vn/mat-na-giay-vedette-than-hoat-tinh-22ml-tpm279-p225933654.html?spid=225933661,7,-19%,Đã bán 16
Gel Rửa Mặt Oxy Acne Prevent 100g,65.500₫,https://tiki.vn/gel-rua-mat-oxy-acne-prevent-100g-p198341163.html?spid=198341165,8,-19%,Đã bán 1.3k
Combo Sữa rửa mặt Simple sạch thoáng không chứa xà phòng 150ml+ Nước hoa hồng Simple 200ML [Chính Hãng Độc Quyền],237.000₫,https://tiki.vn/combo-sua-rua-mat-simple-sach-thoang-khong-chua-xa-phong-150ml-nuoc-hoa-hong-simple-200ml-chinh-hang-doc-quyen-p272359857.html?spid=272359946,9,,Đã bán 1.1k
,,https://tiki.vn/sua-chong-nang-duo-ng-da-diu-nhe-cho-da-nhay-cam-va-tre-em-anessa-spf-50-pa-60ml-p51543135.html?spid=91650714,10,-20%,
