title,price,link_item,index,discount,sales
Gội nhuộm phủ bạc thảo dược Richenna EZ Speedy Perfume Hair Color hương nước hoa màu nâu đen 60G,150.000₫,https://tiki.vn/thuoc-nhuom-toc-phu-bac-richenna-dang-dau-goi-huong-nuoc-hoa-mau-nau-den-60g-p68251226.html?spid=68251227,1,-21%,Đã bán 142
Combo 2 cặp Dầu gội xả phục hồi đa tầng nấm Truffle Weilaiya hương nước hoa - chăm sóc tóc và da đầu,1.850.000₫,https://tiki.vn/combo-2-cap-dau-goi-xa-phuc-hoi-da-tang-nam-truffle-weilaiya-huong-nuoc-hoa-cham-soc-toc-va-da-dau-p176185823.html?spid=176185824,2,-9%,Đã bán 5
BỘ DẦU GỘI XẢ TIGI BEDHEAD RECOVERY XANH PHỤC HỒI TÓC HU TỔN - HÀNG CÔNG TY,526.000₫,https://tiki.vn/bo-dau-goi-xa-tigi-bedhead-recovery-xanh-phuc-hoi-toc-hu-ton-hang-cong-ty-p172104389.html?spid=172104393,3,-5%,Đã bán 13
TINH DẦU VÀNG COLATIN ARGAN OIL – PHỤC HỒI TẾ BÀO GỐC VÀ KÍCH THÍCH MỌC TÓC,159.600₫,https://tiki.vn/tinh-dau-vang-colatin-argan-oil-phuc-hoi-te-bao-goc-va-kich-thich-moc-toc-p22473247.html?spid=25123144,4,-8%,Đã bán 19
Bộ gội xả Karseell Maca siêu mềm mượt 800 ml,627.000₫,https://tiki.vn/bo-goi-xa-karseell-maca-sieu-mem-muot-800-ml-p11121933.html?spid=35251738,5,-35%,Đã bán 33
Dầu Gội Phủ Bạc kella Chiết Xuất Thảo Dược Màu Đen Tự Nhiên,199.000₫,https://tiki.vn/da-u-go-i-phu-ba-c-kella-chie-t-xua-t-tha-o-duo-c-ma-u-den-tu-nhien-p210427357.html?spid=210427358,6,-62%,Đã bán 3
Thuốc Uốn Nhân Sâm BOSNIC 100ML,79.200₫,https://tiki.vn/thuoc-uon-nhan-sam-bosnic-100ml-p47048709.html?spid=47048710,7,-5%,Đã bán 23
Gel tạo kiểu tóc uốn xoăn bồng bềnh - Obsidian Curling Star 2 Swing 150ml New 2023,260.000₫,https://tiki.vn/gel-tao-kieu-toc-uon-xoan-bong-benh-obsidian-curling-star-2-swing-150ml-p23437650.html?spid=23437651,8,-5%,Đã bán 34
Dầu xả không chứa Silicon Salon Link (1000ml),169.000₫,https://tiki.vn/dau-xa-khong-chua-silicon-salon-link-1000ml-p79352606.html?spid=79352607,9,-5%,Đã bán 12
"Dầu Xả Và Dầu Gội Ogx Biotin & Collagen giúp tóc mọc khỏe mạnh, chống gãy rụng tóc 385ml/chai - QuaTangMe Extaste",193.000₫,https://tiki.vn/bo-dau-xa-va-dau-goi-ogx-biotin-collagen-385ml-p270884660.html?spid=270884664,10,-31%,Đã bán 109
BỘ DẦU GỘI XẢ TIGI BEDHEAD XANH ĐẬM GIMME GRIP TEXTURIZING LÀM PHỒNG TÓC 400ML*2 NEW 2022,551.000₫,https://tiki.vn/bo-dau-goi-xa-tigi-bedhead-xanh-dam-gimme-grip-texturizing-lam-phong-toc-400ml-2-new-2021-p216404841.html?spid=216404843,11,-5%,Đã bán 1
Bộ Dầu Gội Và Xả Phục Hồi Hư Tổn Nặng Cho Tóc RESURRECTION 970ml,912.000₫,https://tiki.vn/bo-dau-goi-va-xa-phuc-hoi-hu-ton-nang-cho-toc-resurrection-970ml-p85353355.html?spid=90331529,12,-17%,Đã bán 29
DẦU GỘI FANOLA NOYELLOW KHỬ VÀNG CHO TÓC TRẮNG BẠCH KIM SILVER MẪU MỚI 2022 350ml/1000ml,199.500₫,https://tiki.vn/vat-dau-goi-fanola-noyellow-khu-vang-cho-toc-trang-bach-kim-silver-mau-moi-2022-350ml-1000ml-p216401252.html?spid=216401272,13,-7%,Đã bán 8
Dầu gội Sạch Gàu X-Men Clean & Fresh 24h Sạch Sâu 630g,193.000₫,https://tiki.vn/dau-goi-sach-gau-x-men-clean-fresh-24h-sach-sau-630g-p129868875.html?spid=129868877,14,-5%,Đã bán 79
Dầu Gội Cao Cấp Làm Dày Tóc Kerasys Oriental Premium Shampoo (470ml),185.000₫,https://tiki.vn/dau-goi-cao-cap-lam-day-toc-kerasys-oriental-premium-shampoo-470ml-p508284.html?spid=2085393,15,-25%,Đã bán 76
"Dầu Gội Bồ Kết Vỏ Bưởi Tabaha 300ml giảm rụng, hỗ trợ mọc tóc",150.000₫,https://tiki.vn/dau-goi-bo-ket-vo-buoi-tabaha-300ml-giam-rung-ho-tro-moc-toc-p161019460.html?spid=161019461,16,-8%,Đã bán 22
"Dầu Gội Mọc Tóc Weilaiya Tinh Chất Gừng Tươi, Hỗ Trợ Điều Trị Rụng Tóc, Giúp Mượt Tóc, Bóng Tóc Giữ Nguyên Màu Nhuộm (400ml), Tặng Kèm Combo Lược",295.000₫,https://tiki.vn/dau-goi-moc-toc-weilaiya-tinh-chat-gung-tuoi-ho-tro-dieu-tri-rung-toc-giup-muot-toc-bong-toc-giu-nguyen-mau-nhuom-400ml-tang-kem-combo-luoc-p101591415.html?spid=103457382,17,-21%,Đã bán 5
