title,price,link_item,index,discount,sales
Bạch Tuộc Rửa & Massage Mặt Kiểu Korea,20.000₫,https://tiki.vn/bach-tuoc-rua-massage-mat-kieu-korea-p263560340.html?spid=263560341,1,-33%,Đã bán 1
Dụng cụ lăn massage ngón tay mini tiện dụng cho mọi gia đình,16.000₫,https://tiki.vn/du-ng-cu-lan-massage-ngo-n-tay-mini-tie-n-du-ng-cho-mo-i-gia-di-nh-p137673510.html?spid=195569772,2,,Đã bán 15
Sơn móng tay Silver Prosper 16ml (sơn thường),25.700₫,https://tiki.vn/son-mong-tay-silver-prosper-16ml-son-thuong-p241895773.html?spid=241895802,3,,
NAILBOX THIẾT KẾ KÈM KEO DŨA,75.000₫,https://tiki.vn/nailbox-thiet-ke-kem-keo-dua-p147763545.html?spid=147763558,4,,Đã bán 1
,,https://tiki.vn/may-uon-toc-tao-song-3-truc-kemei-1010-p209907477.html?spid=209907480,5,,
Kéo cắt tóc Nhật WAHL cao cấp,265.000₫,https://tiki.vn/keo-cat-toc-nhat-wahl-cao-cap-p271401533.html?spid=271401538,6,,Đã bán 1
Set dán móng tay Nails dán nghệ thuật nhiều màu - có ngay bộ móng đẹp trong 5 phút (Nail wraps / Nail stickers) CAM01,12.000₫,https://tiki.vn/set-dan-mong-tay-nails-dan-nghe-thuat-nhieu-mau-co-ngay-bo-mong-dep-trong-5-phut-nail-wraps-nail-stickers-cam01-p201176037.html?spid=201176067,7,,Đã bán 5
[CHARM] Charm nail - charm các loại - charm màu trắng và vàng phụ kiện làm móng,8.000₫,https://tiki.vn/charm-charm-nail-charm-cac-loai-charm-mau-trang-va-vang-phu-kien-lam-mong-p271299297.html?spid=271299313,8,,
Mô tơ thay tông đơ ZSZ công suất lớn 7000rmp,115.000₫,https://tiki.vn/mo-to-thay-tong-do-zsz-cong-suat-lon-7000rmp-p271440768.html?spid=271440769,9,,
,,https://tiki.vn/lo-uon-mai-tu-dinh-lo-cuon-toc-xoan-tu-nhien-size-4x10-5cm-shop10k-sp005256-p195344144.html?spid=195344150,10,,
Chổi phủi tóc chuyên fade cho salon,30.000₫,https://tiki.vn/choi-phui-toc-chuyen-fade-cho-salon-p112717065.html?spid=112717094,11,,Đã bán 6
Bộ Máy Massage Ion + Máy Rửa Mặt 5 in1 Skin Xoay,63.700₫,https://tiki.vn/bo-may-massage-ion-may-rua-mat-5-in1-skin-xoay-p31612726.html?spid=57677367,12,,Đã bán 14
,,https://tiki.vn/bot-trang-guong-7-mau-cau-vong-p147947473.html?spid=147947481,13,,
NAILBOX/ MÓNG GIẢ THIẾT KẾ,80.000₫,https://tiki.vn/nailbox-mong-gia-thiet-ke-kem-keo-dua-p147763499.html?spid=147763502,14,,
Chổi phủi tóc cán gỗ Barber K30,69.000₫,https://tiki.vn/choi-phui-toc-can-go-barber-k30-p209907403.html?spid=209907407,15,,Đã bán 1
(LOẠI TỐT NHẤT) Bộ dụng cụ chữa móng chân chọc thịt,259.000₫,https://tiki.vn/loai-tot-nhat-bo-dung-cu-chua-mong-chan-choc-thit-p219410059.html?spid=219410060,16,,Đã bán 1
20 hủ chiết kem 5gr,35.000₫,https://tiki.vn/20-hu-chiet-kem-5gr-p38603813.html?spid=38603814,17,,Đã bán 20
,,https://tiki.vn/but-cao-tia-long-may-may-cao-tia-long-may-long-mach-tang-kem-pin-p217169056.html?spid=217169078,18,,
"Bộ dụng cụ chăm sóc móng tay 5 món, thép không gỉ hàng cao cấp",150.000₫,https://tiki.vn/bo-dung-cu-cham-soc-mong-tay-5-mon-thep-khong-gi-hang-cao-cap-p230079179.html?spid=230079180,19,,Đã bán 1
CẶP MIẾNG DÁN MÁY ĐIỆN CHÂM HWATO MÁY XUNG ĐIỆN HOA ĐÀ MIẾNG DÁN ĐIỆN XUNG,32.000₫,https://tiki.vn/cap-mieng-dan-may-dien-cham-hwato-may-xung-dien-hoa-da-mieng-dan-dien-xung-p215129443.html?spid=215129446,20,,Đã bán 6
Lược sừng dáng cổ điển VIP cỡ lớn (Size: XXL - 23cm) COH168 - Lược sừng xuất Nhật - Chăm sóc tóc,159.000₫,https://tiki.vn/luoc-sung-dang-co-dien-vip-co-lon--size--xxl---23cm--coh168---luoc-sung-xuat-nhat---cham-soc-toc-p120169177.html?spid=120169178,21,,Đã bán 37
Dụng cụ kéo giãn đốt sống cổ loại móc treo DKDC.MT01,159.990₫,https://tiki.vn/dung-cu-keo-gian-dot-song-co-loai-moc-treo-dkdc-mt01-p243079462.html?spid=243079464,22,,Đã bán 1
Máy tẩy lông nách mã KM-1012,108.968₫,https://tiki.vn/may-tay-long-nach-ma-km-1012-p114771249.html?spid=183575352,23,,
Dao cạo râu 5 lưỡi Personna M5 magnum - Hàng nhập khẩu Mỹ,320.000₫,https://tiki.vn/dao-cao-rau-5-luoi-personna-m5-magnum-hang-nhap-khau-my-p42869501.html?spid=43466560,24,,Đã bán 5
CÂY LĂN MẶT MASSAGE 3D INOX CAO CẤP,26.000₫,https://tiki.vn/cay-lan-mat-massage-3d-inox-cao-cap-p136798679.html?spid=212603046,25,,Đã bán 2
,,https://tiki.vn/2-may-massage-rua-mat-ion-p35865497.html?spid=57787931,26,,
"Dụng Cụ Massage Mắt, Mặt Lameila Chống Nếp Nhăn Hiệu Quả",40.000₫,https://tiki.vn/dung-cu-massage-mat-mat-lameila-chong-nep-nhan-hieu-qua-p262982838.html?spid=262982839,27,,Đã bán 1
Máy Massage Và Rửa Mặt Đa Chức Năng Cầm Tay Mini 5 In 1 Beauty,70.000₫,https://tiki.vn/may-massage-va-rua-mat-da-chuc-nang-cam-tay-mini-5-in-1-beauty-p32770089.html?spid=34162795,28,,Đã bán 91
Bộ 3 Lược Chải Tóc Aimeisi Bỏ Túi Mini,15.000₫,https://tiki.vn/bo-3-luoc-chai-toc-aimeisi-bo-tui-mini-p262865584.html?spid=262865585,29,,Đã bán 1
Máy Triệt Lông Vĩnh Viễn IPL99 Mẫu Mới - Công Nghệ Tia Lares Hiệu Quả Cực Cao,384.900₫,https://tiki.vn/may-triet-long-vinh-vien-ipl99-mau-moi-cong-nghe-tia-lares-hieu-qua-cuc-cao-p87660144.html?spid=202233213,30,,Đã bán 10
,,https://tiki.vn/luoc-cat-toc-chai-toc-p64979300.html?spid=64979301,31,,
Sáp Wax Lông Nóng Dạng Khối Trà Xanh,160.000₫,https://tiki.vn/sap-wax-long-nong-dang-khoi-tra-xanh-p40288182.html?spid=40288183,32,,Đã bán 313
"Áo choàng cắt tóc , khăn choàng cắt tóc LOREAL",65.000₫,https://tiki.vn/ao-choang-cat-toc-khan-choang-cat-toc-barber-xem-dien-thoai-b06-p209906307.html?spid=209906313,33,,Đã bán 3
Máy đẩy tinh chất Ion dưỡng da nóng lạnh Hot & Cool Maxcare Max888PRO - Máy điện di tinh chất trắng da Maxcare Beauty Device - làm sạch sâu - đẩy tinh chất - cấp ẩm - chăm sóc và dưỡng trắng da,1.590.000₫,https://tiki.vn/may-day-tinh-chat-ion-duong-da-nong-lanh-hot-cool-maxcare-max888pro-may-dien-di-tinh-chat-trang-da-maxcare-beauty-device-lam-sach-sau-day-tinh-chat-cap-am-cham-soc-va-duong-trang-da-p73580326.html?spid=73580327,34,,Đã bán 136
Nailbox thiết kế theo yêu -khách nhắn tin shop để đo size móng,85.000₫,https://tiki.vn/nailbox-thiet-ke-theo-yeu-khach-nhan-tin-shop-de-do-size-mong-p147763604.html?spid=147763609,35,,
,,https://tiki.vn/combo-triet-long-wax-mo-tran-an-lanh-tang-bo-dung-cu-wax-p154416206.html?spid=154416208,36,,
Cây nặn mụn hai đầu bằng thép không rỉ,38.000₫,https://tiki.vn/cay-nan-mun-hai-dau-bang-thep-khong-ri-p137253760.html?spid=137253773,37,,Đã bán 11
Giấy wax lông nhám - 50 tờ giấy wax nhám,18.000₫,https://tiki.vn/giay-wax-long-nham-50-to-giay-wax-nham-p151586599.html?spid=151586601,38,,Đã bán 25
Sơn móng tay Prosper Silver 16ml (sơn thường),25.700₫,https://tiki.vn/son-mong-tay-prosper-silver-16ml-son-thuong-p241897194.html?spid=241897232,39,,Đã bán 4
Lược Chải Đầu Mini Gấp Gọn - Nội Địa Nhật Bản,31.000₫,https://tiki.vn/luoc-chai-dau-mini-gap-gon-p10101942.html?spid=36168712,40,,Đã bán 8
