title,price,link_item,index,discount,sales
"Đai hơi kéo giãn đốt sống cổ Leamai C02, hỗ trợ giảm đau cổ vai gáy, căng cơ, thoát vị đệm đốt sống cổ [TBYT H-Care]",1.390.000₫,https://tiki.vn/dai-hoi-keo-gian-dot-song-co-leamai-c02-ho-tro-giam-dau-co-vai-gay-cang-co-thoat-vi-dem-dot-song-co-tbyt-h-care-p110735569.html?spid=199916119,1,-8%,
Máy trợ thính siêu nhỏ lỗ tai Mimitakara (JAPAN) DP-6SY5,2.400.000₫,https://tiki.vn/may-tro-thinh-sieu-nho-lo-tai-mimitakara-japan-dp-6sy5-p16057236.html?spid=16057237,2,-33%,Đã bán 31
[TÚI - FAMAPRO 4D] - Khẩu trang y tế kháng khuẩn cao cấp Famapro 4D tiêu chuẩn KF94 (5 cái/ túi),8.000₫,https://tiki.vn/tui-famapro-4d-khau-trang-y-te-khang-khuan-cao-cap-famapro-4d-tieu-chuan-kf94-5-cai-tui-p89139805.html?spid=95154420,3,-31%,Đã bán 4.0k
"Túi chườm Lưng Hông - Gối chườm nóng thảo mộc dùng lò vi sóng làm nóng, giúp giảm đau lưng hông do thoái hóa, thoát vị đĩa đệm, căng cứng cơ, ngồi lâu ở một tư thế - Hapaku",529.000₫,https://tiki.vn/tui-chuom-nong-thao-duoc-giam-dau-lung-bung-dung-lo-vi-song-hapaku-p14422603.html?spid=177070414,4,-10%,Đã bán 5
"Máy massage làm ấm bụng AIFS, giảm đau bụng đau lưng cho bạn gái đến Kì, Đai đeo chườm nóng giảm đau bụng kinh nguyệt",999.000₫,https://tiki.vn/may-massage-lam-am-bung-aifs-giam-dau-bung-dau-lung-cho-ban-gai-den-ki-dai-deo-chuom-nong-giam-dau-bung-kinh-nguyet-p217499958.html?spid=217499959,5,-36%,Đã bán 20
Máy rung Massage Mini 2 viên kim cương vàng nâng cơ mặt dùng con lăn đẩy rung 1pin quà tặng trẻ đẹp phụ nữ Hcm,120.000₫,https://tiki.vn/may-rung-massage-mini-2-vien-kim-cuong-vang-nang-co-mat-dung-con-lan-day-rung-1pin-qua-tang-tre-dep-phu-nu-hcm-p116451490.html?spid=185495930,6,-42%,Đã bán 6
"[COMBO] Máy đo đường huyết và que thử đường huyết Accu-Chek Instant, Nhập khẩu chính hãng, Tiêu chuẩn Châu Âu",291.000₫,https://tiki.vn/combo-may-do-duong-huyet-va-que-thu-duong-huyet-accu-chek-instant-nhap-khau-chinh-hang-tieu-chuan-chau-au-p214755148.html?spid=214755150,7,-19%,
"Cân điện tử, cân sức khoẻ hình gấu hồng cute - Cân gấu dâu theo dõi cân nặng gia đình độ chính xác cao",56.000₫,https://tiki.vn/can-dien-tu-can-suc-khoe-hinh-gau-hong-cute-can-gau-dau-theo-doi-can-nang-gia-dinh-do-chinh-xac-cao-p198525634.html?spid=262825622,8,-8%,Đã bán 15
Túi chườm đa năng nóng lạnh Microlife,89.000₫,https://tiki.vn/tui-chuom-da-nang-nong-lanh-microlife-p14051440.html?spid=28156690,9,-13%,Đã bán 129
"Nệm Massage Toàn Thân Hồng Ngoại Giúp Giảm Đau Nhức Xương Khớp, Giảm Mệt Mỏi, Cải Thiện Hệ Miễn Dịch Micro - Computer (Có dây sạc cho xe hơi) - Tặng kèm máy massage cầm tay mini - Hàng nhập khẩu",731.990₫,https://tiki.vn/nem-massage-toan-than-hong-ngoai-giup-giam-dau-nhut-xuong-khop-giam-met-moi-cai-thien-he-mien-dich-micro-computer-co-day-sac-cho-xe-hoi-tang-kem-may-massage-cam-tay-mini-hang-nhap-khau-p48300641.html?spid=121102258,10,-34%,Đã bán 2
