title,price,link_item,index,discount,sales
Nước hoa vùng kín Foellie Eau De Innerb Perfume 5 ml-Bijou ( Best seller),190.000₫,https://tiki.vn/nuoc-hoa-vung-kin-foellie-eau-de-innerb-perfume-5-ml-p236938023.html?spid=236938033,1,-42%,Đã bán 1
Nước Hoa Unisex Ck One Edt - Old (200ml),1.600.000₫,https://tiki.vn/nuoc-hoa-unisex-ck-one-edt-old-200ml-p24183262.html?spid=54361387,2,-33%,Đã bán 18
Nước Hoa Nam Carnival N16 (50ml),133.000₫,https://tiki.vn/nuoc-hoa-nam-carnival-n16-50ml-p9021759.html?spid=9021760,3,-20%,Đã bán 138
Nước Hoa Mini Sex On The Beach Perfume 30ml,92.800₫,https://tiki.vn/nuoc-hoa-mini-sex-on-the-beach-perfume-30ml-p207924306.html?spid=207924307,4,,
,,https://tiki.vn/nuoc-hoa-it-s-well-plus-prestige-333-perfume-innocence-pp-i-9ml-p1019326.html?spid=72975931,5,-23%,
Nước Hoa Nam Gucci Pour Homme,2.388.000₫,https://tiki.vn/nuoc-hoa-nam-gucci-pour-homme-p208401307.html?spid=208401309,6,-23%,Đã bán 5
NƯỚC HOA VERSACE BRIGHT CRYSTAL MINISIZE NỮ 5ML EDT,229.000₫,https://tiki.vn/nuoc-hoa-versace-bright-crystal-minisize-nu-5ml-edt-p38164788.html?spid=47422479,7,-5%,Đã bán 228
Nước Hoa Nam Charme Enternity,356.000₫,https://tiki.vn/nuoc-hoa-nam-charme-enternity-p4992335.html?spid=43758981,8,-33%,Đã bán 90
Bộ 3 Chai Nước Hoa Cho Nam Romano Attitude 18ml*3,92.000₫,https://tiki.vn/bo-3-chai-nuoc-hoa-cho-nam-romano-attitude-18ml-3-p34461015.html?spid=71027866,9,-29%,Đã bán 54
,,https://tiki.vn/body-mist-champagne-toast-236ml-bath-and-body-work-champagne-toast-chinh-hang-p273186809.html?spid=273186810,10,-17%,
Tinh dầu nước hoa Dubai_ PLATINUM Al-Rehab_ NAM (hàng chính hãng),190.000₫,https://tiki.vn/tinh-dau-nuoc-hoa-dubai_-platinum-al-rehab_-nam-hang-chinh-hang-p70504184.html?spid=70504185,11,-32%,Đã bán 32
Nước Hoa Nữ Marc Jacobs Perfect 100ml,2.600.000₫,https://tiki.vn/nuoc-hoa-nu-marc-jacobs-perfect-100ml-p171508042.html?spid=171508043,12,-23%,Đã bán 3
,,https://tiki.vn/nuoc-hoa-millenia-002w-viva-la-juicy-50ml-p52527016.html?spid=52527017,13,-23%,
Nước Hoa Nữ Gucci Bloom Eau de Toilette,2.050.000₫,https://tiki.vn/nuoc-hoa-nu-gucci-bloom-eau-de-toilette-100ml-p249603901.html?spid=249603904,14,-52%,Đã bán 4
