title,price,link_item,index,discount,sales
Phấn Highlight Dior Forever Couture Luminizer,1.280.000₫,https://tiki.vn/phan-highlight-dior-forever-couture-luminizer-p273078538.html?spid=273078542,1,-52%,
Dường Mi- Kích mọc lông mi dài- FKN,179.000₫,https://tiki.vn/duong-mi-kich-moc-long-mi-dai-fkn-p206781404.html?spid=206781405,2,-9%,Đã bán 1
Kem che khuyết điểm Aroma Cover Foundation Hàn Quốc 14g No.21 Light Beige tặng kèm móc khoá,99.000₫,https://tiki.vn/kem-che-khuyet-diem-aroma-cover-foundation-han-quoc-14g-no-21-light-beige-tang-kem-moc-khoa-p20805523.html?spid=20805526,3,-33%,Đã bán 13
Phấn nền hữu cơ trang điểm chống nắng - naturaglacé CLEAR POWDER FOUNDATION,1.282.000₫,https://tiki.vn/phan-nen-trang-diem-chong-nang-naturaglace-clear-powder-foundation-p25978441.html?spid=25978453,4,-31%,Đã bán 6
,,https://tiki.vn/guong-soi-den-led-doi-mau-3-mau-guong-trang-diem-de-ban-p72669596.html?spid=73354602,5,-7%,
SON LÌ # 201 ROSE,590.000₫,https://tiki.vn/son-li-201-rose-do-man-huyen-bi-p90524252.html?spid=90524253,6,-2%,Đã bán 1
"Kem Nền BB Collagen Nagano 20ml - BB Cream 20ml - Chứa chất chống nắng với chỉ số SPF35 bảo vệ da, Collagen giúp dưỡng ẩm và nuôi dưỡng da",475.000₫,https://tiki.vn/kem-nen-bb-collagen-nagano-20ml-bb-cream-20ml-chua-chat-chong-nang-voi-chi-so-spf35-bao-ve-da-collagen-giup-duong-am-va-nuoi-duong-da-p173831987.html?spid=173831988,7,-25%,Đã bán 2
Gương Trang Điểm Để Bàn Có Đèn LED Tắt/Bật Cảm Ứng,48.000₫,https://tiki.vn/guong-trang-diem-de-ban-co-den-led-tat-bat-cam-ung-p196029741.html?spid=272646402,8,-5%,
Phấn Phủ Cezanne UV Clear Face Powder (10g),360.000₫,https://tiki.vn/phan-phu-cezanne-uv-clear-face-powder-10g-p11683311.html?spid=11683315,9,-20%,Đã bán 8
,,https://tiki.vn/son-duong-moi-mem-moi-het-tham-co-mau-cam-do-ynm-candy-honey-orange-red-lip-blam-3g-p273347572.html?spid=273347573,10,-14%,
"Mi giả tự nối dạng chùm Nesura độ dài 8-10mm dành cho makeup cá nhân, chuyên nghiệp - Hity Beauty",56.000₫,https://tiki.vn/mi-gia-tu-noi-dang-chum-nesura-do-dai-8-10mm-danh-cho-makeup-ca-nhan-chuyen-nghiep-hity-beauty-p271454073.html?spid=271454079,11,-27%,
