title,price,link_item,index,discount,sales
"Viên hỗ trợ tóc khỏe, giảm rụng tóc, tóc bạc sớm Pharmacity Hair Support (Hộp 3 vỉ x 10 viên)",175.000₫,https://tiki.vn/vien-ho-tro-toc-khoe-giam-rung-toc-toc-bac-som-hair-support-hop-3-vi-x-10-vien-p166767639.html?spid=166767642,1,-51%,Đã bán 16
"Viên bổ não Ginkgo chính hãng Nhật Bản - Viên hoạt huyết dưỡng não Ginkgo Leaf Extract Plus 90 viên. Tăng cường tuần hoàn máu não, cải thiện trí nhớ",790.000₫,https://tiki.vn/vien-bo-nao-ginkgo-chinh-hang-nhat-ban-vien-hoat-huyet-duong-nao-ginkgo-leaf-extract-plus-90-vien-tang-cuong-tuan-hoan-mau-nao-cai-thien-tri-nho-p125747743.html?spid=125747744,2,-24%,Đã bán 235
"Bổ gan Puritan's Pride Milk Thistle Extract Mỹ hỗ trợ giúp gan khỏe hơn, tăng sức đề kháng, bồi bổ gan, hỗ trợ giải độc gan, giảm mụn - OZ Slim Store",467.000₫,https://tiki.vn/thu-c-pha-m-ba-o-ve-su-c-kho-e-gan-puritan-s-pride-milk-thistle-extract-90-vien-p271475962.html?spid=271475965,3,-31%,Đã bán 34
Thực Phẩm Chức Năng Nước Đông Trùng Hạ Thảo Bio Hàn Quốc Korea Ginseng Bio - Science (60 Gói),808.000₫,https://tiki.vn/thuc-pham-chuc-nang-nuoc-dong-trung-ha-thao-bio-han-quoc-korea-ginseng-bio-science-60-goi-p727588.html?spid=198957972,4,-35%,Đã bán 4
Tỏi Kim Cương Đông Á - Tỏi Đen Cô Đơn - Hộp 200g,270.000₫,https://tiki.vn/toi-kim-cuong-dong-a-toi-den-co-don-hop-200g-p878387.html?spid=3525329,5,-26%,Đã bán 149
[Made in Japan] Trà Beauty Collagen Orihiro 16 gói,183.000₫,https://tiki.vn/made-in-japan-tra-beauty-collagen-orihiro-16-goi-p185710188.html?spid=251736204,6,-43%,Đã bán 10
Thực phẩm bảo vệ sức khoẻ SOSCOUGH HERBAL,59.200₫,https://tiki.vn/siro-ho-tro-giam-ho-va-bo-phe-soscough-herbal-chiet-xuat-la-thuong-xuan-p158003840.html?spid=158003841,7,-5%,Đã bán 84
"Combo Mật ong tinh bột nghệ Honimore 360g và Mật ong Hoa Vải Thiều 360g - tốt cho dạ dày, đẹp da",223.000₫,https://tiki.vn/mat-ong-tinh-bot-nghe-honimore-360g-va-mat-ong-hoa-vai-thieu-360g-tot-cho-da-day-dep-da-p263275210.html?spid=263275211,8,-37%,Đã bán 4
Viên uống cho người phì đại tiền liệt tuyến Doppelherz Aktiv Prostacalm (Hộp 30 viên),349.000₫,https://tiki.vn/vien-uong-cho-nguo-i-phi-dai-tien-liet-tuye-n-doppelherz-aktiv-prostacalm-hop-30-vien-p19736634.html?spid=19736635,9,-11%,Đã bán 97
Hồng Sâm Lát Tẩm Mật Ong 200g Deadong,855.000₫,https://tiki.vn/hong-sam-lat-tam-mat-ong-200g-deadong-p128876291.html?spid=128876332,10,-26%,Đã bán 114
VIÊN ĐÔNG TRÙNG HẠ THẢO SAFFRON 60 VIÊN,489.000₫,https://tiki.vn/vien-dong-trung-ha-thao-saffron-60-vien-p56793794.html?spid=56793795,11,-47%,Đã bán 50
Viên uống ORIHIRO BBB Best Beauty Body 300 viên/hộp,475.000₫,https://tiki.vn/vien-uong-orihiro-bbb-best-beauty-body-300-vien-hop-p107254773.html?spid=107254777,12,-27%,Đã bán 58
Tinh chất Hàu biển New Zealand GoodHealth Oyster Plus Hỗ trợ tăng cường sức khỏe nam giới - QuaTangMe Extaste,890.000₫,https://tiki.vn/goodhealth-oyster-plus-tinh-chat-hau-60-vien-tang-cuong-sinh-ly-cai-thien-chat-luong-tinh-trung-hang-chinh-hang-new-zealand-p270853010.html?spid=141970906,13,-61%,Đã bán 119
Kẹo Hồng Sâm KGC Cheong Kwan Jang 240g,213.000₫,https://tiki.vn/keo-hong-sam-kgc-cheong-kwan-jang-240g-p91831110.html?spid=91831112,14,-34%,Đã bán 231
Mật Ong Manuka BlueHills Úc 400+ 500gram,3.800.000₫,https://tiki.vn/mat-ong-manuka-bluehills-400-500gram-p56704532.html?spid=56704533,15,-13%,Đã bán 22
Cốm Chất Xơ BobBaby Hỗ Trợ Bổ Sung Chất Xơ Cho Bé Giảm Nguy Cơ Táo Bón Nguyên Liệu Nhập Khẩu Mỹ Hộp 20 Gói,136.000₫,https://tiki.vn/com-chat-xo-bobbaby-ho-tro-bo-sung-chat-xo-cho-be-giam-nguy-co-tao-bon-nguyen-lieu-nhap-khau-my-hop-20-goi-p170127697.html?spid=170127698,16,-20%,Đã bán 34
"Tinh Dầu Tỏi Diệp Chi Gold+ Kháng Sinh Tự Nhiên Trị Ho Cảm Cúm Sổ Mũi, Tăng Cường Đề Kháng Cho Trẻ Em Và Phụ Nữ Có Thai Lọ 30ml",250.000₫,https://tiki.vn/tinh-dau-toi-diep-chi-gold-khang-sinh-tu-nhien-tri-ho-cam-cum-so-mui-tang-cuong-de-khang-cho-tre-em-va-phu-nu-co-thai-lo-30ml-p113039862.html?spid=113039863,17,-5%,Đã bán 450
(1 hộp) La Hán Quả Hòa Tan Hán Linh Loại Ngon 170g,70.000₫,https://tiki.vn/1-hop-la-han-qua-hoa-tan-han-linh-loai-ngon-170g-p263073123.html?spid=263073124,18,-3%,Đã bán 14
"Kim đởm khang - Mẫu mới dạng Lọ tiết kiệm hơn - Hỗ trợ giảm sỏi gan, mật, từ Kim tiền thảo, diệp hạ châu",900.000₫,https://tiki.vn/kim-dom-khang-mau-moi-dang-lo-tiet-kiem-hon-ho-tro-giam-soi-gan-mat-tu-kim-tien-thao-diep-ha-chau-p135572299.html?spid=135572303,19,-52%,Đã bán 50
[Combo 3 Tặng 1] TPBVSK hỗ trợ Tăng Chiều Cao Doctor Plus thương hiệu NuBest,3.450.000₫,https://tiki.vn/combo-3-hop-thuc-pham-bao-ve-suc-khoe-ho-tro-tang-chieu-cao-cua-my-doctor-plus-hop-60-vien-tang-1-hop-cung-loai-p53092015.html?spid=53092016,20,-29%,Đã bán 41
"Multivitas Syrup, Bổ Sung Vitamin và khoáng chất, Siro giúp bé ăn ngon, tăng cường sức đề kháng - Drlife",245.000₫,https://tiki.vn/multivitas-syrup-bo-sung-vitamin-va-khoang-chat-siro-giup-be-an-ngon-tang-cuong-suc-de-khang-drlife-p262023039.html?spid=262023040,21,-10%,Đã bán 3
"Collagen Neocell Types 1 & 3 Mỹ Hỗ trợ cang da, giảm nhăn da, giúp da, tóc, móng tay và khớp khỏe mạnh từ bên trong ra ngoài - Massel Official",321.000₫,https://tiki.vn/collagen-neocell-types-1-3-my-ho-tro-cang-da-giam-nhan-da-giup-da-toc-mong-tay-va-khop-khoe-manh-tu-ben-trong-ra-ngoai-massel-official-p271299398.html?spid=271299406,22,-8%,Đã bán 391
"Tinh bột nghệ nguyên chất Beemo - Đắp mặt, điều trị dạ dày đau bao tử, làm viên tinh nghệ mật ong",69.000₫,https://tiki.vn/tinh-bot-nghe-nguyen-chat-beemo-dap-mat-dieu-tri-da-day-dau-bao-tu-lam-vien-tinh-nghe-mat-ong-p68553320.html?spid=68553322,23,-47%,Đã bán 458
Thực Phẩm Chức Năng Bảo Vệ Sức Khỏe Giúp Da Sáng Đẹp Và Dạ Dày Khỏe Blossomy Lốc 03 chai x 50ml,165.000₫,https://tiki.vn/thuc-pham-chuc-nang-bao-ve-suc-khoe-giup-da-sang-dep-va-da-day-khoe-blossomy-loc-03-chai-x-50ml-p10278480.html?spid=10862893,24,-62%,Đã bán 5k+
"Combo 2 Túi Tỏi đen Kim cương Đông Á 500g + Tặng 01 Hộp trà ngủ ngon - Tỏi đen cô đơn SX theo công nghệ Nhật Bản, chứng nhận chất lượng bởi Intertek và Bộ Y Tế",990.000₫,https://tiki.vn/combo-2-tui-toi-den-kim-cuong-dong-a-500g-tang-01-hop-toi-den-100g-p4444549.html?spid=4444551,25,-2%,Đã bán 359
Dầu Cá Blackmores Oudourless Fish Oil 1000 Mg Hộp 400 Viên không tanh chính hãng Úc mẫu mới 2020,550.000₫,https://tiki.vn/dau-ca-blackmores-oudourless-fish-oil-1000-mg-hop-400-vien-khong-tanh-chinh-hang-uc-mau-moi-2020-p58678128.html?spid=58678129,26,-52%,Đã bán 110
Tinh Chất Hồng Sâm Pha Sẵn KGC Cheong Kwan Jang Everytime Original (10ml x 30 gói),1.952.250₫,https://tiki.vn/tinh-chat-hong-sam-pha-san-kgc-cheong-kwan-jang-everytime-original-10ml-x-30-goi-p110025516.html?spid=269985998,27,,
"Cà Gai Leo Xạ Đen - Viên Uống Bổ Gan, Giải Độc Gan, Tăng Cường Chức Năng Gan (Hộp 60 Viên)",185.000₫,https://tiki.vn/ca-gai-leo-xa-den-vien-uong-bo-gan-giai-doc-gan-tang-cuong-chuc-nang-gan-hop-60-vien-p68250779.html?spid=68250780,28,,Đã bán 2.2k
Tinh bột nghệ VCURMIN Viện Khoa Học Công Nghệ 500g,400.000₫,https://tiki.vn/tinh-bot-nghe-vcurmin-vien-khoa-hoc-cong-nghe-500g-p1711465.html?spid=1711467,29,,Đã bán 1.1k
Viên uống OTIV bổ não (60 viên),590.000₫,https://tiki.vn/vien-uong-otiv-bo-nao-60-vien-p192391715.html?spid=192391716,30,,Đã bán 68
Viên Uống Ăn Ngủ Ngon Dân Khang (60 viên),175.000₫,https://tiki.vn/vien-uong-an-ngu-ngon-dan-khang-60-vien-p76124937.html?spid=271100870,31,,Đã bán 5
Combo 2 Hộp Thực phẩm bảo vệ sức khỏe viên tiêu hóa Bio Probiotic + ZinC,238.000₫,https://tiki.vn/combo-2-hop-thuc-pham-bao-ve-suc-khoe-vien-tieu-hoabio-probiotic-zinc-bo-sung-loi-khuan-va-kem-bio-probiotic-zinc-cai-thien-vi-khuan-duong-ruot-bio-probiotic-zinc-hop-30-vien-p120231099.html?spid=120231100,32,,Đã bán 5
Vitamin tổng hợp nữ One Daily Women's Multivitamin Puritan's Pride tăng sức đề kháng và tăng sức khỏe tổng thể - OZ Slim Store,348.000₫,https://tiki.vn/vien-uong-puritan-s-pride-one-daily-women-s-multivitamin-100v-bo-sung-vitamin-tong-hop-cho-nu-cho-xuong-chac-khoe-ngan-ngua-thieu-mau-tang-cuong-suc-de-khang-ho-tro-tang-cuong-he-tieu-hoa-giup-lan-da-giu-duoc-tre-dep-p112824723.html?spid=112824724,33,,Đã bán 101
Tinh Nghệ Curcumin Nguyên Chất Honeyland 200g,239.000₫,https://tiki.vn/tinh-nghe-curcumin-nguyen-chat-honeyland-200g-p121327702.html?spid=121327703,34,,Đã bán 52
[Kolmar]Thực phẩm bảo vệ sức khỏe hộp 10 chai nước tinh nghệ Nano Condition Curcumin Fast bảo vệ và tăng cường chức năng dạ dày,225.000₫,https://tiki.vn/kolmar-thuc-pham-bao-ve-suc-khoe-hop-10-chai-nuoc-tinh-nghe-nano-condition-curcumin-fast-bao-ve-va-tang-cuong-chuc-nang-da-day-p273291592.html?spid=273291593,35,,Đã bán 6
Viên Hồng Sâm Nhung Linh Chi Đông Trùng Hạ Thảo 120 Viên,811.000₫,https://tiki.vn/vien-hong-sam-nhung-linh-chi-dong-trung-ha-thao-120-vien-p129438174.html?spid=129438175,36,,Đã bán 120
"Viên Uống Hoa Thiên Hộp 30 viên giúp cân bằng nội tiết tố nữ, hạn chế lão hóa da , bí quyết cho chị em trẻ đẹp (Sắc Ngọc Khang)",173.000₫,https://tiki.vn/vien-uong-hoa-thien-hop-30-vien-p132899344.html?spid=132899346,37,,Đã bán 25
"Bổ gan Puritan's Pride Milk Thistle Extract Mỹ hỗ trợ giúp gan khỏe hơn, tăng sức đề kháng, hỗ trợ giải độc gan, giảm mụn - QuaTangMe Extaste",365.000₫,https://tiki.vn/bo-gan-puritan-s-pride-milk-thistle-extract-my-ho-tro-giup-gan-khoe-hon-tang-suc-de-khang-ho-tro-giai-doc-gan-giam-mun-quatangme-extaste-p271475193.html?spid=103505001,38,,Đã bán 72
"Viên uống ngừa nám, tàn nhang Transino Whitening 240 viên",1.635.620₫,https://tiki.vn/vien-uong-ngua-nam-tan-nhang-transino-whitening-240-vien-p253089454.html?spid=253097588,39,,Đã bán 7
Canxi 600mg và Vitamin D3 Kirkland cho xương và răng - QuaTangMe Extaste,381.000₫,https://tiki.vn/thuc-pham-chuc-nang-vien-uong-bo-sung-canxi-600mg-va-vitamin-d3-cho-xuong-va-rang-kirkland-calcium-600mg-with-vitamin-d3-500-vien-p270846005.html?spid=8193201,40,,Đã bán 1.2k
