title,price,link_item,index,discount,sales,category
"Áo Khoác Nam Jacket Cổ Bẻ 5S FASHION, Vải Gió Phom Regular Fit, Thiết Kế Trơn Túi Dáng Hộp, Khóa Kéo Tiện Lợi (AKG23011)",500.000₫,https://tka.tiki.vn/pixel/pixel?data=xI2GvFv-aPoHiAGwxUupgYWhC3brLgaqtIJTtB5NCH6gquEXjKvPFwaZRnALTQi__SeWTFViywUOvxu-frribUAcvigBsZmuW2zpTCBuwCiYhXvsn7xz4aKHEdzFIJoRAW5s8QRTEaMV3Zpl2UmOBb7cKAV9mgerfkgLLNLgx1OojLk0yl001Rmt5ZdD0OTW1MA7a2BVOnJEz-95LnQm-shlwe7l09J2_ZItmg51kiL4w5YOgUlSbcTkKuUdVh6BiNEbxWxEO3hljS5I-aUBUiRkYBKC-i8hQZpgKXg6xj40JpOZ6JtH1SatcnTF2bGFKUsx1r3LC4sT1Oemp5631D_yQs4Ly7XoH5PK_RIYAabmyglAQ6pt10RFs1zT_FKx66jMJLJIFPkLqmbVsWc3fcrBQhXeofrLRKsPtlRachHdy9H_jQTguruKq0B0DwP2e7wjxgt-GrrmB7QyGJ745PQS9SjXa-SUeQ8H_e_ys6b0OWDH6S_vfwKra-ZTH_GYsioQpo-elTJAMurHhHdXVXZmLxAGOQAGjuAkPjxtLY2Y8Libfuoa4r8APrTHF_rmrNzENpXnx9DKT1KAAvQmkp6ylhY5DWO2vrbiZ2UInGPdAvJXwynI2kI0xYPn6Xs-FNOkL_YkCs8Sf48Zj2G04R-YGKa11qJfXZtohA19shJcgJS1rQLIwuGL7yxs73F7Np9fpOWTDGaTe7DWsrttAWVqT4pXGSr6TAqizR3kEN2eFnfTpdOxKJm-RBo--zdBca7IlxH871sj1_1gNY8Bg84OwpnHIWlcZFey4lS2dzSZFUPMDTA7-JEft4IDXJbpl_30ljVM4M-ia9efFl5JIeo5pcJmIY2Y0FuN3-Qv2Eo29-TaBfRMI039hUdkWnu8wo6KRrWLnOrhTOV-4Y4uC5eLDNMPG5cnHfINKTnxIOHuPLbMADfQaCtBQTvHcvvuuBuv1MdZKso299N7RhpWofSqROR9h5xG_6DPjA0UlqIz8O4QDOpOuIHdsp6DCXWo7vukIhUJjF3vDaEcTK_ht-cGaAJlGJ9x3vEUT0EuV6RXz2YaB228ten7M9S12wO7rVjEOP6xghuS-gcWdGXFwau5bOz_R53uMMcsNjd56_bLEg&reqid=buUUmZb1yJRbJwpR&type=CLICK&pos=1,1,-35%,Đã bán 18,aovest
"Áo Phao Chần Bông Nam 5S FASHION PREMIUM, Chất Liệu Cao Cấp, Bông Chần Dày Dặn, Siêu Ấm, Thiết Kế Trơn Basic (AKC23016)",519.000₫,https://tka.tiki.vn/pixel/pixel?data=wt8eOjMyfIpLK1nx2WDQ3xXawZZDw8AmevC74Wh_MHKjiIFR1T8_e9VsSJt9OfG2GKrdpG_xPJGEGAoQ0KqRMX7DCUK6IWMJP0v-nuOJLjosHg_RsNY0tAB0BrBfjI5wIPIL-cKzadES8Bz2jbN5LarW9Ik5TLJeHCAwR_1Y-1W2BFljepMFgfDe4_vBYVGhS35R89d50E7zF425I0zVG4rTRFxVR-buV6P9el7JiZnsH51xuyHaFecLHYac24oCYK2GmKQKu2SIBUPpGi_mAAlFPE3FGchB22wE91A_V5mOLRQIcl1m02z9Ix7abme-hoWruioII67Lsx_Dai7yIhWh5yX1rkadsr9eVFDbTfZKrzyIml2kDpfUk7qLS6zb7NSK7o9rodeK7PSrWyl1pnI1fK9hcmV3FJlinmyD2HeuApIwaHNfXanmIbm7m_pSWAXXRByXT-_Pgm2_HyHZCBddw0nii-321WiVyVDbtorV4tpnfbCSV3QM0eaQ6DkNAOryzWOO77m74Zx4UGUd7aIm1rs32ukuxTNQTZRoesnSXmp84fS4UJzqcP0vtmNXHjONfvgU5JZYEfnKyGvkSNofGA0HPsPzQSJyd5s97ekZTJc5a10oFqwcM_FyICXJWz-rjfbUtZGMJkzGd_JPB5ouPWyBmNSE7zPUk9NVtPapW_wrKLf-ft9jMzDvhc2iLbMU4Ez16J62L1lS1K1tS7T2MxBo_RxBfzR7C_1CJiQ37H_lHgO46MuEJNs1jc15i4VlFwSeQ-hA5hFEm57vOvr_-r4khTrWkhTa7iI6__RIzP03EuLeJVLJ55Kibt580_DmeqXOUinDX7n9zbkR3dVEydzvJZCrkMqCnpjMfRjVRQvIAFvmSbxog33raDxBWwjJBMgybHWFrakEKBu-evl8sVgu_RG0VdGPNZZ8zHAK_sLkMbmN-qbWwJJSBYD750LNK14xr-sSZsWdqrctgOwybH-YH2-pTJTaLq1DxCnF8OqfDE83dU4X2oB6DzoA1JR9fPEutOB5Jgdu5InB4QG1cC3laWNJZnbxMFL4AL9rjCCioZVyg7zR-lP-8qnLaeywDlHHqKInuRe6xKoFFD2J4ww&reqid=buUUmZb1yJRbJwpR&type=CLICK&pos=2,2,-48%,Đã bán 23,aovest
"áo vest nam phong cách Hàn quốc siêu ngầu, trưởng thành và phóng khoáng, năng động - H60",357.500₫,https://tka.tiki.vn/pixel/pixel?data=jRcpRSXlV_x951Br1MnOrXynVEuPBRgnS6yZyvV85LJY9tl0gNy0V9a6FDvjWUZtZ7l6fHYj3yKNOMtg9zZLKKXVdz91xvcVd4TvTjp-0zhqI8FYulwioqAMSLV_gt2yse2ZeH5yjkWtb7pXkkCm0gPDVDxbH1m49lvk2rnDrV8jKI5AJGWcF08_ykFwNKJB9kIXllKQamN0UBwBMpFnzYehd-qpjs-1TU_ZXKFHmB_ZkIeGgowgb2XLMlVyyHmjvt_JbW-TtDL1dJmMpWaXwarxTtyci0RrKJNgG1I-E1I-Irldp073VdGMky1kDqlY6-MvqcssLS04vhrygMQ8f_n_JeJoOkFvLVBTnDfyNIrpPL41-6eTdTRho2hAeKM5EzA6Ihbv0lTfo8rM7i51Zmxtu-vPsg5PzpG5UveZJrHhLI7ko3F6D7f_e6JmmK5ZoHjhYm9WsHgCV7gqKfoluDY3ccIJD4ljy5TjkWmU-EBxsy9MmAIf3ho_D9xB2twwxDcwt6yq_b_dETZ1ss98oLNdRLeotFQUcDHb5vHeb4S7smP5KAWZlRu1LZObX_8yJDgt0y4CLT5K2sLj1k7q59AwUYMlpuJ7BCtqIyaxABtPAviJe59zc1Qm5xl3i253vbAy3rM-ALtVjY3l_CzPte89N9MM-FS7swAoCzn71cdiqpEHrwPCzfuJzZTvEjTCf4A0j44GJiRvAW9j-I_l8eva7FrBtCjl8m61BIJMnNnBgQJW9_5OHwbr1G9BMVhs0uSxJ_PlGB1aFFsx7uKu-niNNQN9cx1yphj-l2qS5Kxu3es5_Ks7t-jsB9efjGz3wmmpwHcXWltPlJzo0GXmPzYz7tbHm2jaJXwxWSNzfaCz_Jf2yzJyoF8OxWX5J7Oa6xdk3y94lgEDlGCvbyjBt05_d0waKFIl4nOOAn2JCqXG-fadkg5pREErYTNywI5SlCc1FU-f3CyX-enQxGdVfksDY4V6aDzvr2y-KTlhwUfQ9QITu-uKwDaG761xdbyR4wT2AzeUqRcY_Kp6fG7QbVAs_2JIhIw4eg_wdaJJZPQd&reqid=buUUmZb1yJRbJwpR&type=CLICK&pos=3,3,-35%,Đã bán 10,aovest
"Vest Nam áo vest nam dài tay chất liệu Polyester ít nhăn, sang trọng lịch lãm, vừa đi chơi, vừa đi làm. mã H60",350.000₫,https://tka.tiki.vn/pixel/pixel?data=XT_XmTXWe3CTKXHGZ0W6m7PfUi_SFzRoFZ1QyvTnqXpyK8W5anuvC7p2Q7nJm1b8mizFGvEsjCT94Lk-CIWQXOD9nxtVnsQvrrZ4yJSlsxSPZgZIXymfCvIZcIV0nsGkXMjW3xa8EOwsur0m3yVt9WwJp8vbGzRPBvm4BxBEI7B-yeCku87gEAtBieFkkHLfoarLuWecCaduK62eOFk2f0rtCDP5AzM-N4mCnCH2hEjbZ919LBToem_RNfuh7vrn0fq_pdGI6OgKZjjGhGN9Q9wblTJT7u26wBNNlhyQuKUihB_Fx2t8QjAwzKHYp7eAEPIBC8yz92TET6SK2P495_Ne3f2vTlFugM1HC_jdDxE3rdNSbCxwAlWGfa2p9mdg3pt-sv3_9y3qPeG-CprIun-BV6pAAWxDwWCjX7TBiEX-HrNykSlX6C3R7ATwCoZUXF-Z7bn47xhPATwwX4iLhNrZ37Af55Kx5KmZimlDHeKXy4FJsqMUFuBkoRZlD3x0ljOtu9AhBXVphixkoPME6pgEjgHcylDxJYHHjit31RofkZD5-oxiKNC2yZtt3LI8cqwHPAyjm7_BBMUE7UiGFuOQvbWTXMmqaPp71VWgv0s8ioqdaBfql_QynwIPQ-3rGQypM3lYlpYR9XZ2leIZ5_CJMtu32Ti9t78Ig4n9prSqAPtUINRGKwJbqUlfRj4ITvKXg1DMhRDefWOfFPh-Tul0xOU2DEpdvNRhgMdU3ea9-6rjb8YvNJ_fGCF605oskUbGUOe2rsFLNkjk__AJewC1xTdoQOsRMoYyGpGnJMlVxHOepRB8XOgSs4vr9J3uTn6jUAN1kjT2wTIyosAfdoJ1ZsRAoBUlOjUaHKR30GvItwBiJHmDiNmF-HNNJZxDt5yDd91E2hJW3ELafPmazm6evpKkleyY3QhBbVlhv6TM6DKCRKXh934OvOKT_nzkFwqfZFY0PBKq4NYbHjpc5tLwG0svqkhcTOGD56VqGZQNjeHOdRAAx9HGbK8NWSllbhqWcSRzCfMFsn815Xk3kuvTWnDK1-Zik2RaPT-dHBQiTIIScKsmE_7Z4yy6FYTekCfSpgK4J7Fal2fwP9_MPCM&reqid=buUUmZb1yJRbJwpR&type=CLICK&pos=4,4,-31%,,aovest
Áo khoác Nam chất liệu Kaki dày dặn đứng Form trẻ trung thanh lịch mã H30,285.000₫,https://tka.tiki.vn/pixel/pixel?data=kCTmIW45IHqsKoyMKb4No5a9WuCLxLnnejHhlUxNKq4s_kpGP-WxV0c60bRfS94YZIvjdXWuSXx63siE9DUv9_7_FBN_RzU-V965bLZd8sgoBDiHlBUJMd2oBPqsC0LAk2rsCZW_NIpb4ATsWa7VoJGpMQOXB1MYeifsHg2cN8SKo2Civhz5umGWMTEBBU-HZwDdQA3r94Nk127eUX1t8K2kJUPQDmSPjUQObaV0jnLZB40-NBonKM68HrGvaVG-5bbaBTL4It6vhlVX3LtbMNybb04hp8ofVw7XxVY56EFpKx_Jp4g--Zs9FdODupIpVb1tn99LLI4UN2MlTgKVcLN2aAI5eACXnv-mLtMFK496dNV8it1E7n77gVPYqz5aVEZXi4a_ZIhyU_PjEaL9XmOucAv5L4uOWkhH44tzhTYSxtv6i-XaNIXxsLV8AuLhg5-eLMIWRm85A046hfsQeknMXQfz2B32bXVVyoGbwhgVvmuNPFmKjWH5vrlPNEE02nOzQXEeh_B5RwAxZ7R3XKoHAy_gus8ltLZZvp6pzoguBE9fFInlP5icCAHRXMRwtpu-NTHPLznSjEHpmeDy7tpsjSn-cWZ7YCwRlvhtsvvyE0fR5WOYYJXlY8rBzh34VJutMUrq2A9duitqE9xh3lwirXs2gZjTLLKdyiGuDWd3L74RAcLv64dEnT_uZZOvlmZMmYj6dT0VqXNRTcch_G3yC5fzqujZZrQ74pC7yRf4l_1Vtl9Sicn3R2IvzZDnZHQpWIJWWn98irxJmEWHo8OzVR8p77Qdq2rPt4LXr2iKzixzM1476qcf0GrJFnF65pbb1sZiMOBeT8zI5zkxnZ_lrvfVrpGVuD2xun-dDC6i95eE1BtQVQ00N3S0wjI84H3h8slYcB28fJRbxVcC2Ofevgx1RlWrzabod0NXolyfsxd5xFX2QBNKqVtrDLYpg6hNKhhGSTYV1AxJpj5vDjcJTNp2ChLlTJv17pH6x8sgM_gUPhNxoGCFKfXzbzKsh_A9JAYIZ1qmXmOdsfNbEAvntm-Fjtbcofvp99fvFbw&reqid=buUUmZb1yJRbJwpR&type=CLICK&pos=5,5,-38%,,aovest
Áo Khoác Kaki Nam Hai Lớp Simple Cao Cấp ShopN6-KK35,169.000₫,https://tiki.vn/ao-khoac-kaki-nam-hai-lop-simple-cao-cap-shopn6-kk35-p16712370.html?spid=16712385,6,-33%,Đã bán 4.0k,aovest
"Áo Khoác Dù Nam Phối Nón, Dù Thái Nhập Khẩu ( Tặng 1 áo khoác dù màu ngẫu nhiên ) Dokafashion Siêu Nhẹ Cao Cấp Dành Cho Đi Nắng Đi Mưa EZAK24",209.000₫,https://tiki.vn/ao-khoac-du-nam-dokafashion-sieu-nhe-cao-cap-danh-cho-di-nang-di-mua-ezdm19-p90984718.html?spid=90984728,7,-39%,Đã bán 49,aovest
Áo khoác dù UV mẫu mới 2024 ( Tặng 1 áo khoác kaki ) - Áo Khoác Chống Nắng đến 98% Chống Thấm Nước Có Túi Trong Kèm Túi Khóa Kéo Phong Cách Trẻ Trung,199.000₫,https://tiki.vn/ao-gio-nam-ao-khoac-nam-chong-tham-nuoc-co-tui-trong-kem-tui-khoa-keo-phong-cach-tre-trung-p71985742.html?spid=71985760,8,-16%,Đã bán 401,aovest
Áo khoác nam áo gió vải dù DOKA STORE cao cấp 2 lớp chống nắng tia UV và chống nước khoát phong cách Hàn Quốc - PS21,128.000₫,https://tiki.vn/ao-khoac-du-nam-chong-nang-truoc-nuoc-cao-cap-ps21-p76121693.html?spid=76121699,9,-39%,Đã bán 172,aovest
Áo Khoác Nam Áo Khoác Dù Nam Nữ Hai Lớp Chống Nước Chống Nắng Chống Gió Phối Nón Cao Cấp QD54 - ShopN6 (Nhiều Màu),159.000₫,https://tiki.vn/ao-khoac-nam-ao-khoac-du-nam-nu-hai-lop-chong-nuoc-chong-nang-chong-gio-phoi-non-cao-cap-qd54-shopn6-nhieu-mau-p73214429.html?spid=73214439,10,-25%,Đã bán 422,aovest
