title,price,link_item,index,discount,sales,category
GIÁ XƯỞNG - Áo dài cách tân gấm thun,110.000₫,https://tiki.vn/gia-xuong-ao-dai-cach-tan-gam-thun-p108287881.html?spid=108288192,1,-12%,,botrangphuc
GIÁ XƯỞNG - Áo dài cách tân gấm in 3D,220.000₫,https://tiki.vn/gia-xuong-ao-dai-cach-tan-gam-in-3d-p108289611.html?spid=108291082,2,-12%,Đã bán 2,botrangphuc
Jumpsuit họa tiết chấm bi đẹp,215.000₫,https://tiki.vn/jumpsuit-hoa-tiet-cham-bi-dep-p25770315.html?spid=25770317,3,,Đã bán 4,botrangphuc
"Set Bộ Tập Gym, Yoga Dệt Kim Naqi FY-228 Phối Sọc Duyên Dáng Quần Cạp Cao Ôm Bụng Bra có Mút Lót Cao Cấp",680.000₫,https://tiki.vn/set-bo-tap-gym-yoga-det-kim-naqi-fy-228-phoi-soc-duyen-dang-quan-cap-cao-om-bung-bra-co-mut-lot-cao-cap-p144521453.html?spid=144521500,4,,,botrangphuc
,,https://tiki.vn/set-bo-thun-he-the-thao-phong-cach-thoi-trang-ao-thun-quan-ngan-cuc-chat-thoi-trang-kme-fashion-p165889956.html?spid=165890030,5,,,botrangphuc
"Sét Bộ Tiểu Thư Áo Sơ Mi Tay Dài Cột Nơ Lưng, Phối Chân Váy ,Váy Có Quần Trong Thời Trang Nữ Phù Hợp Mọi Phong Cách",165.000₫,https://tiki.vn/set-bo-tieu-thu-ao-so-mi-tay-dai-cot-no-lung-phoi-chan-vay-vay-co-quan-trong-thoi-trang-nu-phu-hop-moi-phong-cach-p187845640.html?spid=187845646,6,,,botrangphuc
JUM PHỐI NƠ SIÊU CUTE 2 MÀU Y HÌNH,165.000₫,https://tiki.vn/jum-phoi-no-sieu-cute-2-mau-y-hinh-p213516899.html?spid=213516901,7,,,botrangphuc
"NGUYÊN SÉT ÁO CÀI NÚT THẬT KÈM CHÂN VÁY (CÓ LÓT, CÓ DÂY KÉO BÊN HÔNG, LƯNG SAU THUN) 4 MÀU Y HÌNH",195.000₫,https://tiki.vn/nguyen-set-ao-cai-nut-that-kem-chan-vay-co-lot-co-day-keo-ben-hong-lung-sau-thun-4-mau-y-hinh-p206641846.html?spid=206641848,8,,,botrangphuc
"Sét đồ bộ đùi nữ mặc đi làm đi chơi mùa hè mẫu mới đẹp có bigsize, bộ đồ đùi sort nữ mặc ơ nhà bao mát mẻ",205.000₫,https://tiki.vn/set-do-bo-dui-nu-mac-di-lam-di-choi-mua-he-mau-moi-dep-co-bigsize-bo-do-dui-sort-nu-mac-o-nha-bao-mat-me-p259497171.html?spid=270751995,9,,Đã bán 1,botrangphuc
,,https://tiki.vn/ao-dai-cach-tan-bet-vai-cao-cap-kem-quan-mau-y-hinh-p207767289.html?spid=207767291,10,,,botrangphuc
SET 2 VÁY TRẺ TRUNG THU ĐÔNG _ TB 329.21,669.000₫,https://tiki.vn/set-2-vay-tre-trung-thu-dong-_-tb-329-21-p60225297.html?spid=60225300,11,,,botrangphuc
Jumsuit Đỏ Tay Dài Đẹp Nhất,750.000₫,https://tiki.vn/jumsuit-do-tay-dai-dep-nhat-p189138986.html?spid=189138994,12,,,botrangphuc
,,https://tiki.vn/g02-ao-dai-gam-to-hoa-tiet-dong-tien-ao-dai-trang-do-thoi-trang-thiet-ke-cao-cap-p208741319.html?spid=208741360,13,,,botrangphuc
bộ jumpsuit nữ/ đần/váy sang chảnh hot mùa hè 2021 màu xanh,225.000₫,https://tiki.vn/bo-jumpsuit-nu-dan-vay-sang-chanh-hot-mua-he-2021-mau-xanh-p100122584.html?spid=100122588,14,,Đã bán 6,botrangphuc
LM12 Áo dài đỏ lụa tuyết mịn đính kết tủa hạt cao cấp thời trang,700.000₫,https://tiki.vn/lm12-ao-dai-do-lua-tuyet-min-dinh-ket-tua-hat-cao-cap-thoi-trang-p208741394.html?spid=208741396,15,,,botrangphuc
SET VEST 2 MÓN THANH LỊCH,450.000₫,https://tiki.vn/set-vest-2-mon-thanh-lich-p155637307.html?spid=155637315,16,,,botrangphuc
HOA RUBAN ĐÍNH ÁO DÀI,130.000₫,https://tiki.vn/hoa-ruban-dinh-ao-dai-p76129093.html?spid=76129094,17,,,botrangphuc
,,https://tiki.vn/set-vay-xep-ly-mix-ao-so-mi-co-v-cuc-boc-p159011947.html?spid=159011949,18,,,botrangphuc
Set váy áo nữ phong cách Hàn Quốc,600.000₫,https://tiki.vn/set-vay-ao-nu-phong-cach-han-quoc-p152569353.html?spid=152569355,19,,,botrangphuc
SET BỘ THỜI TRANG NỮ,330.000₫,https://tiki.vn/set-bo-thoi-trang-nu-p177928367.html?spid=177928371,20,,,botrangphuc
"Áo Dài Truyền Thống Đèn Lồng Phối Hoa, Hồng Hạc Duyên Dáng Lụa Habutai A23 - Áo Dài Xuân Quỳnh",165.000₫,https://tiki.vn/ao-dai-truyen-thong-den-long-phoi-hoa-hong-hac-duyen-dang-lua-habutai-a23-ao-dai-xuan-quynh-p213796614.html?spid=213796829,21,,,botrangphuc
Áo Dài Truyền Thống Hoa Mẫu Đơn Trắng Đỏ Lụa Habutai A20 Xanh Cổ Vịt - Áo Dài Xuân Quỳnh,105.600₫,https://tiki.vn/ao-dai-truyen-thong-hoa-mau-don-trang-do-lua-habutai-a20-xanh-co-vit-ao-dai-xuan-quynh-p213775358.html?spid=213775582,22,,,botrangphuc
Siêu Phẩm Áo Dài Truyền Thống Phối Ombre Màu Đen Đỏ Lụa Habutai A17 - Áo Dài Xuân Quỳnh,342.400₫,https://tiki.vn/sieu-pham-ao-dai-truyen-thong-phoi-ombre-mau-den-do-lua-habutai-a17-ao-dai-xuan-quynh-p213779563.html?spid=213779665,23,,,botrangphuc
