title,price,link_item,index,discount,sales,category
Chân Váy Caro Đỏ Phối Đen,472.500₫,https://tiki.vn/chan-vay-caro-do-phoi-den-p68549208.html?spid=68549214,1,,,chanvay
(big size) chân váy nhún ly dài công sở siêu xinh C091,150.000₫,https://tiki.vn/big-size-chan-vay-nhun-ly-dai-cong-so-sieu-xinh-c091-p146774300.html?spid=146774334,2,-51%,Đã bán 4,chanvay
Chân Váy Bút Chì Vải UMi - Chân Váy Công Sở Co Giãn 4 Chiều,120.000₫,https://tiki.vn/chan-vay-but-chi-vai-umi-chan-vay-cong-so-co-gian-4-chieu-p114437624.html?spid=114437628,3,-43%,,chanvay
(BIG SIZE) Chân váy chữ A phối cúc trong có quần C055,150.000₫,https://tiki.vn/big-size-chan-vay-chu-a-phoi-cuc-trong-co-quan-c055-p146778099.html?spid=146778172,4,,Đã bán 11,chanvay
,,https://tiki.vn/big-size-chan-vay-chu-a-cong-so-xe-truoc-c002-p146773096.html?spid=146773110,5,,,chanvay
HÀNG NHẬP - CHÂN VÁY XẾP LY LƯNG THUN,378.000₫,https://tiki.vn/hang-nhap-chan-vay-xep-ly-lung-thun-p164424705.html?spid=164424708,6,,,chanvay
Chân váy xếp ly 2 tầng có may kèm quần trong - Trắng,65.000₫,https://tiki.vn/chan-vay-xep-ly-2-tang-co-may-kem-quan-trong-p173731671.html?spid=173731673,7,,,chanvay
VÁY CHỮ A XK,231.000₫,https://tiki.vn/vay-chu-a-xk-p116995652.html?spid=116996096,8,,,chanvay
"Chân váy midi giả jean viền chỉ nổi,xẻ tà khuy trước chun sau siêu rễ thương 5343",101.000₫,https://tiki.vn/chan-vay-midi-gia-jean-vien-chi-noi-xe-ta-khuy-truoc-chun-sau-sieu-re-thuong-5343-p259548339.html?spid=259548349,9,,,chanvay
,,https://tiki.vn/chan-vay-but-chi-hien-tran-boutique-phoi-2-khuy-ma-crom-sang-trong-quy-phai-chat-vai-cao-cap-p99026358.html?spid=99026362,10,,,chanvay
OLV - Chân váy Zenia Button Skirt,320.000₫,https://tiki.vn/olv-chan-vay-zenia-button-skirt-p270925267.html?spid=270925271,11,,,chanvay
Chân váy xếp ly 2 tầng(umi)#váy 2 tầng ly nhỏ,89.000₫,https://tiki.vn/chan-vay-xep-ly-2-tang-umi-vay-2-tang-ly-nho-p253392790.html?spid=253392814,12,,,chanvay
,,https://tiki.vn/chan-vay-xe-truoc-khuy-doc-anh-that-trai-tham-video-quay-p113360223.html?spid=113360286,13,,,chanvay
Chân váy ngắn chữ A tím màu loang DALLA,247.000₫,https://tiki.vn/chan-vay-ngan-chu-a-tim-mau-loang-dalla-p96408029.html?spid=96408041,14,,,chanvay
Quần giả váy nữ ngắn cạp cao chữ A REVERCLOTHINGS Tweed cao cấp Joy Skort,270.000₫,https://tiki.vn/quan-gia-vay-nu-ngan-cap-cao-chu-a-reverclothings-tweed-cao-cap-joy-skort-p187383089.html?spid=187383105,15,,,chanvay
CHÂN VÁY CARO SCOTLAND (bigsize_giare),250.000₫,https://tiki.vn/chan-vay-caro-scotland-bigsize_giare-p155887287.html?spid=155887317,16,,,chanvay
Chân váy công sở dài bigsize màu đen ôm body đáp ren dài 63cm,279.500₫,https://tiki.vn/chan-vay-cong-so-dai-bigsize-mau-den-om-body-dap-ren-dai-63cm-p96750063.html?spid=96750120,17,,Đã bán 1,chanvay
,,https://tiki.vn/chan-vay-jean-rach-gau-dai-qua-goi_chan-vay-bo-rach-xe-truoc-p221712293.html?spid=221712323,18,,,chanvay
Váy voan trễ vai,200.000₫,https://tiki.vn/vay-voan-tre-vai-p144045497.html?spid=144045547,19,,,chanvay
"Chân váy chữ a dài dây rút phong cách ulzzang xinh xắn , Váy chất liệu kaki dài + lớp lót trong , Ms 11",90.000₫,https://tiki.vn/chan-vay-chu-a-dai-day-rut-phong-cach-ulzzang-xinh-xan-vay-chat-lieu-kaki-dai-lop-lot-trong-ms-11-p210424670.html?spid=210424676,20,,,chanvay
