title,price,link_item,index,discount,sales,category
Đầm babydoll tầng dễ thương cho nàng đi chơi dạo phố cực xinh,173.000₫,https://tiki.vn/dam-babydoll-tang-de-thuong-cho-nang-di-choi-dao-pho-cuc-xinh-p170917764.html?spid=170917768,1,-50%,,damnu
Đầm Bigsize 60-85 ký,175.500₫,https://tiki.vn/dam-bigsize-60-85-ky-p95137204.html?spid=95137218,2,-19%,,damnu
váy đầm dạ hội phi lụa lệch vai,400.200₫,https://tiki.vn/vay-dam-da-hoi-phi-lua-lech-vai-p121039073.html?spid=121039077,3,-12%,,damnu
Váy đen trễ vai FREE SHIP Váy đen cá tính dáng xoè dự tiệc đi chơi dạo phố sang đẹp MN138 - Đầm Váy Mina,240.000₫,https://tiki.vn/vay-den-tre-vai-free-ship-vay-den-ca-tinh-dang-xoe-du-tiec-di-choi-dao-pho-sang-dep-mn138-dam-vay-mina-p95132573.html?spid=95132631,4,,Đã bán 5,damnu
,,https://tiki.vn/vay-len-body-co-lo-dang-dai-sang-chanh-p118139898.html?spid=118139962,5,,,damnu
Sét váy yếm caro va áo phong cách hàn quốc chun eo,227.000₫,https://tiki.vn/set-vay-yem-caro-va-ao-phong-cach-han-quoc-chun-eo-p118139490.html?spid=118139544,6,,,damnu
"Đầm dự tiệc thiết kế dáng xòe-Đầm tafta đen 2 lớp phối ren chân A sang trọng,thanh lịch đi tiệc,đi làm hay đi chơi",545.000₫,https://tiki.vn/dam-du-tiec-thiet-ke-dang-xoe-dam-tafta-den-2-lop-phoi-ren-chan-a-sang-trong-thanh-lich-di-tiec-di-lam-hay-di-choi-p155653180.html?spid=155653184,7,,,damnu
Đầm xòe dự tiệc đính hoa duyên dáng,174.000₫,https://tiki.vn/dam-xoe-du-tiec-dinh-hoa-duyen-dang-p59450720.html?spid=59450736,8,,Đã bán 70,damnu
Váy hoa xoè cổ vuông-Demi Dress-V10-wfstudios,350.000₫,https://tiki.vn/vay-hoa-xoe-co-vuong-demi-dress-v10-wfstudios-p176156499.html?spid=176156505,9,,,damnu
,,https://tiki.vn/dam-vitage-co-tau-khong-tay-vat-cheo-nhe-nhang-ds85-p35940603.html?spid=35940609,10,,,damnu
Đầm Suông Nữ Trung Niên Tay Ngắn Phối Nút LB-19,267.000₫,https://tiki.vn/dam-suong-nu-trung-nien-tay-ngan-phoi-nut-lb-19-p9968818.html?spid=51720080,11,,Đã bán 11,damnu
