title,price,link_item,index,discount,sales,category
Bộ đồ bơi bikini nữ 2 mảnh dài tay chống nắng kín đáo đi tắm biển - B.34,158.000₫,https://tiki.vn/bo-do-boi-bikini-nu-2-manh-dai-tay-chong-nang-kin-dao-di-tam-bien-b-34-p243025954.html?spid=243025958,1,-25%,,trangphucboi
Bikini Đồ Bơi Đồ Tắm Biển Sexy,152.000₫,https://tiki.vn/bikini-do-boi-do-tam-bien-sexy-p263409888.html?spid=263409895,2,-21%,,trangphucboi
Set Bộ váy Bơi Nữ Croptop Size 45 Đến 72kg,312.000₫,https://tiki.vn/set-bo-vay-boi-nu-croptop-size-45-den-72kg-p184134599.html?spid=184134601,3,-11%,Đã bán 2,trangphucboi
Váy Bơi Nữ Liền Thân Đi Biển Che Khuyết Điểm,218.000₫,https://tiki.vn/vay-boi-nu-lien-than-di-bien-che-khuyet-diem-p263406574.html?spid=263406585,4,-11%,,trangphucboi
,,https://tiki.vn/do-tam-do-boi-nu-dai-tay-p271474994.html?spid=271475000,5,,,trangphucboi
"Bộ đồ bơi bikini nữ 2 mảnh kín đáo quần short áo tay dài đi tắm biển, tập yoga, tập gym - B.31",158.000₫,https://tiki.vn/bo-do-boi-bikini-nu-2-manh-kin-dao-quan-short-ao-tay-dai-di-tam-bien-tap-yoga-tap-gym-b-31-p253709853.html?spid=253709858,6,-24%,,trangphucboi
Bộ đồ bơi bikini nữ kín đáo đi tắm biển giấu bụng váy liền áo dài tay - B.42,158.000₫,https://tiki.vn/bo-do-boi-bikini-nu-kin-dao-di-tam-bien-giau-bung-vay-lien-ao-dai-tay-b-42-p187026277.html?spid=187026281,7,-24%,,trangphucboi
Bikini Đồ Bơi Đồ Tắm Biển 2 Mảnh Sexy,152.000₫,https://tiki.vn/bikini-do-boi-do-tam-bien-2-manh-sexy-p263409212.html?spid=263409254,8,-21%,,trangphucboi
Bộ đồ bơi bikini nữ hai mảnh cộc tay kín đáo tôn dáng giấu bụng đi tắm biển - B.52,150.000₫,https://tiki.vn/bo-do-boi-bikini-nu-hai-manh-coc-tay-kin-dao-ton-dang-giau-bung-di-tam-bien-b-52-p261996198.html?spid=261996206,9,-25%,,trangphucboi
,,https://tiki.vn/bo-do-boi-bikini-kin-dao-nu-hai-manh-di-tam-bien-ao-dai-tay-kem-vay-b34-p187594870.html?spid=187594874,10,,,trangphucboi
"Bộ đồ bơi bikini nữ 2 mảnh kèm áo khoác đi tắm biển, đi tập yoga, đi tập gym phong cách Hàn Quốc hot trend - B14",173.000₫,https://tiki.vn/bo-do-boi-bikini-nu-2-manh-kem-ao-khoac-di-tam-bien-di-tap-yoga-di-tap-gym-phong-cach-han-quoc-hot-trend-b14-p253232506.html?spid=253232510,11,-24%,,trangphucboi
