title,price,link_item,index,discount,sales,category
Quần lót nữ không đường may iBasic V189,73.000₫,https://tka.tiki.vn/pixel/pixel?data=cZ7_1ZPv_Ac43xHp-akl7KY3cg0mZ47AI1DnGX_VR6hKVfyPbq3LLOJ0xkD9UeKOGmaWs3FvHlSnHkVNUW-erLRQwuI-1y4Ah07trkajSmrEEjT4wI6KdUJAMoSXj0tj0fulKlzvbey0UbTepxweuVMVwszwW629i4gEcURURhnrw0wT_eDbUOQVIK-zOAAIur3tdV5M_49ZPWAP5J4I0Sgu1VpS19NTnDtIs5zvE_Qoxn_wXWlhQ0Q9rdsfHHHCyVBKYutuKQVpP2GdQMGZI4-dZGi6p_p0Lssz94n6dCQA4hS3AyK0ln_IO9eqbKvpTAqSPWXYgX09Siz7i3GqJxiOCdgiCkfVLvKoPaIfaYdWopL_Mqj8BqRnGnAv2oCejlPvLWy32RzC6DXcjgFFcDOu1Sa7T9zCLABNOuCHkM9BTTWKuzcNJHETF1cJY-CjNlMlXlQVZ5vki_0Kj12nv3e-vpKulhSQOVx65c77PRQD2pmIX14hXnWfYNr_9Vli7wdHejEuv39Cah0Cq5m7q3HBTfS5zCI83L0fKI_3Omq8I0ef1yTrcH-c39kLL5O3ZL8V4Lv-qnz-nB4jKqXELKtq5G26QhuxSOZ81yibB1wStoenyZJKvV1JJIJCyLSYGXI2SMLjuqZG8e8TRZIhqx3sEXznIoEiQ4Bf3eu6NZKGORvuaHHpBJ_TpyuYqbuUxH2jqo4MrKtunSjd9iyxEoVvxOs1DzFBZut0WV53zYyzDOPrEqDUflvPeCiXlhbgibqxur8xnj6Blz1bEa_WU5lFiMTg7mooMdDzrXvXnCMJl9jlLlnQQRQdcI3OBQZ3AmKuxlCgAH-zq0EisJfBo3siBcl3P8mNRyZeYF0pK13xzAVeqG1sWky__Kw--LozxXK9g9QAHuB3PDpJBJwqgnK5wU_dd2o6shKcLBHvWvkF351CQSc3HhQYyhIEAXRcaVYb8AAe6yhhQJGjLOvxHSUmU8xfsQmpYyl4D5yxdAdJwcrtIJa-d9ICO7L35rD01Y5spuvvq1N5BS5Uk7tA9cK8jZdhNMuP4EsF24Sb_sLqE9fSuZtFS7Zb99U&reqid=F2rLdD6Y4sr63Got&type=CLICK&pos=41,1,-18%,Đã bán 650,dolot
Combo 5 quần lót nữ không đường may iBasic V188,359.000₫,https://tka.tiki.vn/pixel/pixel?data=c3EdYLFl0tuDqN5zx_sHG2aTxE_zM8Ec66w1dmYdzNL9VZkqEEf_-j5Oacw2f4NQfV8aLLaQh1jAN6cXUKn-ufXALHh_6I5PEHpwhdkAYSBuU58ltuTV_VO6X8Ac-hltovdyA9mn5lFuv2SZXNa2dFhRXtms-R_ZhY_-aNC4QvBV0svCIrJ6Z-x-X5oNYZhQA1_HtnLEpaRWMrP4fXPqNIwGgYgamXKd9qKyMzTwYJmcFz45hfAC4FRV4xx5Lg5DvsLUkZrzUKJSj6iCULNZIEO9lqDo2RheqXWY4Adg6U6ZPQk72fItT9h5J2Ypsmouuebe87StsWrjav_FLCJPPoW6QkFPuBaXewQ0CUATEkaMgVgDZy4a3xHWbHl3GDoCk_pGAzuafyrpS381DGPOdER9fYk05RpaxWCtzpOeCgX7YxLy-iO1obp72W35wp3Wi6V_-aHm_no3aVeFjCQdx44M4WzBC6itMTX0Oz1BMHeOO9wFVeKklIuMOnhxjjSo8VTRtx-Y6uJKRhXieOCMUI5TpMvWhNGXADYv3zlHjGVfhcFw87EYDQ6VQFeiJ09hZVtnG1bhXgUz-hLMPO_FRZrM9ZdjQ97VRbqgxr50HRTIYYKy1-5IKGcuFEekWtThACFwyo9ZqlV_LLajnrd3lsSJVHspzk99sHthzYKa8LPitUce2bqsf-EKNMrsfXeIQdq1xmL1Vp_NuEoDmQyQL8sYdCvYX0QEzBp2kOY47YqOTIT-a0ZhqMzhze65u_7sebU-PbBZRQTOeoSFRDtzE1vn5PngP-9QtoJae5d63AVTwOmqG05FF24wC1MP_9dQp1VPDtgeKaKrslQ7TDttdXgjYWxN5RaUlo2O8S8niErWIJqh6X7ZPhINAPGRA03UR-3-Iki81piCJHxIsG00PL2Ep_bEewepUZ378blncxCJ75HTh8eJGDN9yR03bbhAtqWr_ALkynj-VKR8uZAjW4WAs-u0e7wmU5MFAYLPALzGSHN8cY-lNbue9rI5SeeXIJeqfWOGMITA61wOjhmuDXjDokHs-Mi_uIQi14OHnilxijsmghjHySkayWnWofVto4qkow&reqid=F2rLdD6Y4sr63Got&type=CLICK&pos=42,2,-19%,Đã bán 240,dolot
Hộp 7 cái quần lót nữ thun lạnh iBasic V110,309.000₫,https://tka.tiki.vn/pixel/pixel?data=hVh40HgO1kGiYnq1CyoKr7CagHQnRhUezSMOrJUQR5JLaFuNRRntFqhyOrpd00J1EHWS5H240MmrptDDcSOhx7SbAncWl-vvisLL-3CZtibHEAloSFTfaK2MgdqljZpIZ0Tf-VHuq_lunQm_qYZ_jkalyMoYpwXZ3uspjW8C4EQtRdaNQsZHV_0xltExIA5f-XfY-bu9H6R7rlhFjXJ05TS3LFEpb1IEnvMiHSITWM-AToJaZpa1NhpRJDdLF1AVLyl3JIP12_e1VlUXurYHTbGDLZF7YEZFIyjafAAkj2GZxc5VQ3BRr4K2cWzozHyFWDkFJfjSsnjegMJZ8VQoaFeI-Ipc0MovSWE8K7tEv_2aE52XOQjaAMcj19BmQSpdBMtdMZzipQenreIbM994QmCx-roJ3OW_bw0cCMRljWsdwXT-oKIGoeNb5EvGRngUfwFVkWQSdvHRdwq_M5rGvz_qe9fHOw5A-fZUUXgUYMvaOSSBbF2Xs351fNq7hMevz5qcmzj4RSnD_COi3rI3UltprXaAVVVHpt5R3Yit9es6tMBZ0-Hhew_zZUj9h-44v4ZhQ5_zo9qR0eeS5USp3xF-VOhovlPBYhObluEKkpIn3NY13tZXRU0_7wJfiSiGq4f18Gxxux2gCAwS7yiglPO-liYnGUgaaEtKk10kiDO7JAqYfD_FBdeuAZ61B88a1kLD7TGKQ_6cVfTVU8i9It5tyAK1-_L8wCBn8qY6WJRAi2Q3h76B64PFmiR5EBQJhmwFfzm2ox8y71VB6bm2Wla1PAvYin5tYbXNkceg0-ikmrRPyObM8Dj99DNJkQzqrAtVjYlXnld2q3Ns3zWpZYHTplvJwvLti7Yl0Kfp65gIsIKPd6pbf2ZNvxeL6p16ekkN8CLzGmI8zahyJzAaMd1EPyCcT_KAbNI32zp8svTe75N13KYA0El8He70_BSeZ0MPStehrECz4ANopsVMZgymeStddLJtFj6TNNjB8j09KO9aHsQ56L25ULFbiNbRHkmRM09OzZkKbpBGBuCXbZqmGn6fUuKVC7Qz&reqid=F2rLdD6Y4sr63Got&type=CLICK&pos=43,3,-10%,Đã bán 336,dolot
[MUA 2 TẶNG 1] Pack 3 quần lót nữ không đường may iBasic V188,178.000₫,https://tka.tiki.vn/pixel/pixel?data=-EVDBt_Sxgj7pizHvI4duzaMvdO42dZtCgAt4txmwLN3eqfndeQYf2a0O_e38kxaXQl_zdbVIyla0Jr_E9lmd7rhKXmQGBaUNixc1g1yw6Vh02ShJLKxpuq-2s4CJ3LygnTDw25UDeAL5AwaRX9Kch6ELx5eNQ5x5-wWH2-AGV3QzoIZte5jhhNzZWGyk_YiydeWr9BWAZkfLWokjXqilNUULeiqo8sxd2MZrtjzkh5agLBPiu9-1N_SFaTUavJZ_9XPKAGFqOo2FcYZsKgwRRdYQlquhyGLowJCEC-U_7UuRwPVbBZXoqSOUzmKBve_Vc-0xDUxHjMpHXEWSeQsB1kMmAbOvxwOhJN6WoUInOtP3oAcf7qBVyybWysJFzzleXo8X6OH_Sstg1-92Nt8PpmsyPAOTqI0fLLg316Of9ZDvhTzcf8tznqmvh9yIACHFKNeFesMvxD3bs7AGXV0u0QYpebnBGz6SKdkxmjS9alR0L_HLwPsJzSUtg5ils5hnyb9ZdXIQxh9RxSqMq9-dhJGXKdckEZLAjsKicZ2WjQiA2eAgajiX2K-Pc4zgj0wAmvqeEQZtLsGAgqcRgGes9z5FgjCvolEq4nSEZue28BRCbS1cTfkZLxgk4GWg0Q7sFByRqcEcWaSxjxRXKWppcOHNgDW1l9K-IQXNIYR5KzeS-jr-ZqTHVb8jFT_4Zqiasf2ce2g48NiKP2psTMxOSAQyxQA1rl7eQqWKKUA2LKMVBU0iB40ZJOuG9eFhAY3JrYzOfbEV13Zt_GtnMABC3OEDdzUKHBGue89hV7_QP0Xn3QxwsVBruz23mcDTUNXXHk130hq1jlpPRb_qXRYRK4iBoKzT47dYVGcYHdyMFqsbj3Lvd3TVau4hadIGJgdqm-zR68QkQ8fQV50Huoll77H1ouEw40qxhpNfJgARdv9B-nAzAMsWsfgFbaNcViewleL1NcL0JVYLdjFSSxZij4vn2wbUM38WcxCBYVQoa6W9N9Inw3x3bdE6ihu3QDZgVNJ1Ooq_Qsts8FZOmdvKPjNj9vxxCXxGqE3G48VuQyoxSUj6PAmyb3MP4f0plLVxWpv9LXE1mLwVrzBExCRnoWaRx4&reqid=F2rLdD6Y4sr63Got&type=CLICK&pos=44,4,-33%,Đã bán 18,dolot
Quần lót nữ không đường may bonding checky iBasic PANW075,119.000₫,https://tka.tiki.vn/pixel/pixel?data=Th9-gMxo8_xqR5JY2brj6RrRpMsYn1bktjwXnfAIUukmwV4leHWAsaXvAZD5yN-a1ec7Q7LG9eph_OoXrxOEkEYEOeBmDqZqUaEuQQcn90ciDEZTR8Np2yzFu9PgmojGYLbr6XDreSi8HHALXggsQ-SG3L8odpapxNc5tiWLo-OZcCUYYOt33561orwDvfWIc5A3k1hv3Oup91muloryTzl0zx1LLM1776gEMSzHs7NFYTTupTtTE3jC5qwhh5IH-KOziDEQzvZmJO6Mka4OSDDaSACzFhzQ-NEQkaQiX0zU8vRmc_QqMmSxNl-3NWFcqV8gU_y18cJjLF8orGocGjT-e4m7ajLY489Y76AqdoBGGXNKi_qEVRlMBT4sPFKygwSCLJNJ-VVAvzkdIx9Kgx1PrR5_AXZa1yo08YuyUlls2ATo3kiNR6UVoEaJ5-_iQ1CqYfqfBGZVfBO0ZwjmVInjWn83ka4OWSKdxRANOXyIFN96ePrig-J3TlWfv0xrnfot2cFATPjFn_Fieh0XGTtU8KMzZQ7RuvBMwDxgNV5kquPMoCVA_apOqlqNf2LnmF9pZUdBXpTvEVtVpbNQ4p1K8eIrpRTSGPlZSjwOInGHBKa15c3DvRuFvVX0LnIECJxCb5WVqebNTPhP0ktVoU8FquIgew6sfJBB2SxT_ssqJayfacDEOkCRx3OrOqrkZ9EXA25DMBRqPYnTuE8sw6l_KNADWNqjLIK-ltjvcjDbrxBbvJ8EfulwTCnoA1TBitNF9jkZtFWSC-2FDGH_zt-a0aycwJQU3SPPB72_J8lQXTTop66d2hGfi9tdTIlVnf3j1Zd3UarDYFGUKa-nlC-Ny_mLAPfUI-654vOg-ItmDmr3IGIQRz8s5e6SKFVK6Bv8vcnHNR0s6NTXJZyuX0fVWaEJ9_wjWrpf83jEkdWsOPNHVJxUQxCH5TL-sHzjuLoDJJrCjr8FrM5m6l6Goix4gUKKejHO6MUg7RjtgGxe-RhaMbUw_ap_rXYeezCeciRIKZSoLJyUQ3QEXPY07oN5d08uQjtJ3HlYXok&reqid=F2rLdD6Y4sr63Got&type=CLICK&pos=45,5,-25%,Đã bán 58,dolot
"Áo lót không gọng nâng ngực cao cấp, Áo lót nhún nơ thông hơi không gọng sexy thương hiệu BAW TN741",81.000₫,https://tiki.vn/ao-lot-khong-gong-nang-nguc-cao-cap-ao-lot-nhun-no-thong-hoi-khong-gong-sexy-thuong-hieu-baw-tn741-p97758054.html?spid=97758060,6,-49%,Đã bán 748,dolot
"Áo Ngực Nữ, Áo Bra Học Sinh Su Lạnh Trơn Có Đệm Mặc Thoáng Mát Thương Hiêu BAW mã AHS2",134.000₫,https://tiki.vn/ao-nguc-nu-ao-bra-hoc-sinh-su-lanh-tron-co-dem-mac-thoang-mat-thuong-hieu-baw-ma-ahs2-p165206693.html?spid=165206695,7,-11%,Đã bán 123,dolot
"Hộp 60 Miếng Dán Ngực Giấy Dùng 1 Lần Hình Hoa Siêu Bám Dính Thông Hơi Thoáng Mát (loại 1,video thật) PINKAHA 307",65.000₫,https://tiki.vn/hop-60-mieng-dan-ti-dau-nguc-nhu-hoa-giay-dung-1-lan-hinh-hoa-loai-1-video-that-pinkaha-307-p204644849.html?spid=204644851,8,-13%,Đã bán 166,dolot
"Combo 5 Chiếc Quần Lót Nữ Không Đường May Thời Trang iBasic V188, Mềm Mịn, Thoáng Mát - Hàng Chính Hãng",325.000₫,https://tiki.vn/combo-5-chiec-quan-lot-nu-khong-duong-may-thoi-trang-ibasic-v188-mem-min-thoang-mat-hang-chinh-hang-p51033486.html?spid=51033488,9,-27%,Đã bán 1.0k,dolot
,,https://tiki.vn/vay-lot-vay-thun-hai-day-dam-lot-p170276357.html?spid=170276377,10,-25%,,dolot
