title,price,link_item,index,discount,sales,category
"Quần jean nữ Lưng chandi , chất jean co dãn 4 chiều ống ôm chân mẫu MA244",159.000₫,https://tiki.vn/quan-jean-nu-lung-chandi-chat-jean-co-dan-4-chieu-ong-om-chan-mau-ma244-p83423415.html?spid=83423417,1,-47%,Đã bán 42,quannu
"QUẦN LEGGING DÀI NỮ TẬP THỂ THAO, ĐI CHƠI LƯNG CẠP CAO, VẢI CAO CẤP CO GIÃN 4 CHIỀU, THOÁNG MÁT",160.000₫,https://tiki.vn/quan-legging-dai-nu-tap-the-thao-di-choi-lung-cap-cao-vai-cao-cap-co-gian-4-chieu-thoang-mat-p74025258.html?spid=74025270,2,-11%,Đã bán 6,quannu
QUẦN JEAN NỮ ỐNG LOE XUẤT KHẨU,300.000₫,https://tiki.vn/quan-jean-nu-ong-loe-xuat-khau-p190605533.html?spid=190605638,3,-66%,Đã bán 4,quannu
Quần nữ quần kaki quần ống rộng túi hộp trơn,139.000₫,https://tiki.vn/quan-nu-quan-kaki-quan-ong-rong-tui-hop-tron-p259547163.html?spid=259547190,4,,,quannu
,,https://tiki.vn/quan-legging-nu-dai-cap-cao-bigsize-nang-mong-gia-re-p196280306.html?spid=196280307,5,-30%,,quannu
"Quần ống rộng ống xuông cullotes cạp liền xuốt eo khóa trước chất cao cấp - be,2XL<65kg/80/102",85.000₫,https://tiki.vn/quan-ong-rong-ong-xuong-cullotes-cap-lien-xuot-eo-khoa-truoc-chat-cao-cap-be-2xl-65kg-80-102-p93048076.html?spid=114009674,6,-59%,Đã bán 62,quannu
Quần Dài Kaki Cotton Ống Rộng Túi Hộp ZIA Cạp Cao Nữ Unisex,160.000₫,https://tiki.vn/quan-dai-kaki-cotton-ong-rong-tui-hop-zia-cap-cao-nu-unisex-p261839201.html?spid=261839217,7,-59%,Đã bán 1,quannu
Quần Dài Ống Rộng Nữ Thời Trang JUNO Chạy Chỉ Nổi JNQDA020,199.000₫,https://tiki.vn/quan-dai-ong-rong-nu-thoi-trang-juno-chay-chi-noi-jnqda020-p205032056.html?spid=205032104,8,-67%,Đã bán 2,quannu
QUẦN BAGGY NỮ FORM RỘNG QUẦN TÂY BIGSIZE 70KG 839,90.000₫,https://tiki.vn/quan-baggy-nu-form-rong-quan-tay-bigsize-70kg-839-p192427147.html?spid=192427912,9,-16%,Đã bán 2,quannu
,,https://tiki.vn/quan-nu-ong-rong-lung-thun-chat-lieu-dui-p103026406.html?spid=103026422,10,-19%,,quannu
Hàng nhập cao cấp - Quần legging cạp cao-Video + Sẵn hàng Quần legging nữ lưng thun cao cấp QL-201i,190.000₫,https://tiki.vn/hang-nhap-cao-cap-quan-legging-cap-cao-video-san-hang-quan-legging-nu-lung-thun-cao-cap-ql-201i-p152523826.html?spid=152523907,11,-30%,Đã bán 8,quannu
Quần tây công sở nữ lưng cao DOLOXI baggy cạp chun sau gấu xẻ Hàn Quốc Q177,79.000₫,https://tiki.vn/quan-tay-cong-so-nu-lung-cao-doloxi-baggy-cap-chun-sau-gau-xe-han-quoc-q177-p177200548.html?spid=177200607,12,-12%,,quannu
Quần nữ mùa đông ấm áp mã YN001,189.000₫,https://tiki.vn/quan-nu-mua-dong-am-ap-ma-yn001-p208137752.html?spid=208137800,13,-48%,,quannu
Quần jean dài nữ Lưng cao có size 26-44. [Vải dày và co giãn nhiều]. YUME JEAN BIGSIZE,173.700₫,https://tiki.vn/quan-jean-dai-nu-lung-cao-co-size-26-44-vai-day-va-co-gian-nhieu-yume-jean-bigsize-p271445852.html?spid=271446020,14,-47%,Đã bán 1,quannu
,,https://tiki.vn/quan-bau-tay-hien-dai-quan-baggy-cong-so-p148639281.html?spid=148639339,15,,,quannu
Quần tây nữ Hiền Trần BOUTIQUE lưng cạp cao âu công sở đẹp màu đen đồ đi học form chuẩn tôn dáng,142.000₫,https://tiki.vn/quan-tay-nu-hien-tran-boutique-lung-cap-cao-au-cong-so-dep-mau-den-do-di-hoc-form-chuan-ton-dang-p144324230.html?spid=144324240,16,,Đã bán 78,quannu
"Quần tây nữ Hiền Trần BOUTIQUE chất vải cao cấp 3 màu, âu công sở mặc tôn dáng",142.000₫,https://tiki.vn/quan-tay-nu-hien-tran-boutique-chat-vai-cao-cap-3-mau-au-cong-so-mac-ton-dang-p108412530.html?spid=108412550,17,,Đã bán 59,quannu
Váy Lửng Thời Trang JUNO Quần Giả Váy JNVLU005,149.000₫,https://tiki.vn/vay-lung-thoi-trang-juno-quan-gia-vay-jnvlu005-p190118402.html?spid=190118531,18,,Đã bán 1,quannu
Quần Tây Ống Rộng,83.500₫,https://tiki.vn/quan-tay-ong-rong-p20161951.html?spid=77117756,19,,Đã bán 22,quannu
,,https://tiki.vn/dottie-quan-jeans-ong-suong-nu-q0267-p259317688.html?spid=259317697,20,,,quannu
Quần Kaki Nữ 9 Tấc HQ 153,99.000₫,https://tiki.vn/quan-kaki-nu-9-tac-hq-153-p22383348.html?spid=59502440,21,,Đã bán 17,quannu
Quần short đũi dáng váy form rộng freesize (48-65kg) chất vải đũi mềm thoáng mát,79.000₫,https://tiki.vn/quan-short-dui-dang-vay-form-rong-freesize-48-65kg-chat-vai-dui-mem-thoang-mat-p145289782.html?spid=145289796,22,,Đã bán 29,quannu
Quần Jogger Harem nữ sọc caro thời trang năng động,98.000₫,https://tiki.vn/quan-jogger-harem-nu-soc-caro-thoi-trang-nang-dong-p45447177.html?spid=77952962,23,,Đã bán 1,quannu
Quần ống rộng gân tăm cạp chun nơ,75.000₫,https://tiki.vn/quan-ong-rong-gan-tam-cap-chun-no-p111870033.html?spid=110873024,24,,Đã bán 13,quannu
,,https://tiki.vn/quan-ong-rong-nu-chat-tuyet-mua-p194834423.html?spid=194834430,25,,,quannu
Quần sọc caro XANH ống suông ️ Nam nữ unisex Quần baggy caro Jaystoree,100.000₫,https://tiki.vn/quan-soc-caro-xanh-ong-suong-nam-nu-unisex-quan-baggy-caro-jaystoree-p130866362.html?spid=145759841,26,,Đã bán 25,quannu
Quần ngắn thể thao nữ Under Armour Pjt Rck Leg Day Flex - 1380188-635,1.099.000₫,https://tiki.vn/quan-ngan-the-thao-nu-under-armour-pjt-rck-leg-day-flex-1380188-635-p271268389.html?spid=271268393,27,,Đã bán 1,quannu
Quần ống loe cạp cao nữ DOLOXI lưng cao 1 cúc vải tuyết mưa công sở Q801,79.000₫,https://tiki.vn/quan-ong-loe-cap-cao-nu-doloxi-lung-cao-1-cuc-vai-tuyet-mua-cong-so-q801-p177188145.html?spid=177188151,28,,Đã bán 1,quannu
Quần ống rộng chất mát ảnh thật Q13,114.000₫,https://tiki.vn/quan-ong-rong-chat-mat-anh-that-q13-p92619986.html?spid=160890515,29,,Đã bán 9,quannu
,,https://tiki.vn/quan-sooc-da-quan-short-chat-vai-umi-hang-quang-chau-anh-that-p263303507.html?spid=263303511,30,,,quannu
Quần short nữ Hiền Trần BOUTIQUE cạp cao đùi ngắn chất vải Umi Hàn cao cấp co giãn khóa kéo tôn dáng đồ mặc nhà,120.000₫,https://tiki.vn/quan-short-nu-hien-tran-boutique-cap-cao-dui-ngan-chat-vai-umi-han-cao-cap-co-gian-khoa-keo-ton-dang-do-mac-nha-p172936035.html?spid=172936041,31,,Đã bán 10,quannu
Quần tây công sở nữ kiểu mới vải tuyết mưa nhiều màu,106.000₫,https://tiki.vn/quan-tay-cong-so-nu-kieu-moi-vai-tuyet-mua-nhieu-mau-p85799874.html?spid=90404595,32,,Đã bán 10,quannu
Quần tây Linen Premium ống rộng lưng cao dáng dài trẻ trung tôn dáng ArcticHunter,249.000₫,https://tiki.vn/quan-tay-linen-premium-ong-rong-lung-cao-dang-dai-tre-trung-ton-dang-arctichunter-p225940125.html?spid=225940129,33,,Đã bán 4,quannu
Quần Jean Nữ Ống Rộng Cạp Cao Co Giãn Đen Trơn Gấu Tua CT JEANS,441.000₫,https://tiki.vn/quan-jean-nu-ong-rong-cap-cao-co-gian-den-tron-gau-tua-ct-jeans-p180866185.html?spid=180866202,34,,Đã bán 1,quannu
,,https://tiki.vn/quan-ong-rong-nu-form-dai-khoa-keo-truoc-cuc-xinh-vai-tuyet-mua-loai-cao-cap-dang-xuong-p59412567.html?spid=92498846,35,,,quannu
Quần Jean Nữ Ống Loe Dài Lưng Cao Co Giãn Màu Đen,300.000₫,https://tiki.vn/quan-jean-nu-ong-loe-dai-lung-cao-co-gian-mau-den-p174016896.html?spid=174016900,36,,Đã bán 4,quannu
"Quần Jean Nữ Lưng Cao Thương Hiệu Chandi , chất jean co dãn 4 chiều ống ôm chân mẫu mới hot trend mẫu NT311",159.000₫,https://tiki.vn/quan-jean-nu-lung-cao-thuong-hieu-chandi-chat-jean-co-dan-4-chieu-ong-om-chan-mau-moi-hot-trend-2021-mau-nt311-p87959524.html?spid=87959532,37,,Đã bán 62,quannu
